ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,ESR1_280,-8.948,Oc1ccc(C=Cc2ccc(-c3cccs3)cc2)cc1,True
0,0,1,ESR1_280,-7.797,Oc1ccc(C=Cc2ccc(-c3cccs3)cc2)cc1,False
0,0,2,ESR1_280,-7.749,Oc1ccc(C=Cc2ccc(-c3cccs3)cc2)cc1,False
0,0,3,ESR1_280,-7.719,Oc1ccc(C=Cc2ccc(-c3cccs3)cc2)cc1,False
0,0,4,ESR1_280,-7.436,Oc1ccc(C=Cc2ccc(-c3cccs3)cc2)cc1,False
1,0,0,ESR1_367,-10.636,Oc1ccc(-c2cccc3ccc(OCCc4scc5oc6ccc(O)cc6c45)cc23)cc1,True
1,0,1,ESR1_367,-9.932,Oc1ccc(-c2cccc3ccc(OCCc4scc5oc6ccc(O)cc6c45)cc23)cc1,False
1,0,2,ESR1_367,-9.695,Oc1ccc(-c2cccc3ccc(OCCc4scc5oc6ccc(O)cc6c45)cc23)cc1,False
1,0,3,ESR1_367,-9.692,Oc1ccc(-c2cccc3ccc(OCCc4scc5oc6ccc(O)cc6c45)cc23)cc1,False
1,0,4,ESR1_367,-9.152,Oc1ccc(-c2cccc3ccc(OCCc4scc5oc6ccc(O)cc6c45)cc23)cc1,False
2,0,0,ESR1_378,-7.465,CNCCCOc1ccc(C2=C(Oc3ccc(O)cc3)CC(c3ccc(O)cc3)C2C2CCCC2)cc1,True
2,0,1,ESR1_378,-7.302,CNCCCOc1ccc(C2=C(Oc3ccc(O)cc3)CC(c3ccc(O)cc3)C2C2CCCC2)cc1,False
2,0,2,ESR1_378,-7.284,CNCCCOc1ccc(C2=C(Oc3ccc(O)cc3)CC(c3ccc(O)cc3)C2C2CCCC2)cc1,False
2,0,3,ESR1_378,-7.074,CNCCCOc1ccc(C2=C(Oc3ccc(O)cc3)CC(c3ccc(O)cc3)C2C2CCCC2)cc1,False
2,0,4,ESR1_378,-7.016,CNCCCOc1ccc(C2=C(Oc3ccc(O)cc3)CC(c3ccc(O)cc3)C2C2CCCC2)cc1,False
3,0,0,ESR1_106,-8.862,CC1C(=O)c2cc3c(O)cccc3cc2[C@H](C)[C@H](/C=C/c2cccc3ccccc23)N1C,True
3,0,1,ESR1_106,-8.835,CC1C(=O)c2cc3c(O)cccc3cc2[C@H](C)[C@H](/C=C/c2cccc3ccccc23)N1C,False
3,0,2,ESR1_106,-8.812,CC1C(=O)c2cc3c(O)cccc3cc2[C@H](C)[C@H](/C=C/c2cccc3ccccc23)N1C,False
3,0,3,ESR1_106,-8.677,CC1C(=O)c2cc3c(O)cccc3cc2[C@H](C)[C@H](/C=C/c2cccc3ccccc23)N1C,False
3,0,4,ESR1_106,-8.49,CC1C(=O)c2cc3c(O)cccc3cc2[C@H](C)[C@H](/C=C/c2cccc3ccccc23)N1C,False
4,0,0,ESR1_249,-8.137,O=C(O)CN1C[C@H](c2ccc(O)cc2)[C@@H]1c1ccc(O)cc1,True
4,0,1,ESR1_249,-7.959,O=C(O)CN1C[C@H](c2ccc(O)cc2)[C@@H]1c1ccc(O)cc1,False
4,0,2,ESR1_249,-7.721,O=C(O)CN1C[C@H](c2ccc(O)cc2)[C@@H]1c1ccc(O)cc1,False
4,0,3,ESR1_249,-6.747,O=C(O)CN1C[C@H](c2ccc(O)cc2)[C@@H]1c1ccc(O)cc1,False
4,0,4,ESR1_249,-6.575,O=C(O)CN1C[C@H](c2ccc(O)cc2)[C@@H]1c1ccc(O)cc1,False
5,0,0,ESR1_330,-9.112,O=c1c2cc(O)ccc2on1-c1ccc(O)c(F)c1,True
5,0,1,ESR1_330,-8.498,O=c1c2cc(O)ccc2on1-c1ccc(O)c(F)c1,False
5,0,2,ESR1_330,-8.178,O=c1c2cc(O)ccc2on1-c1ccc(O)c(F)c1,False
5,0,3,ESR1_330,-7.921,O=c1c2cc(O)ccc2on1-c1ccc(O)c(F)c1,False
5,0,4,ESR1_330,-7.765,O=c1c2cc(O)ccc2on1-c1ccc(O)c(F)c1,False
6,0,0,ESR1_298,-7.614,CCOC(=O)C1=Cc2cc3c(cc21)CCC(C)C3Cc1ccc(O)cc1,True
6,0,1,ESR1_298,-7.434,CCOC(=O)C1=Cc2cc3c(cc21)CCC(C)C3Cc1ccc(O)cc1,False
6,0,2,ESR1_298,-7.033,CCOC(=O)C1=Cc2cc3c(cc21)CCC(C)C3Cc1ccc(O)cc1,False
6,0,3,ESR1_298,-6.973,CCOC(=O)C1=Cc2cc3c(cc21)CCC(C)C3Cc1ccc(O)cc1,False
6,0,4,ESR1_298,-6.862,CCOC(=O)C1=Cc2cc3c(cc21)CCC(C)C3Cc1ccc(O)cc1,False
