ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,FTO_549,-8.893,CC(CCc1ccccc1)NCc1cc(-c2nn[nH]n2)ccc1O,True
0,0,1,FTO_549,-8.414,CC(CCc1ccccc1)NCc1cc(-c2nn[nH]n2)ccc1O,False
0,0,2,FTO_549,-8.128,CC(CCc1ccccc1)NCc1cc(-c2nn[nH]n2)ccc1O,False
0,0,3,FTO_549,-7.883,CC(CCc1ccccc1)NCc1cc(-c2nn[nH]n2)ccc1O,False
0,0,4,FTO_549,-7.805,CC(CCc1ccccc1)NCc1cc(-c2nn[nH]n2)ccc1O,False
1,0,0,FTO_570,-9.952,Cc1cccc(Nc2cccc3c2CN(c2ccc(C(=O)O)c(C(F)(F)F)c2)C(=O)CO3)c1C,True
1,0,1,FTO_570,-9.938,Cc1cccc(Nc2cccc3c2CN(c2ccc(C(=O)O)c(C(F)(F)F)c2)C(=O)CO3)c1C,False
1,0,2,FTO_570,-9.426,Cc1cccc(Nc2cccc3c2CN(c2ccc(C(=O)O)c(C(F)(F)F)c2)C(=O)CO3)c1C,False
1,0,3,FTO_570,-8.933,Cc1cccc(Nc2cccc3c2CN(c2ccc(C(=O)O)c(C(F)(F)F)c2)C(=O)CO3)c1C,False
1,0,4,FTO_570,-8.537,Cc1cccc(Nc2cccc3c2CN(c2ccc(C(=O)O)c(C(F)(F)F)c2)C(=O)CO3)c1C,False
2,0,0,FTO_228,-8.754,O=C(CCN1CCN(Cc2ccc(NCc3c(Cl)ccc(Cl)c3Cl)cc2)CC1)NC1(C(F)(F)F)CCCCC1,True
2,0,1,FTO_228,-8.505,O=C(CCN1CCN(Cc2ccc(NCc3c(Cl)ccc(Cl)c3Cl)cc2)CC1)NC1(C(F)(F)F)CCCCC1,False
2,0,2,FTO_228,-8.47,O=C(CCN1CCN(Cc2ccc(NCc3c(Cl)ccc(Cl)c3Cl)cc2)CC1)NC1(C(F)(F)F)CCCCC1,False
2,0,3,FTO_228,-8.444,O=C(CCN1CCN(Cc2ccc(NCc3c(Cl)ccc(Cl)c3Cl)cc2)CC1)NC1(C(F)(F)F)CCCCC1,False
2,0,4,FTO_228,-8.385,O=C(CCN1CCN(Cc2ccc(NCc3c(Cl)ccc(Cl)c3Cl)cc2)CC1)NC1(C(F)(F)F)CCCCC1,False
3,0,0,FTO_133,-8.296,Cc1ccccc1-c1nc2c([nH]1)C(C(=O)O)CC2,True
3,0,1,FTO_133,-7.866,Cc1ccccc1-c1nc2c([nH]1)C(C(=O)O)CC2,False
3,0,2,FTO_133,-7.556,Cc1ccccc1-c1nc2c([nH]1)C(C(=O)O)CC2,False
3,0,3,FTO_133,-7.359,Cc1ccccc1-c1nc2c([nH]1)C(C(=O)O)CC2,False
3,0,4,FTO_133,-7.327,Cc1ccccc1-c1nc2c([nH]1)C(C(=O)O)CC2,False
4,0,0,FTO_713,-7.264,N#CC1(NCCC(=O)NC2CCCc3ncsc32)COC1,True
4,0,1,FTO_713,-6.622,N#CC1(NCCC(=O)NC2CCCc3ncsc32)COC1,False
4,0,2,FTO_713,-6.288,N#CC1(NCCC(=O)NC2CCCc3ncsc32)COC1,False
4,0,3,FTO_713,-6.236,N#CC1(NCCC(=O)NC2CCCc3ncsc32)COC1,False
4,0,4,FTO_713,-6.223,N#CC1(NCCC(=O)NC2CCCc3ncsc32)COC1,False
5,0,0,FTO_611,-9.279,Cc1noc(C)c1CCNC1CCN(Cc2ccc(-c3ccccc3)cc2C(=O)O)CC1,True
5,0,1,FTO_611,-9.268,Cc1noc(C)c1CCNC1CCN(Cc2ccc(-c3ccccc3)cc2C(=O)O)CC1,False
5,0,2,FTO_611,-9.194,Cc1noc(C)c1CCNC1CCN(Cc2ccc(-c3ccccc3)cc2C(=O)O)CC1,False
5,0,3,FTO_611,-9.166,Cc1noc(C)c1CCNC1CCN(Cc2ccc(-c3ccccc3)cc2C(=O)O)CC1,False
5,0,4,FTO_611,-9.042,Cc1noc(C)c1CCNC1CCN(Cc2ccc(-c3ccccc3)cc2C(=O)O)CC1,False
6,0,0,FTO_53,-8.905,O=C1CCCN1Cc1ccc2c(c1)CCN(C(=O)CCc1ccccc1)C2,True
6,0,1,FTO_53,-8.489,O=C1CCCN1Cc1ccc2c(c1)CCN(C(=O)CCc1ccccc1)C2,False
6,0,2,FTO_53,-8.474,O=C1CCCN1Cc1ccc2c(c1)CCN(C(=O)CCc1ccccc1)C2,False
6,0,3,FTO_53,-7.95,O=C1CCCN1Cc1ccc2c(c1)CCN(C(=O)CCc1ccccc1)C2,False
6,0,4,FTO_53,-7.949,O=C1CCCN1Cc1ccc2c(c1)CCN(C(=O)CCc1ccccc1)C2,False
7,0,0,FTO_557,-7.832,COc1ccc(Nc2ccc(-c3nn[nH]n3)cc2)c2nc[nH]c12,True
7,0,1,FTO_557,-7.824,COc1ccc(Nc2ccc(-c3nn[nH]n3)cc2)c2nc[nH]c12,False
7,0,2,FTO_557,-7.723,COc1ccc(Nc2ccc(-c3nn[nH]n3)cc2)c2nc[nH]c12,False
7,0,3,FTO_557,-7.557,COc1ccc(Nc2ccc(-c3nn[nH]n3)cc2)c2nc[nH]c12,False
7,0,4,FTO_557,-7.473,COc1ccc(Nc2ccc(-c3nn[nH]n3)cc2)c2nc[nH]c12,False
8,0,0,FTO_653,-4.797,O=C(O)c1c[nH]cn1,True
8,0,1,FTO_653,-4.716,O=C(O)c1c[nH]cn1,False
8,0,2,FTO_653,-4.705,O=C(O)c1c[nH]cn1,False
8,0,3,FTO_653,-4.545,O=C(O)c1c[nH]cn1,False
8,0,4,FTO_653,-4.491,O=C(O)c1c[nH]cn1,False
9,0,0,FTO_219,-7.888,N#CC1(c2cccc(CNC3CCCC3C(=O)O)c2)CC1,True
9,0,1,FTO_219,-7.799,N#CC1(c2cccc(CNC3CCCC3C(=O)O)c2)CC1,False
9,0,2,FTO_219,-7.645,N#CC1(c2cccc(CNC3CCCC3C(=O)O)c2)CC1,False
9,0,3,FTO_219,-7.534,N#CC1(c2cccc(CNC3CCCC3C(=O)O)c2)CC1,False
9,0,4,FTO_219,-7.422,N#CC1(c2cccc(CNC3CCCC3C(=O)O)c2)CC1,False
10,0,0,FTO_301,-8.402,COc1ccc(CNC(=O)c2c[nH]c3ccc(-c4cnn(C)c4)cc23)cc1,True
10,0,1,FTO_301,-8.064,COc1ccc(CNC(=O)c2c[nH]c3ccc(-c4cnn(C)c4)cc23)cc1,False
10,0,2,FTO_301,-7.926,COc1ccc(CNC(=O)c2c[nH]c3ccc(-c4cnn(C)c4)cc23)cc1,False
10,0,3,FTO_301,-7.861,COc1ccc(CNC(=O)c2c[nH]c3ccc(-c4cnn(C)c4)cc23)cc1,False
10,0,4,FTO_301,-7.788,COc1ccc(CNC(=O)c2c[nH]c3ccc(-c4cnn(C)c4)cc23)cc1,False
11,0,0,FTO_625,-8.463,Cc1[nH]c2ccccc2c1CNCc1ccccc1C(=O)O,True
11,0,1,FTO_625,-8.437,Cc1[nH]c2ccccc2c1CNCc1ccccc1C(=O)O,False
