ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,GRIK1_666,-6.183,CCC(C(N)=O)C(CN)C(=O)O,True
0,0,1,GRIK1_666,-6.18,CCC(C(N)=O)C(CN)C(=O)O,False
0,0,2,GRIK1_666,-6.131,CCC(C(N)=O)C(CN)C(=O)O,False
0,0,3,GRIK1_666,-6.103,CCC(C(N)=O)C(CN)C(=O)O,False
0,0,4,GRIK1_666,-6.037,CCC(C(N)=O)C(CN)C(=O)O,False
1,0,0,GRIK1_283,-5.007,CCCN(C)C(=O)c1ccc(/C=C/C(=O)O)cc1,True
1,0,1,GRIK1_283,-4.504,CCCN(C)C(=O)c1ccc(/C=C/C(=O)O)cc1,False
1,0,2,GRIK1_283,-4.421,CCCN(C)C(=O)c1ccc(/C=C/C(=O)O)cc1,False
1,0,3,GRIK1_283,-4.294,CCCN(C)C(=O)c1ccc(/C=C/C(=O)O)cc1,False
1,0,4,GRIK1_283,-4.206,CCCN(C)C(=O)c1ccc(/C=C/C(=O)O)cc1,False
2,0,0,GRIK1_426,-7.381,CC(C)(C)CCNC(=O)CC(CCC(=O)O)C(N)=O,True
2,0,1,GRIK1_426,-6.518,CC(C)(C)CCNC(=O)CC(CCC(=O)O)C(N)=O,False
2,0,2,GRIK1_426,-6.221,CC(C)(C)CCNC(=O)CC(CCC(=O)O)C(N)=O,False
2,0,3,GRIK1_426,-5.727,CC(C)(C)CCNC(=O)CC(CCC(=O)O)C(N)=O,False
2,0,4,GRIK1_426,-5.671,CC(C)(C)CCNC(=O)CC(CCC(=O)O)C(N)=O,False
3,0,0,GRIK1_503,-6.775,CC(C)C(=O)CC(N)C(=O)O,True
3,0,1,GRIK1_503,-6.577,CC(C)C(=O)CC(N)C(=O)O,False
3,0,2,GRIK1_503,-5.917,CC(C)C(=O)CC(N)C(=O)O,False
3,0,3,GRIK1_503,-5.873,CC(C)C(=O)CC(N)C(=O)O,False
3,0,4,GRIK1_503,-5.862,CC(C)C(=O)CC(N)C(=O)O,False
4,0,0,GRIK1_711,-6.458,CCCNC(CC(=O)O)C(=O)O,True
4,0,1,GRIK1_711,-6.209,CCCNC(CC(=O)O)C(=O)O,False
4,0,2,GRIK1_711,-6.065,CCCNC(CC(=O)O)C(=O)O,False
4,0,3,GRIK1_711,-6.054,CCCNC(CC(=O)O)C(=O)O,False
4,0,4,GRIK1_711,-5.947,CCCNC(CC(=O)O)C(=O)O,False
5,0,0,GRIK1_419,-6.775,N#CCC(CC(=O)O)C(=O)O,True
5,0,1,GRIK1_419,-6.524,N#CCC(CC(=O)O)C(=O)O,False
5,0,2,GRIK1_419,-6.499,N#CCC(CC(=O)O)C(=O)O,False
5,0,3,GRIK1_419,-6.225,N#CCC(CC(=O)O)C(=O)O,False
5,0,4,GRIK1_419,-6.11,N#CCC(CC(=O)O)C(=O)O,False
6,0,0,GRIK1_790,-5.89,Cc1ccc(-c2cccc(CNC(CCC(=O)O)C(N)=O)c2)cc1,True
6,0,1,GRIK1_790,-5.331,Cc1ccc(-c2cccc(CNC(CCC(=O)O)C(N)=O)c2)cc1,False
