ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,HCRTR1_308,-9.924,C[C@@H]1CCCN1CCc1ncc(-c2ccccc2NC2CC2)nc1-c1ccc(C(F)(F)F)cc1,True
0,0,1,HCRTR1_308,-9.646,C[C@@H]1CCCN1CCc1ncc(-c2ccccc2NC2CC2)nc1-c1ccc(C(F)(F)F)cc1,False
0,0,2,HCRTR1_308,-9.619,C[C@@H]1CCCN1CCc1ncc(-c2ccccc2NC2CC2)nc1-c1ccc(C(F)(F)F)cc1,False
0,0,3,HCRTR1_308,-9.605,C[C@@H]1CCCN1CCc1ncc(-c2ccccc2NC2CC2)nc1-c1ccc(C(F)(F)F)cc1,False
0,0,4,HCRTR1_308,-9.593,C[C@@H]1CCCN1CCc1ncc(-c2ccccc2NC2CC2)nc1-c1ccc(C(F)(F)F)cc1,False
1,0,0,HCRTR1_210,-8.811,COc1ccc(OCC2CC3CCC2C3COc2ncccc2-c2ncccn2)nc1,True
1,0,1,HCRTR1_210,-8.736,COc1ccc(OCC2CC3CCC2C3COc2ncccc2-c2ncccn2)nc1,False
1,0,2,HCRTR1_210,-8.657,COc1ccc(OCC2CC3CCC2C3COc2ncccc2-c2ncccn2)nc1,False
1,0,3,HCRTR1_210,-8.396,COc1ccc(OCC2CC3CCC2C3COc2ncccc2-c2ncccn2)nc1,False
1,0,4,HCRTR1_210,-8.34,COc1ccc(OCC2CC3CCC2C3COc2ncccc2-c2ncccn2)nc1,False
2,0,0,HCRTR1_532,-9.819,COc1cc(C)nc([C@@H]2CC[C@H](Oc3cccc(NC(=O)c4ccccc4)c3OC)C2)n1,True
2,0,1,HCRTR1_532,-9.734,COc1cc(C)nc([C@@H]2CC[C@H](Oc3cccc(NC(=O)c4ccccc4)c3OC)C2)n1,False
2,0,2,HCRTR1_532,-9.66,COc1cc(C)nc([C@@H]2CC[C@H](Oc3cccc(NC(=O)c4ccccc4)c3OC)C2)n1,False
2,0,3,HCRTR1_532,-9.515,COc1cc(C)nc([C@@H]2CC[C@H](Oc3cccc(NC(=O)c4ccccc4)c3OC)C2)n1,False
2,0,4,HCRTR1_532,-9.505,COc1cc(C)nc([C@@H]2CC[C@H](Oc3cccc(NC(=O)c4ccccc4)c3OC)C2)n1,False
3,0,0,HCRTR1_401,-10.57,C[C@H]1CN(C(=O)C#Cc2nc3ccccc3s2)CCC[C@@H]1c1nc2cc(F)ccc2[nH]1,True
3,0,1,HCRTR1_401,-10.135,C[C@H]1CN(C(=O)C#Cc2nc3ccccc3s2)CCC[C@@H]1c1nc2cc(F)ccc2[nH]1,False
