ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,IDH1_619,-8.93,C[C@H](Nc1ncc(C(C)(C)C)cn1)c1nn(C)c2ccccc12,True
0,0,1,IDH1_619,-8.857,C[C@H](Nc1ncc(C(C)(C)C)cn1)c1nn(C)c2ccccc12,False
0,0,2,IDH1_619,-8.523,C[C@H](Nc1ncc(C(C)(C)C)cn1)c1nn(C)c2ccccc12,False
0,0,3,IDH1_619,-8.453,C[C@H](Nc1ncc(C(C)(C)C)cn1)c1nn(C)c2ccccc12,False
0,0,4,IDH1_619,-8.405,C[C@H](Nc1ncc(C(C)(C)C)cn1)c1nn(C)c2ccccc12,False
1,0,0,IDH1_715,-8.665,CC(C)(C)Nc1ccnc(NC(c2cccc(Cl)c2)n2cccn2)n1,True
1,0,1,IDH1_715,-8.517,CC(C)(C)Nc1ccnc(NC(c2cccc(Cl)c2)n2cccn2)n1,False
1,0,2,IDH1_715,-8.095,CC(C)(C)Nc1ccnc(NC(c2cccc(Cl)c2)n2cccn2)n1,False
1,0,3,IDH1_715,-8.004,CC(C)(C)Nc1ccnc(NC(c2cccc(Cl)c2)n2cccn2)n1,False
1,0,4,IDH1_715,-7.817,CC(C)(C)Nc1ccnc(NC(c2cccc(Cl)c2)n2cccn2)n1,False
2,0,0,IDH1_161,-8.849,C[C@H](Nc1ccnc(NCC2CC2)n1)c1cc(C2CC2)ccc1F,True
2,0,1,IDH1_161,-8.706,C[C@H](Nc1ccnc(NCC2CC2)n1)c1cc(C2CC2)ccc1F,False
2,0,2,IDH1_161,-8.533,C[C@H](Nc1ccnc(NCC2CC2)n1)c1cc(C2CC2)ccc1F,False
2,0,3,IDH1_161,-8.491,C[C@H](Nc1ccnc(NCC2CC2)n1)c1cc(C2CC2)ccc1F,False
2,0,4,IDH1_161,-8.456,C[C@H](Nc1ccnc(NCC2CC2)n1)c1cc(C2CC2)ccc1F,False
3,0,0,IDH1_8,-9.959,C[C@H](Nc1nccc(C(F)(F)F)n1)c1cc(F)cc(OCC2CCOCC2)c1,True
3,0,1,IDH1_8,-9.8,C[C@H](Nc1nccc(C(F)(F)F)n1)c1cc(F)cc(OCC2CCOCC2)c1,False
3,0,2,IDH1_8,-9.627,C[C@H](Nc1nccc(C(F)(F)F)n1)c1cc(F)cc(OCC2CCOCC2)c1,False
3,0,3,IDH1_8,-9.526,C[C@H](Nc1nccc(C(F)(F)F)n1)c1cc(F)cc(OCC2CCOCC2)c1,False
3,0,4,IDH1_8,-8.949,C[C@H](Nc1nccc(C(F)(F)F)n1)c1cc(F)cc(OCC2CCOCC2)c1,False
4,0,0,IDH1_187,-9.593,N#Cc1cccc(-c2nccc(N[C@H](Cc3ccccc3C(F)(F)F)[C@H](O)[C@H]3CC[C@@H](O)CC3)n2)c1,True
