ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,JAK1_503,-9.506,O=C(Nc1cc(-c2ccccc2)c(-c2ccccc2)s1)Nc1cnn2cccnc12,True
0,0,1,JAK1_503,-9.287,O=C(Nc1cc(-c2ccccc2)c(-c2ccccc2)s1)Nc1cnn2cccnc12,False
0,0,2,JAK1_503,-9.009,O=C(Nc1cc(-c2ccccc2)c(-c2ccccc2)s1)Nc1cnn2cccnc12,False
0,0,3,JAK1_503,-8.752,O=C(Nc1cc(-c2ccccc2)c(-c2ccccc2)s1)Nc1cnn2cccnc12,False
0,0,4,JAK1_503,-8.648,O=C(Nc1cc(-c2ccccc2)c(-c2ccccc2)s1)Nc1cnn2cccnc12,False
1,0,0,JAK1_54,-8.739,COc1cccc(CNc2scnc2Cn2cnc3[nH]ccc3c2=O)c1,True
1,0,1,JAK1_54,-8.505,COc1cccc(CNc2scnc2Cn2cnc3[nH]ccc3c2=O)c1,False
1,0,2,JAK1_54,-8.323,COc1cccc(CNc2scnc2Cn2cnc3[nH]ccc3c2=O)c1,False
1,0,3,JAK1_54,-8.003,COc1cccc(CNc2scnc2Cn2cnc3[nH]ccc3c2=O)c1,False
1,0,4,JAK1_54,-7.965,COc1cccc(CNc2scnc2Cn2cnc3[nH]ccc3c2=O)c1,False
2,0,0,JAK1_409,-8.368,CC[C@H]1C[C@H](O)CN1C(=O)c1ccccc1-c1cnc(N)nc1,True
2,0,1,JAK1_409,-8.047,CC[C@H]1C[C@H](O)CN1C(=O)c1ccccc1-c1cnc(N)nc1,False
2,0,2,JAK1_409,-7.674,CC[C@H]1C[C@H](O)CN1C(=O)c1ccccc1-c1cnc(N)nc1,False
2,0,3,JAK1_409,-7.423,CC[C@H]1C[C@H](O)CN1C(=O)c1ccccc1-c1cnc(N)nc1,False
2,0,4,JAK1_409,-7.378,CC[C@H]1C[C@H](O)CN1C(=O)c1ccccc1-c1cnc(N)nc1,False
3,0,0,JAK1_648,-8.686,Cn1cc(Nc2nccn3cc(-c4ccccc4)nc23)cn1,True
3,0,1,JAK1_648,-8.601,Cn1cc(Nc2nccn3cc(-c4ccccc4)nc23)cn1,False
3,0,2,JAK1_648,-7.999,Cn1cc(Nc2nccn3cc(-c4ccccc4)nc23)cn1,False
3,0,3,JAK1_648,-7.692,Cn1cc(Nc2nccn3cc(-c4ccccc4)nc23)cn1,False
3,0,4,JAK1_648,-7.689,Cn1cc(Nc2nccn3cc(-c4ccccc4)nc23)cn1,False
4,0,0,JAK1_535,-9.483,FC(F)(F)c1ccccc1Nc1nc2[nH]ccc2c2ncnn12,True
4,0,1,JAK1_535,-9.171,FC(F)(F)c1ccccc1Nc1nc2[nH]ccc2c2ncnn12,False
4,0,2,JAK1_535,-9.14,FC(F)(F)c1ccccc1Nc1nc2[nH]ccc2c2ncnn12,False
4,0,3,JAK1_535,-8.874,FC(F)(F)c1ccccc1Nc1nc2[nH]ccc2c2ncnn12,False
