ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,KDM1A_252,-8.459,Cn1cc(-c2ccccc2)nc1-c1ccc(N2CCC(N)CC2)cc1,True
0,0,1,KDM1A_252,-8.218,Cn1cc(-c2ccccc2)nc1-c1ccc(N2CCC(N)CC2)cc1,False
0,0,2,KDM1A_252,-8.198,Cn1cc(-c2ccccc2)nc1-c1ccc(N2CCC(N)CC2)cc1,False
0,0,3,KDM1A_252,-8.138,Cn1cc(-c2ccccc2)nc1-c1ccc(N2CCC(N)CC2)cc1,False
0,0,4,KDM1A_252,-8.089,Cn1cc(-c2ccccc2)nc1-c1ccc(N2CCC(N)CC2)cc1,False
1,0,0,KDM1A_379,-8.471,Cc1ccc2c(CCC(N)=O)cc(-c3ccccc3)cc2c1,True
1,0,1,KDM1A_379,-8.293,Cc1ccc2c(CCC(N)=O)cc(-c3ccccc3)cc2c1,False
1,0,2,KDM1A_379,-8.128,Cc1ccc2c(CCC(N)=O)cc(-c3ccccc3)cc2c1,False
1,0,3,KDM1A_379,-8.06,Cc1ccc2c(CCC(N)=O)cc(-c3ccccc3)cc2c1,False
1,0,4,KDM1A_379,-7.709,Cc1ccc2c(CCC(N)=O)cc(-c3ccccc3)cc2c1,False
2,0,0,KDM1A_588,-6.636,NC[C@@H]1CCN(c2ccc3ccccc3n2)C1,True
2,0,1,KDM1A_588,-6.578,NC[C@@H]1CCN(c2ccc3ccccc3n2)C1,False
2,0,2,KDM1A_588,-6.538,NC[C@@H]1CCN(c2ccc3ccccc3n2)C1,False
2,0,3,KDM1A_588,-6.394,NC[C@@H]1CCN(c2ccc3ccccc3n2)C1,False
2,0,4,KDM1A_588,-6.239,NC[C@@H]1CCN(c2ccc3ccccc3n2)C1,False
3,0,0,KDM1A_586,-7.302,COc1c(C(N)=O)cc2c(ccn2CC2CCN(CCO)CC2)c1C,True
3,0,1,KDM1A_586,-7.287,COc1c(C(N)=O)cc2c(ccn2CC2CCN(CCO)CC2)c1C,False
3,0,2,KDM1A_586,-7.274,COc1c(C(N)=O)cc2c(ccn2CC2CCN(CCO)CC2)c1C,False
3,0,3,KDM1A_586,-7.201,COc1c(C(N)=O)cc2c(ccn2CC2CCN(CCO)CC2)c1C,False
3,0,4,KDM1A_586,-7.162,COc1c(C(N)=O)cc2c(ccn2CC2CCN(CCO)CC2)c1C,False
5,0,0,KDM1A_510,-9.24,N[C@H]1CC[C@H](Nc2ccc(C(=O)Nc3ccccc3)cc2-c2ccc(C(=O)O)c(F)c2)CC1,True
5,0,1,KDM1A_510,-9.196,N[C@H]1CC[C@H](Nc2ccc(C(=O)Nc3ccccc3)cc2-c2ccc(C(=O)O)c(F)c2)CC1,False
5,0,2,KDM1A_510,-8.949,N[C@H]1CC[C@H](Nc2ccc(C(=O)Nc3ccccc3)cc2-c2ccc(C(=O)O)c(F)c2)CC1,False
5,0,3,KDM1A_510,-8.91,N[C@H]1CC[C@H](Nc2ccc(C(=O)Nc3ccccc3)cc2-c2ccc(C(=O)O)c(F)c2)CC1,False
5,0,4,KDM1A_510,-8.909,N[C@H]1CC[C@H](Nc2ccc(C(=O)Nc3ccccc3)cc2-c2ccc(C(=O)O)c(F)c2)CC1,False
6,0,0,KDM1A_163,-9.076,N#Cc1ccc(-c2cc(OC[C@H]3CCCNCC3)c3ccccc3c2OCC(=O)N2CCC[C@@H](N)C2)cc1,True
6,0,1,KDM1A_163,-9.052,N#Cc1ccc(-c2cc(OC[C@H]3CCCNCC3)c3ccccc3c2OCC(=O)N2CCC[C@@H](N)C2)cc1,False
6,0,2,KDM1A_163,-8.887,N#Cc1ccc(-c2cc(OC[C@H]3CCCNCC3)c3ccccc3c2OCC(=O)N2CCC[C@@H](N)C2)cc1,False
6,0,3,KDM1A_163,-8.748,N#Cc1ccc(-c2cc(OC[C@H]3CCCNCC3)c3ccccc3c2OCC(=O)N2CCC[C@@H](N)C2)cc1,False
6,0,4,KDM1A_163,-8.744,N#Cc1ccc(-c2cc(OC[C@H]3CCCNCC3)c3ccccc3c2OCC(=O)N2CCC[C@@H](N)C2)cc1,False
7,0,0,KDM1A_43,-7.668,CNC(=O)c1ccc(-c2ccc(F)cc2)cc1NC1CC1NC1CCC1,True
7,0,1,KDM1A_43,-7.373,CNC(=O)c1ccc(-c2ccc(F)cc2)cc1NC1CC1NC1CCC1,False
7,0,2,KDM1A_43,-7.364,CNC(=O)c1ccc(-c2ccc(F)cc2)cc1NC1CC1NC1CCC1,False
7,0,3,KDM1A_43,-7.323,CNC(=O)c1ccc(-c2ccc(F)cc2)cc1NC1CC1NC1CCC1,False
7,0,4,KDM1A_43,-7.282,CNC(=O)c1ccc(-c2ccc(F)cc2)cc1NC1CC1NC1CCC1,False
8,0,0,KDM1A_51,-7.869,COc1ccc(Nc2nc(Sc3ccc(N)cc3)c3sccc3n2)cc1,True
8,0,1,KDM1A_51,-7.867,COc1ccc(Nc2nc(Sc3ccc(N)cc3)c3sccc3n2)cc1,False
8,0,2,KDM1A_51,-7.714,COc1ccc(Nc2nc(Sc3ccc(N)cc3)c3sccc3n2)cc1,False
8,0,3,KDM1A_51,-7.535,COc1ccc(Nc2nc(Sc3ccc(N)cc3)c3sccc3n2)cc1,False
8,0,4,KDM1A_51,-7.31,COc1ccc(Nc2nc(Sc3ccc(N)cc3)c3sccc3n2)cc1,False
9,0,0,KDM1A_386,-9.252,N#Cc1ccc(-c2cc(C3=CCC(O)CC3)c3ccc(F)cc3c2OCCC2CCNCC2)cc1,True
9,0,1,KDM1A_386,-9.172,N#Cc1ccc(-c2cc(C3=CCC(O)CC3)c3ccc(F)cc3c2OCCC2CCNCC2)cc1,False
9,0,2,KDM1A_386,-9.135,N#Cc1ccc(-c2cc(C3=CCC(O)CC3)c3ccc(F)cc3c2OCCC2CCNCC2)cc1,False
9,0,3,KDM1A_386,-9.0,N#Cc1ccc(-c2cc(C3=CCC(O)CC3)c3ccc(F)cc3c2OCCC2CCNCC2)cc1,False
9,0,4,KDM1A_386,-8.844,N#Cc1ccc(-c2cc(C3=CCC(O)CC3)c3ccc(F)cc3c2OCCC2CCNCC2)cc1,False
10,0,0,KDM1A_460,-8.46,Cn1cc(-c2cc(-c3ccc(F)c(F)c3)ccc2[C@H]2CC[C@@H]2N)cn1,True
10,0,1,KDM1A_460,-8.441,Cn1cc(-c2cc(-c3ccc(F)c(F)c3)ccc2[C@H]2CC[C@@H]2N)cn1,False
10,0,2,KDM1A_460,-8.379,Cn1cc(-c2cc(-c3ccc(F)c(F)c3)ccc2[C@H]2CC[C@@H]2N)cn1,False
10,0,3,KDM1A_460,-8.369,Cn1cc(-c2cc(-c3ccc(F)c(F)c3)ccc2[C@H]2CC[C@@H]2N)cn1,False
10,0,4,KDM1A_460,-8.192,Cn1cc(-c2cc(-c3ccc(F)c(F)c3)ccc2[C@H]2CC[C@@H]2N)cn1,False
11,0,0,KDM1A_48,-7.504,N[C@H]1CC2CC[C@@H]2[C@H]1c1ccc(OCc2ccccc2)cc1,True
11,0,1,KDM1A_48,-7.396,N[C@H]1CC2CC[C@@H]2[C@H]1c1ccc(OCc2ccccc2)cc1,False
11,0,2,KDM1A_48,-7.379,N[C@H]1CC2CC[C@@H]2[C@H]1c1ccc(OCc2ccccc2)cc1,False
11,0,3,KDM1A_48,-7.26,N[C@H]1CC2CC[C@@H]2[C@H]1c1ccc(OCc2ccccc2)cc1,False
11,0,4,KDM1A_48,-7.114,N[C@H]1CC2CC[C@@H]2[C@H]1c1ccc(OCc2ccccc2)cc1,False
12,0,0,KDM1A_329,-8.122,Cc1ccc(N[C@H]2CCC[C@H]2NS(=O)(=O)c2ccc(-c3ccccc3)cc2)cc1N,True
12,0,1,KDM1A_329,-7.665,Cc1ccc(N[C@H]2CCC[C@H]2NS(=O)(=O)c2ccc(-c3ccccc3)cc2)cc1N,False
12,0,2,KDM1A_329,-7.614,Cc1ccc(N[C@H]2CCC[C@H]2NS(=O)(=O)c2ccc(-c3ccccc3)cc2)cc1N,False
12,0,3,KDM1A_329,-7.435,Cc1ccc(N[C@H]2CCC[C@H]2NS(=O)(=O)c2ccc(-c3ccccc3)cc2)cc1N,False
12,0,4,KDM1A_329,-7.321,Cc1ccc(N[C@H]2CCC[C@H]2NS(=O)(=O)c2ccc(-c3ccccc3)cc2)cc1N,False
13,0,0,KDM1A_172,-7.335,N#CC1(N2CCC(OCCNC3CC3)CC2)Cc2ccccc2C1,True
13,0,1,KDM1A_172,-7.073,N#CC1(N2CCC(OCCNC3CC3)CC2)Cc2ccccc2C1,False
13,0,2,KDM1A_172,-7.012,N#CC1(N2CCC(OCCNC3CC3)CC2)Cc2ccccc2C1,False
13,0,3,KDM1A_172,-6.974,N#CC1(N2CCC(OCCNC3CC3)CC2)Cc2ccccc2C1,False
13,0,4,KDM1A_172,-6.794,N#CC1(N2CCC(OCCNC3CC3)CC2)Cc2ccccc2C1,False
14,0,0,KDM1A_191,-7.585,N[C@H]1CCC[C@@H]1NCc1ccc(-c2ccccc2)cc1,True
14,0,1,KDM1A_191,-7.365,N[C@H]1CCC[C@@H]1NCc1ccc(-c2ccccc2)cc1,False
