ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,NR4A1_537,-6.909,CCC1=c2oc3c4cccc(c2C(O)=C(C(=O)O)C(O)=C1)c4=3,True
0,0,1,NR4A1_537,-6.847,CCC1=c2oc3c4cccc(c2C(O)=C(C(=O)O)C(O)=C1)c4=3,False
0,0,2,NR4A1_537,-6.588,CCC1=c2oc3c4cccc(c2C(O)=C(C(=O)O)C(O)=C1)c4=3,False
0,0,3,NR4A1_537,-6.407,CCC1=c2oc3c4cccc(c2C(O)=C(C(=O)O)C(O)=C1)c4=3,False
0,0,4,NR4A1_537,-6.079,CCC1=c2oc3c4cccc(c2C(O)=C(C(=O)O)C(O)=C1)c4=3,False
1,0,0,NR4A1_454,-8.174,O=C(Nc1ccc(-c2ccccc2)cc1)Nc1cccc(Oc2ccc(C(=O)O)cc2)c1,True
1,0,1,NR4A1_454,-8.121,O=C(Nc1ccc(-c2ccccc2)cc1)Nc1cccc(Oc2ccc(C(=O)O)cc2)c1,False
1,0,2,NR4A1_454,-7.92,O=C(Nc1ccc(-c2ccccc2)cc1)Nc1cccc(Oc2ccc(C(=O)O)cc2)c1,False
1,0,3,NR4A1_454,-7.782,O=C(Nc1ccc(-c2ccccc2)cc1)Nc1cccc(Oc2ccc(C(=O)O)cc2)c1,False
1,0,4,NR4A1_454,-7.738,O=C(Nc1ccc(-c2ccccc2)cc1)Nc1cccc(Oc2ccc(C(=O)O)cc2)c1,False
2,0,0,NR4A1_154,-6.273,CC(=O)c1ccc(C=Cc2ccc(C(=O)O)cc2)o1,True
2,0,1,NR4A1_154,-6.022,CC(=O)c1ccc(C=Cc2ccc(C(=O)O)cc2)o1,False
2,0,2,NR4A1_154,-5.859,CC(=O)c1ccc(C=Cc2ccc(C(=O)O)cc2)o1,False
2,0,3,NR4A1_154,-5.772,CC(=O)c1ccc(C=Cc2ccc(C(=O)O)cc2)o1,False
2,0,4,NR4A1_154,-5.678,CC(=O)c1ccc(C=Cc2ccc(C(=O)O)cc2)o1,False
3,0,0,NR4A1_427,-6.768,COc1cc(NS(=O)(=O)c2ccc(C)cc2)cc(C2CCCCN2S(C)(=O)=O)c1,True
3,0,1,NR4A1_427,-6.466,COc1cc(NS(=O)(=O)c2ccc(C)cc2)cc(C2CCCCN2S(C)(=O)=O)c1,False
3,0,2,NR4A1_427,-6.273,COc1cc(NS(=O)(=O)c2ccc(C)cc2)cc(C2CCCCN2S(C)(=O)=O)c1,False
3,0,3,NR4A1_427,-6.27,COc1cc(NS(=O)(=O)c2ccc(C)cc2)cc(C2CCCCN2S(C)(=O)=O)c1,False
3,0,4,NR4A1_427,-6.195,COc1cc(NS(=O)(=O)c2ccc(C)cc2)cc(C2CCCCN2S(C)(=O)=O)c1,False
4,0,0,NR4A1_149,-6.309,CC(C)c1nc(C(=O)c2cccc3ccccc23)c[nH]1,True
4,0,1,NR4A1_149,-6.255,CC(C)c1nc(C(=O)c2cccc3ccccc23)c[nH]1,False
4,0,2,NR4A1_149,-6.2,CC(C)c1nc(C(=O)c2cccc3ccccc23)c[nH]1,False
4,0,3,NR4A1_149,-6.084,CC(C)c1nc(C(=O)c2cccc3ccccc23)c[nH]1,False
4,0,4,NR4A1_149,-6.07,CC(C)c1nc(C(=O)c2cccc3ccccc23)c[nH]1,False
5,0,0,NR4A1_187,-7.801,O=C(O)/C=C/c1cccc(/C=C/c2ccc3oc4ccccc4c(=O)c3c2)c1,True
5,0,1,NR4A1_187,-7.749,O=C(O)/C=C/c1cccc(/C=C/c2ccc3oc4ccccc4c(=O)c3c2)c1,False
5,0,2,NR4A1_187,-7.476,O=C(O)/C=C/c1cccc(/C=C/c2ccc3oc4ccccc4c(=O)c3c2)c1,False
5,0,3,NR4A1_187,-7.431,O=C(O)/C=C/c1cccc(/C=C/c2ccc3oc4ccccc4c(=O)c3c2)c1,False
5,0,4,NR4A1_187,-7.199,O=C(O)/C=C/c1cccc(/C=C/c2ccc3oc4ccccc4c(=O)c3c2)c1,False
6,0,0,NR4A1_432,-6.557,Clc1ccn2cc(-c3ccc(CN4CCOCC4)cc3)nc2c1,True
6,0,1,NR4A1_432,-6.286,Clc1ccn2cc(-c3ccc(CN4CCOCC4)cc3)nc2c1,False
6,0,2,NR4A1_432,-6.141,Clc1ccn2cc(-c3ccc(CN4CCOCC4)cc3)nc2c1,False
6,0,3,NR4A1_432,-6.126,Clc1ccn2cc(-c3ccc(CN4CCOCC4)cc3)nc2c1,False
6,0,4,NR4A1_432,-5.865,Clc1ccn2cc(-c3ccc(CN4CCOCC4)cc3)nc2c1,False
7,0,0,NR4A1_64,-6.708,COc1ccc(NC(=O)c2ccc(-c3ccccc3)o2)cc1,True
7,0,1,NR4A1_64,-6.559,COc1ccc(NC(=O)c2ccc(-c3ccccc3)o2)cc1,False
7,0,2,NR4A1_64,-6.301,COc1ccc(NC(=O)c2ccc(-c3ccccc3)o2)cc1,False
7,0,3,NR4A1_64,-6.208,COc1ccc(NC(=O)c2ccc(-c3ccccc3)o2)cc1,False
7,0,4,NR4A1_64,-6.185,COc1ccc(NC(=O)c2ccc(-c3ccccc3)o2)cc1,False
8,0,0,NR4A1_98,-8.085,CCOc1ccc(-c2ncc(C)n2C)cc1-c1cc2ccc(C(=O)N3CCOCC3)cc2cc1CC1CCCC1,True
8,0,1,NR4A1_98,-7.907,CCOc1ccc(-c2ncc(C)n2C)cc1-c1cc2ccc(C(=O)N3CCOCC3)cc2cc1CC1CCCC1,False
8,0,2,NR4A1_98,-7.835,CCOc1ccc(-c2ncc(C)n2C)cc1-c1cc2ccc(C(=O)N3CCOCC3)cc2cc1CC1CCCC1,False
8,0,3,NR4A1_98,-7.661,CCOc1ccc(-c2ncc(C)n2C)cc1-c1cc2ccc(C(=O)N3CCOCC3)cc2cc1CC1CCCC1,False
8,0,4,NR4A1_98,-7.525,CCOc1ccc(-c2ncc(C)n2C)cc1-c1cc2ccc(C(=O)N3CCOCC3)cc2cc1CC1CCCC1,False
9,0,0,NR4A1_133,-6.57,CC(C)Cn1c(=O)[nH]c2cc(-c3ccccc3)ccc2c1=O,True
9,0,1,NR4A1_133,-6.508,CC(C)Cn1c(=O)[nH]c2cc(-c3ccccc3)ccc2c1=O,False
9,0,2,NR4A1_133,-6.435,CC(C)Cn1c(=O)[nH]c2cc(-c3ccccc3)ccc2c1=O,False
9,0,3,NR4A1_133,-6.391,CC(C)Cn1c(=O)[nH]c2cc(-c3ccccc3)ccc2c1=O,False
