ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,P2RX3_606,-7.394,CC(C)(CO)c1ccc(Cn2c(=O)nc(OCCO)c(=O)n(Cc3ccc(Cl)cc3)c2=O)cc1,True
0,0,1,P2RX3_606,-7.324,CC(C)(CO)c1ccc(Cn2c(=O)nc(OCCO)c(=O)n(Cc3ccc(Cl)cc3)c2=O)cc1,False
0,0,2,P2RX3_606,-7.227,CC(C)(CO)c1ccc(Cn2c(=O)nc(OCCO)c(=O)n(Cc3ccc(Cl)cc3)c2=O)cc1,False
0,0,3,P2RX3_606,-6.89,CC(C)(CO)c1ccc(Cn2c(=O)nc(OCCO)c(=O)n(Cc3ccc(Cl)cc3)c2=O)cc1,False
0,0,4,P2RX3_606,-6.665,CC(C)(CO)c1ccc(Cn2c(=O)nc(OCCO)c(=O)n(Cc3ccc(Cl)cc3)c2=O)cc1,False
1,0,0,P2RX3_42,-7.374,Nc1c(Cc2c(Cl)cccc2Cl)c(NCCO)nc(=O)n1-c1ccc(Cl)cc1,True
1,0,1,P2RX3_42,-7.304,Nc1c(Cc2c(Cl)cccc2Cl)c(NCCO)nc(=O)n1-c1ccc(Cl)cc1,False
1,0,2,P2RX3_42,-7.073,Nc1c(Cc2c(Cl)cccc2Cl)c(NCCO)nc(=O)n1-c1ccc(Cl)cc1,False
1,0,3,P2RX3_42,-6.868,Nc1c(Cc2c(Cl)cccc2Cl)c(NCCO)nc(=O)n1-c1ccc(Cl)cc1,False
1,0,4,P2RX3_42,-6.826,Nc1c(Cc2c(Cl)cccc2Cl)c(NCCO)nc(=O)n1-c1ccc(Cl)cc1,False
2,0,0,P2RX3_66,-8.369,COc1ccc(Oc2ccc(Nc3c(C(F)(F)F)cnn3Cc3ccccc3)cc2)cn1,True
2,0,1,P2RX3_66,-8.213,COc1ccc(Oc2ccc(Nc3c(C(F)(F)F)cnn3Cc3ccccc3)cc2)cn1,False
2,0,2,P2RX3_66,-8.159,COc1ccc(Oc2ccc(Nc3c(C(F)(F)F)cnn3Cc3ccccc3)cc2)cn1,False
2,0,3,P2RX3_66,-7.995,COc1ccc(Oc2ccc(Nc3c(C(F)(F)F)cnn3Cc3ccccc3)cc2)cn1,False
2,0,4,P2RX3_66,-7.908,COc1ccc(Oc2ccc(Nc3c(C(F)(F)F)cnn3Cc3ccccc3)cc2)cn1,False
3,0,0,P2RX3_224,-9.39,COc1ccc(Cc2nc(Nc3ccc4ccccc4c3)cn(CC(=O)N3CCOCC3)c2=O)cc1,True
3,0,1,P2RX3_224,-9.091,COc1ccc(Cc2nc(Nc3ccc4ccccc4c3)cn(CC(=O)N3CCOCC3)c2=O)cc1,False
3,0,2,P2RX3_224,-9.081,COc1ccc(Cc2nc(Nc3ccc4ccccc4c3)cn(CC(=O)N3CCOCC3)c2=O)cc1,False
3,0,3,P2RX3_224,-9.007,COc1ccc(Cc2nc(Nc3ccc4ccccc4c3)cn(CC(=O)N3CCOCC3)c2=O)cc1,False
3,0,4,P2RX3_224,-8.888,COc1ccc(Cc2nc(Nc3ccc4ccccc4c3)cn(CC(=O)N3CCOCC3)c2=O)cc1,False
4,0,0,P2RX3_316,-8.739,CC(=O)Nc1ccc(Nc2nc(OCC(=O)N(C)C)c(=O)n(Cc3ccc(Cl)cc3)n2)cc1,True
4,0,1,P2RX3_316,-8.164,CC(=O)Nc1ccc(Nc2nc(OCC(=O)N(C)C)c(=O)n(Cc3ccc(Cl)cc3)n2)cc1,False
4,0,2,P2RX3_316,-8.091,CC(=O)Nc1ccc(Nc2nc(OCC(=O)N(C)C)c(=O)n(Cc3ccc(Cl)cc3)n2)cc1,False
4,0,3,P2RX3_316,-8.046,CC(=O)Nc1ccc(Nc2nc(OCC(=O)N(C)C)c(=O)n(Cc3ccc(Cl)cc3)n2)cc1,False
4,0,4,P2RX3_316,-8.001,CC(=O)Nc1ccc(Nc2nc(OCC(=O)N(C)C)c(=O)n(Cc3ccc(Cl)cc3)n2)cc1,False
5,0,0,P2RX3_348,-8.066,Nc1nc(N)c2ccc(Cc3ccccc3)cc2n1,True
5,0,1,P2RX3_348,-7.631,Nc1nc(N)c2ccc(Cc3ccccc3)cc2n1,False
5,0,2,P2RX3_348,-7.249,Nc1nc(N)c2ccc(Cc3ccccc3)cc2n1,False
5,0,3,P2RX3_348,-7.24,Nc1nc(N)c2ccc(Cc3ccccc3)cc2n1,False
5,0,4,P2RX3_348,-7.005,Nc1nc(N)c2ccc(Cc3ccccc3)cc2n1,False
6,0,0,P2RX3_163,-7.752,CC(C)c1nc(N)ncc1Oc1cccc(C(C)(C)C)c1,True
6,0,1,P2RX3_163,-7.04,CC(C)c1nc(N)ncc1Oc1cccc(C(C)(C)C)c1,False
6,0,2,P2RX3_163,-6.756,CC(C)c1nc(N)ncc1Oc1cccc(C(C)(C)C)c1,False
6,0,3,P2RX3_163,-6.7,CC(C)c1nc(N)ncc1Oc1cccc(C(C)(C)C)c1,False
6,0,4,P2RX3_163,-6.651,CC(C)c1nc(N)ncc1Oc1cccc(C(C)(C)C)c1,False
7,0,0,P2RX3_108,-9.074,O=C(NC(=O)c1sc2ccccc2c1Cc1ccc(Cl)cc1)Nc1ccc(Cl)c(CO)c1,True
7,0,1,P2RX3_108,-9.014,O=C(NC(=O)c1sc2ccccc2c1Cc1ccc(Cl)cc1)Nc1ccc(Cl)c(CO)c1,False
7,0,2,P2RX3_108,-9.002,O=C(NC(=O)c1sc2ccccc2c1Cc1ccc(Cl)cc1)Nc1ccc(Cl)c(CO)c1,False
7,0,3,P2RX3_108,-8.63,O=C(NC(=O)c1sc2ccccc2c1Cc1ccc(Cl)cc1)Nc1ccc(Cl)c(CO)c1,False
7,0,4,P2RX3_108,-8.455,O=C(NC(=O)c1sc2ccccc2c1Cc1ccc(Cl)cc1)Nc1ccc(Cl)c(CO)c1,False
8,0,0,P2RX3_315,-8.067,CCC(C)NC(=O)C(C)Cc1nc(N)ncc1-c1ccn(Cc2cc(C)on2)c(=O)c1,True
8,0,1,P2RX3_315,-8.04,CCC(C)NC(=O)C(C)Cc1nc(N)ncc1-c1ccn(Cc2cc(C)on2)c(=O)c1,False
8,0,2,P2RX3_315,-8.033,CCC(C)NC(=O)C(C)Cc1nc(N)ncc1-c1ccn(Cc2cc(C)on2)c(=O)c1,False
8,0,3,P2RX3_315,-7.639,CCC(C)NC(=O)C(C)Cc1nc(N)ncc1-c1ccn(Cc2cc(C)on2)c(=O)c1,False
8,0,4,P2RX3_315,-7.59,CCC(C)NC(=O)C(C)Cc1nc(N)ncc1-c1ccn(Cc2cc(C)on2)c(=O)c1,False
9,0,0,P2RX3_150,-8.657,CN1CCN(C(=O)C2(C(=O)Nc3ccc(-c4cc(C(F)(F)F)n(C)n4)cc3)CC2)CC1,True
9,0,1,P2RX3_150,-8.44,CN1CCN(C(=O)C2(C(=O)Nc3ccc(-c4cc(C(F)(F)F)n(C)n4)cc3)CC2)CC1,False
9,0,2,P2RX3_150,-8.374,CN1CCN(C(=O)C2(C(=O)Nc3ccc(-c4cc(C(F)(F)F)n(C)n4)cc3)CC2)CC1,False
9,0,3,P2RX3_150,-8.163,CN1CCN(C(=O)C2(C(=O)Nc3ccc(-c4cc(C(F)(F)F)n(C)n4)cc3)CC2)CC1,False
9,0,4,P2RX3_150,-8.127,CN1CCN(C(=O)C2(C(=O)Nc3ccc(-c4cc(C(F)(F)F)n(C)n4)cc3)CC2)CC1,False
10,0,0,P2RX3_546,-7.977,CC(C)(C)c1cc(Oc2cc(N)ncn2)ccc1OCc1ccccc1,True
10,0,1,P2RX3_546,-7.763,CC(C)(C)c1cc(Oc2cc(N)ncn2)ccc1OCc1ccccc1,False
10,0,2,P2RX3_546,-7.713,CC(C)(C)c1cc(Oc2cc(N)ncn2)ccc1OCc1ccccc1,False
10,0,3,P2RX3_546,-7.645,CC(C)(C)c1cc(Oc2cc(N)ncn2)ccc1OCc1ccccc1,False
10,0,4,P2RX3_546,-7.644,CC(C)(C)c1cc(Oc2cc(N)ncn2)ccc1OCc1ccccc1,False
11,0,0,P2RX3_507,-8.07,COC(=O)c1ccc(Oc2nc(Nc3ccc(Cl)cc3)nc(=O)n2S(C)(=O)=O)cc1,True
11,0,1,P2RX3_507,-7.789,COC(=O)c1ccc(Oc2nc(Nc3ccc(Cl)cc3)nc(=O)n2S(C)(=O)=O)cc1,False
11,0,2,P2RX3_507,-7.717,COC(=O)c1ccc(Oc2nc(Nc3ccc(Cl)cc3)nc(=O)n2S(C)(=O)=O)cc1,False
11,0,3,P2RX3_507,-7.594,COC(=O)c1ccc(Oc2nc(Nc3ccc(Cl)cc3)nc(=O)n2S(C)(=O)=O)cc1,False
11,0,4,P2RX3_507,-7.524,COC(=O)c1ccc(Oc2nc(Nc3ccc(Cl)cc3)nc(=O)n2S(C)(=O)=O)cc1,False
12,0,0,P2RX3_596,-8.992,CN(C)C(=O)/C=C/c1ccc(Oc2ccc(NC(=O)Nc3ccc(S(N)(=O)=O)c(Cl)c3)cc2)cc1,True
12,0,1,P2RX3_596,-8.8,CN(C)C(=O)/C=C/c1ccc(Oc2ccc(NC(=O)Nc3ccc(S(N)(=O)=O)c(Cl)c3)cc2)cc1,False
12,0,2,P2RX3_596,-8.595,CN(C)C(=O)/C=C/c1ccc(Oc2ccc(NC(=O)Nc3ccc(S(N)(=O)=O)c(Cl)c3)cc2)cc1,False
12,0,3,P2RX3_596,-8.483,CN(C)C(=O)/C=C/c1ccc(Oc2ccc(NC(=O)Nc3ccc(S(N)(=O)=O)c(Cl)c3)cc2)cc1,False
12,0,4,P2RX3_596,-8.414,CN(C)C(=O)/C=C/c1ccc(Oc2ccc(NC(=O)Nc3ccc(S(N)(=O)=O)c(Cl)c3)cc2)cc1,False
14,0,0,P2RX3_218,-8.191,CC(C)CCCOC(=O)c1ccc(C(=O)C(=O)Nc2c(OC(C)C)cccc2C(C)C)cc1,True
14,0,1,P2RX3_218,-7.894,CC(C)CCCOC(=O)c1ccc(C(=O)C(=O)Nc2c(OC(C)C)cccc2C(C)C)cc1,False
14,0,2,P2RX3_218,-7.489,CC(C)CCCOC(=O)c1ccc(C(=O)C(=O)Nc2c(OC(C)C)cccc2C(C)C)cc1,False
14,0,3,P2RX3_218,-7.455,CC(C)CCCOC(=O)c1ccc(C(=O)C(=O)Nc2c(OC(C)C)cccc2C(C)C)cc1,False
14,0,4,P2RX3_218,-7.433,CC(C)CCCOC(=O)c1ccc(C(=O)C(=O)Nc2c(OC(C)C)cccc2C(C)C)cc1,False
15,0,0,P2RX3_488,-8.373,CC(C)c1cccc(Oc2ccccc2)c1Nc1nc(N)ncc1Cl,True
15,0,1,P2RX3_488,-8.174,CC(C)c1cccc(Oc2ccccc2)c1Nc1nc(N)ncc1Cl,False
15,0,2,P2RX3_488,-8.036,CC(C)c1cccc(Oc2ccccc2)c1Nc1nc(N)ncc1Cl,False
15,0,3,P2RX3_488,-7.629,CC(C)c1cccc(Oc2ccccc2)c1Nc1nc(N)ncc1Cl,False
15,0,4,P2RX3_488,-7.621,CC(C)c1cccc(Oc2ccccc2)c1Nc1nc(N)ncc1Cl,False
16,0,0,P2RX3_260,-8.334,CC(=O)OCc1ccc(Nc2nc(N[C@@H](C)C(C)C)c(=O)n(CC(=O)N(C)CCc3ccccc3)n2)cc1,True
16,0,1,P2RX3_260,-8.208,CC(=O)OCc1ccc(Nc2nc(N[C@@H](C)C(C)C)c(=O)n(CC(=O)N(C)CCc3ccccc3)n2)cc1,False
16,0,2,P2RX3_260,-7.908,CC(=O)OCc1ccc(Nc2nc(N[C@@H](C)C(C)C)c(=O)n(CC(=O)N(C)CCc3ccccc3)n2)cc1,False
16,0,3,P2RX3_260,-7.251,CC(=O)OCc1ccc(Nc2nc(N[C@@H](C)C(C)C)c(=O)n(CC(=O)N(C)CCc3ccccc3)n2)cc1,False
16,0,4,P2RX3_260,-7.201,CC(=O)OCc1ccc(Nc2nc(N[C@@H](C)C(C)C)c(=O)n(CC(=O)N(C)CCc3ccccc3)n2)cc1,False
17,0,0,P2RX3_413,-8.929,Cc1nccc(Oc2cc(C(=O)N(C)C)ccc2C(=O)NCc2cnn(CCN3CCOCC3)c2)n1,True
17,0,1,P2RX3_413,-8.864,Cc1nccc(Oc2cc(C(=O)N(C)C)ccc2C(=O)NCc2cnn(CCN3CCOCC3)c2)n1,False
17,0,2,P2RX3_413,-8.715,Cc1nccc(Oc2cc(C(=O)N(C)C)ccc2C(=O)NCc2cnn(CCN3CCOCC3)c2)n1,False
17,0,3,P2RX3_413,-8.71,Cc1nccc(Oc2cc(C(=O)N(C)C)ccc2C(=O)NCc2cnn(CCN3CCOCC3)c2)n1,False
17,0,4,P2RX3_413,-8.701,Cc1nccc(Oc2cc(C(=O)N(C)C)ccc2C(=O)NCc2cnn(CCN3CCOCC3)c2)n1,False
18,0,0,P2RX3_366,-8.35,COc1ccc(CCOc2ncc(-c3ccccc3)cc2C(=O)Nc2ccccc2)cc1,True
18,0,1,P2RX3_366,-8.148,COc1ccc(CCOc2ncc(-c3ccccc3)cc2C(=O)Nc2ccccc2)cc1,False
18,0,2,P2RX3_366,-7.787,COc1ccc(CCOc2ncc(-c3ccccc3)cc2C(=O)Nc2ccccc2)cc1,False
