ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,RIOK1_351,-9.92,O=C(Nc1sccc1-c1nc2cc(OCCN3CCOCC3)ccc2[nH]1)c1cccc2ccccc12,True
0,0,1,RIOK1_351,-9.649,O=C(Nc1sccc1-c1nc2cc(OCCN3CCOCC3)ccc2[nH]1)c1cccc2ccccc12,False
0,0,2,RIOK1_351,-9.592,O=C(Nc1sccc1-c1nc2cc(OCCN3CCOCC3)ccc2[nH]1)c1cccc2ccccc12,False
0,0,3,RIOK1_351,-9.482,O=C(Nc1sccc1-c1nc2cc(OCCN3CCOCC3)ccc2[nH]1)c1cccc2ccccc12,False
0,0,4,RIOK1_351,-9.339,O=C(Nc1sccc1-c1nc2cc(OCCN3CCOCC3)ccc2[nH]1)c1cccc2ccccc12,False
1,0,0,RIOK1_182,-10.406,Oc1ccc2[nH]cc(-c3ccc4c(c3)OCCCN4C/C=C/c3ccccc3F)c2c1F,True
1,0,1,RIOK1_182,-10.226,Oc1ccc2[nH]cc(-c3ccc4c(c3)OCCCN4C/C=C/c3ccccc3F)c2c1F,False
1,0,2,RIOK1_182,-9.748,Oc1ccc2[nH]cc(-c3ccc4c(c3)OCCCN4C/C=C/c3ccccc3F)c2c1F,False
1,0,3,RIOK1_182,-9.738,Oc1ccc2[nH]cc(-c3ccc4c(c3)OCCCN4C/C=C/c3ccccc3F)c2c1F,False
1,0,4,RIOK1_182,-9.524,Oc1ccc2[nH]cc(-c3ccc4c(c3)OCCCN4C/C=C/c3ccccc3F)c2c1F,False
2,0,0,RIOK1_398,-8.233,COc1cc(N2CCN(C)CC2)ccc1Nc1ncnc2ccccc12,True
2,0,1,RIOK1_398,-7.899,COc1cc(N2CCN(C)CC2)ccc1Nc1ncnc2ccccc12,False
2,0,2,RIOK1_398,-7.895,COc1cc(N2CCN(C)CC2)ccc1Nc1ncnc2ccccc12,False
2,0,3,RIOK1_398,-7.846,COc1cc(N2CCN(C)CC2)ccc1Nc1ncnc2ccccc12,False
2,0,4,RIOK1_398,-7.746,COc1cc(N2CCN(C)CC2)ccc1Nc1ncnc2ccccc12,False
3,0,0,RIOK1_469,-8.398,CN1C(=O)c2ccccc2-c2ccccc2CC1C(=O)Nc1ccc2c(c1)OCO2,True
3,0,1,RIOK1_469,-8.372,CN1C(=O)c2ccccc2-c2ccccc2CC1C(=O)Nc1ccc2c(c1)OCO2,False
3,0,2,RIOK1_469,-8.336,CN1C(=O)c2ccccc2-c2ccccc2CC1C(=O)Nc1ccc2c(c1)OCO2,False
3,0,3,RIOK1_469,-8.133,CN1C(=O)c2ccccc2-c2ccccc2CC1C(=O)Nc1ccc2c(c1)OCO2,False
4,0,0,RIOK1_200,-7.945,c1ccc(Nc2nccc(N3CCNCC3)n2)cc1,True
4,0,1,RIOK1_200,-7.824,c1ccc(Nc2nccc(N3CCNCC3)n2)cc1,False
4,0,2,RIOK1_200,-7.297,c1ccc(Nc2nccc(N3CCNCC3)n2)cc1,False
4,0,3,RIOK1_200,-6.916,c1ccc(Nc2nccc(N3CCNCC3)n2)cc1,False
4,0,4,RIOK1_200,-6.892,c1ccc(Nc2nccc(N3CCNCC3)n2)cc1,False
5,0,0,RIOK1_413,-8.716,C(CCOc1ccc2c(c1)C/C2=C\Cc1ccccc1)=NCc1ccccc1,True
5,0,1,RIOK1_413,-8.642,C(CCOc1ccc2c(c1)C/C2=C\Cc1ccccc1)=NCc1ccccc1,False
5,0,2,RIOK1_413,-8.525,C(CCOc1ccc2c(c1)C/C2=C\Cc1ccccc1)=NCc1ccccc1,False
5,0,3,RIOK1_413,-8.513,C(CCOc1ccc2c(c1)C/C2=C\Cc1ccccc1)=NCc1ccccc1,False
5,0,4,RIOK1_413,-8.495,C(CCOc1ccc2c(c1)C/C2=C\Cc1ccccc1)=NCc1ccccc1,False
