ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,SPIN1_635,-7.426,CCOc1c(C(=O)N2CCCCC2)ccc2c1CCC2N1CCN(C)CC1,True
0,0,1,SPIN1_635,-7.146,CCOc1c(C(=O)N2CCCCC2)ccc2c1CCC2N1CCN(C)CC1,False
0,0,2,SPIN1_635,-6.966,CCOc1c(C(=O)N2CCCCC2)ccc2c1CCC2N1CCN(C)CC1,False
0,0,3,SPIN1_635,-6.888,CCOc1c(C(=O)N2CCCCC2)ccc2c1CCC2N1CCN(C)CC1,False
0,0,4,SPIN1_635,-6.713,CCOc1c(C(=O)N2CCCCC2)ccc2c1CCC2N1CCN(C)CC1,False
1,0,0,SPIN1_700,-8.084,NCc1cc(Cl)ccc1C(=O)NC1CN(C2CCC2)C(=O)c2ccc(OCCN3CCN(CC4CC4)CC3)cc21,True
1,0,1,SPIN1_700,-7.928,NCc1cc(Cl)ccc1C(=O)NC1CN(C2CCC2)C(=O)c2ccc(OCCN3CCN(CC4CC4)CC3)cc21,False
1,0,2,SPIN1_700,-7.719,NCc1cc(Cl)ccc1C(=O)NC1CN(C2CCC2)C(=O)c2ccc(OCCN3CCN(CC4CC4)CC3)cc21,False
1,0,3,SPIN1_700,-7.625,NCc1cc(Cl)ccc1C(=O)NC1CN(C2CCC2)C(=O)c2ccc(OCCN3CCN(CC4CC4)CC3)cc21,False
1,0,4,SPIN1_700,-7.613,NCc1cc(Cl)ccc1C(=O)NC1CN(C2CCC2)C(=O)c2ccc(OCCN3CCN(CC4CC4)CC3)cc21,False
2,0,0,SPIN1_737,-7.454,CN1CCN(CCOC2CCCN(CCN3CCN(c4ccccc4)CC3)C2)CC1,True
2,0,1,SPIN1_737,-7.318,CN1CCN(CCOC2CCCN(CCN3CCN(c4ccccc4)CC3)C2)CC1,False
2,0,2,SPIN1_737,-7.266,CN1CCN(CCOC2CCCN(CCN3CCN(c4ccccc4)CC3)C2)CC1,False
2,0,3,SPIN1_737,-7.246,CN1CCN(CCOC2CCCN(CCN3CCN(c4ccccc4)CC3)C2)CC1,False
2,0,4,SPIN1_737,-7.063,CN1CCN(CCOC2CCCN(CCN3CCN(c4ccccc4)CC3)C2)CC1,False
3,0,0,SPIN1_209,-8.311,NC1CN(Cc2ccccc2)Cc2cc(OCC3CC3)ccc2C1=O,True
3,0,1,SPIN1_209,-8.113,NC1CN(Cc2ccccc2)Cc2cc(OCC3CC3)ccc2C1=O,False
3,0,2,SPIN1_209,-8.03,NC1CN(Cc2ccccc2)Cc2cc(OCC3CC3)ccc2C1=O,False
3,0,3,SPIN1_209,-7.856,NC1CN(Cc2ccccc2)Cc2cc(OCC3CC3)ccc2C1=O,False
3,0,4,SPIN1_209,-7.722,NC1CN(Cc2ccccc2)Cc2cc(OCC3CC3)ccc2C1=O,False
4,0,0,SPIN1_731,-8.422,C=CCCN=C1NC2(CCN(C(=O)c3cc(Cl)cc(OC(F)(F)F)c3)CC2)CN2CCCC12,True
4,0,1,SPIN1_731,-7.97,C=CCCN=C1NC2(CCN(C(=O)c3cc(Cl)cc(OC(F)(F)F)c3)CC2)CN2CCCC12,False
4,0,2,SPIN1_731,-7.854,C=CCCN=C1NC2(CCN(C(=O)c3cc(Cl)cc(OC(F)(F)F)c3)CC2)CN2CCCC12,False
4,0,3,SPIN1_731,-7.825,C=CCCN=C1NC2(CCN(C(=O)c3cc(Cl)cc(OC(F)(F)F)c3)CC2)CN2CCCC12,False
4,0,4,SPIN1_731,-7.753,C=CCCN=C1NC2(CCN(C(=O)c3cc(Cl)cc(OC(F)(F)F)c3)CC2)CN2CCCC12,False
5,0,0,SPIN1_346,-6.84,CN(C)CCCN(C)CCN1c2ccccc2Sc2ccccc21,True
5,0,1,SPIN1_346,-6.803,CN(C)CCCN(C)CCN1c2ccccc2Sc2ccccc21,False
5,0,2,SPIN1_346,-6.762,CN(C)CCCN(C)CCN1c2ccccc2Sc2ccccc21,False
5,0,3,SPIN1_346,-6.238,CN(C)CCCN(C)CCN1c2ccccc2Sc2ccccc21,False
5,0,4,SPIN1_346,-6.195,CN(C)CCCN(C)CCN1c2ccccc2Sc2ccccc21,False
6,0,0,SPIN1_79,-6.422,COc1ccc2c(c1)CN(C)CC2,True
6,0,1,SPIN1_79,-6.344,COc1ccc2c(c1)CN(C)CC2,False
6,0,2,SPIN1_79,-6.304,COc1ccc2c(c1)CN(C)CC2,False
6,0,3,SPIN1_79,-6.165,COc1ccc2c(c1)CN(C)CC2,False
6,0,4,SPIN1_79,-5.934,COc1ccc2c(c1)CN(C)CC2,False
7,0,0,SPIN1_228,-7.67,COc1ccccc1-c1csc(NC2CCNCC2)c1,True
7,0,1,SPIN1_228,-7.609,COc1ccccc1-c1csc(NC2CCNCC2)c1,False
7,0,2,SPIN1_228,-7.516,COc1ccccc1-c1csc(NC2CCNCC2)c1,False
7,0,3,SPIN1_228,-7.473,COc1ccccc1-c1csc(NC2CCNCC2)c1,False
7,0,4,SPIN1_228,-7.352,COc1ccccc1-c1csc(NC2CCNCC2)c1,False
8,0,0,SPIN1_483,-8.529,CC(C)(C)Oc1ccc2c(c1)C1(CNC1)Cc1ccc(OCCN3CCCC3)cc1-2,True
8,0,1,SPIN1_483,-8.471,CC(C)(C)Oc1ccc2c(c1)C1(CNC1)Cc1ccc(OCCN3CCCC3)cc1-2,False
8,0,2,SPIN1_483,-8.403,CC(C)(C)Oc1ccc2c(c1)C1(CNC1)Cc1ccc(OCCN3CCCC3)cc1-2,False
8,0,3,SPIN1_483,-8.344,CC(C)(C)Oc1ccc2c(c1)C1(CNC1)Cc1ccc(OCCN3CCCC3)cc1-2,False
8,0,4,SPIN1_483,-8.156,CC(C)(C)Oc1ccc2c(c1)C1(CNC1)Cc1ccc(OCCN3CCCC3)cc1-2,False
9,0,0,SPIN1_333,-7.027,N=C1NC(=O)c2cc(OCCCCN3CCCC3)ccc21,True
9,0,1,SPIN1_333,-6.514,N=C1NC(=O)c2cc(OCCCCN3CCCC3)ccc21,False
9,0,2,SPIN1_333,-6.482,N=C1NC(=O)c2cc(OCCCCN3CCCC3)ccc21,False
9,0,3,SPIN1_333,-6.425,N=C1NC(=O)c2cc(OCCCCN3CCCC3)ccc21,False
9,0,4,SPIN1_333,-6.389,N=C1NC(=O)c2cc(OCCCCN3CCCC3)ccc21,False
10,0,0,SPIN1_665,-4.089,CCCN(C)C,True
10,0,1,SPIN1_665,-4.022,CCCN(C)C,False
10,0,2,SPIN1_665,-3.858,CCCN(C)C,False
10,0,3,SPIN1_665,-3.833,CCCN(C)C,False
10,0,4,SPIN1_665,-3.79,CCCN(C)C,False
11,0,0,SPIN1_642,-7.427,CNC(=NC1c2cc(OC)ccc2C(=O)N1C)NC1CCCCC1,True
11,0,1,SPIN1_642,-6.792,CNC(=NC1c2cc(OC)ccc2C(=O)N1C)NC1CCCCC1,False
11,0,2,SPIN1_642,-6.762,CNC(=NC1c2cc(OC)ccc2C(=O)N1C)NC1CCCCC1,False
11,0,3,SPIN1_642,-6.559,CNC(=NC1c2cc(OC)ccc2C(=O)N1C)NC1CCCCC1,False
11,0,4,SPIN1_642,-6.214,CNC(=NC1c2cc(OC)ccc2C(=O)N1C)NC1CCCCC1,False
12,0,0,SPIN1_143,-7.451,CN1CCc2ccc(N(Cc3ccc(N)c(C(N)=O)c3)C3CC3)cc2C1,True
12,0,1,SPIN1_143,-7.436,CN1CCc2ccc(N(Cc3ccc(N)c(C(N)=O)c3)C3CC3)cc2C1,False
12,0,2,SPIN1_143,-7.353,CN1CCc2ccc(N(Cc3ccc(N)c(C(N)=O)c3)C3CC3)cc2C1,False
12,0,3,SPIN1_143,-7.33,CN1CCc2ccc(N(Cc3ccc(N)c(C(N)=O)c3)C3CC3)cc2C1,False
12,0,4,SPIN1_143,-7.057,CN1CCc2ccc(N(Cc3ccc(N)c(C(N)=O)c3)C3CC3)cc2C1,False
13,0,0,SPIN1_15,-7.343,COc1ccc(CN2CCN(CCOc3ccc(N)c(OC)c3)CC2)cc1,True
13,0,1,SPIN1_15,-7.305,COc1ccc(CN2CCN(CCOc3ccc(N)c(OC)c3)CC2)cc1,False
13,0,2,SPIN1_15,-6.222,COc1ccc(CN2CCN(CCOc3ccc(N)c(OC)c3)CC2)cc1,False
13,0,3,SPIN1_15,-6.135,COc1ccc(CN2CCN(CCOc3ccc(N)c(OC)c3)CC2)cc1,False
13,0,4,SPIN1_15,-6.092,COc1ccc(CN2CCN(CCOc3ccc(N)c(OC)c3)CC2)cc1,False
14,0,0,SPIN1_464,-7.538,N=c1[nH]c2ccccc2n1Cc1ccc(O)cc1,True
14,0,1,SPIN1_464,-7.458,N=c1[nH]c2ccccc2n1Cc1ccc(O)cc1,False
14,0,2,SPIN1_464,-7.297,N=c1[nH]c2ccccc2n1Cc1ccc(O)cc1,False
14,0,3,SPIN1_464,-6.772,N=c1[nH]c2ccccc2n1Cc1ccc(O)cc1,False
14,0,4,SPIN1_464,-6.763,N=c1[nH]c2ccccc2n1Cc1ccc(O)cc1,False
15,0,0,SPIN1_581,-6.884,COc1cccc2cc(C(=O)/C(=C/CCN)C(=O)NCCCN3CCOCC3)[nH]c12,True
15,0,1,SPIN1_581,-6.777,COc1cccc2cc(C(=O)/C(=C/CCN)C(=O)NCCCN3CCOCC3)[nH]c12,False
15,0,2,SPIN1_581,-6.658,COc1cccc2cc(C(=O)/C(=C/CCN)C(=O)NCCCN3CCOCC3)[nH]c12,False
15,0,3,SPIN1_581,-6.483,COc1cccc2cc(C(=O)/C(=C/CCN)C(=O)NCCCN3CCOCC3)[nH]c12,False
15,0,4,SPIN1_581,-6.403,COc1cccc2cc(C(=O)/C(=C/CCN)C(=O)NCCCN3CCOCC3)[nH]c12,False
16,0,0,SPIN1_19,-6.776,CNCCOc1ccc2nc(N3C=NNCCC3)sc2c1,True
16,0,1,SPIN1_19,-6.434,CNCCOc1ccc2nc(N3C=NNCCC3)sc2c1,False
16,0,2,SPIN1_19,-6.395,CNCCOc1ccc2nc(N3C=NNCCC3)sc2c1,False
16,0,3,SPIN1_19,-6.145,CNCCOc1ccc2nc(N3C=NNCCC3)sc2c1,False
16,0,4,SPIN1_19,-5.787,CNCCOc1ccc2nc(N3C=NNCCC3)sc2c1,False
17,0,0,SPIN1_203,-6.555,COc1cc(N)cc(C=NC(=N)N)c1CN1CCC2(CCCC2)C2(CCCC2)C1,True
17,0,1,SPIN1_203,-6.37,COc1cc(N)cc(C=NC(=N)N)c1CN1CCC2(CCCC2)C2(CCCC2)C1,False
17,0,2,SPIN1_203,-6.357,COc1cc(N)cc(C=NC(=N)N)c1CN1CCC2(CCCC2)C2(CCCC2)C1,False
17,0,3,SPIN1_203,-6.203,COc1cc(N)cc(C=NC(=N)N)c1CN1CCC2(CCCC2)C2(CCCC2)C1,False
17,0,4,SPIN1_203,-6.2,COc1cc(N)cc(C=NC(=N)N)c1CN1CCC2(CCCC2)C2(CCCC2)C1,False
18,0,0,SPIN1_705,-7.642,N=C(N)Nc1ccc2c(c1)CC(COc1cccc(O)c1OCCCN1CCCC1)C2,True
18,0,1,SPIN1_705,-7.591,N=C(N)Nc1ccc2c(c1)CC(COc1cccc(O)c1OCCCN1CCCC1)C2,False
18,0,2,SPIN1_705,-7.59,N=C(N)Nc1ccc2c(c1)CC(COc1cccc(O)c1OCCCN1CCCC1)C2,False
18,0,3,SPIN1_705,-7.564,N=C(N)Nc1ccc2c(c1)CC(COc1cccc(O)c1OCCCN1CCCC1)C2,False
18,0,4,SPIN1_705,-7.432,N=C(N)Nc1ccc2c(c1)CC(COc1cccc(O)c1OCCCN1CCCC1)C2,False
19,0,0,SPIN1_186,-6.972,COc1cc2c(cc1OCC1CC1)-c1cc(OCCCN3CCCC3)ccc1CN(C)C2=O,True
19,0,1,SPIN1_186,-6.949,COc1cc2c(cc1OCC1CC1)-c1cc(OCCCN3CCCC3)ccc1CN(C)C2=O,False
19,0,2,SPIN1_186,-6.888,COc1cc2c(cc1OCC1CC1)-c1cc(OCCCN3CCCC3)ccc1CN(C)C2=O,False
19,0,3,SPIN1_186,-6.698,COc1cc2c(cc1OCC1CC1)-c1cc(OCCCN3CCCC3)ccc1CN(C)C2=O,False
19,0,4,SPIN1_186,-6.681,COc1cc2c(cc1OCC1CC1)-c1cc(OCCCN3CCCC3)ccc1CN(C)C2=O,False
20,0,0,SPIN1_341,-9.83,Nc1cc2c(cc1O)CN(CCOc1ccccc1Cc1ccccc1)CC2,True
20,0,1,SPIN1_341,-9.388,Nc1cc2c(cc1O)CN(CCOc1ccccc1Cc1ccccc1)CC2,False
20,0,2,SPIN1_341,-9.204,Nc1cc2c(cc1O)CN(CCOc1ccccc1Cc1ccccc1)CC2,False
20,0,3,SPIN1_341,-8.954,Nc1cc2c(cc1O)CN(CCOc1ccccc1Cc1ccccc1)CC2,False
20,0,4,SPIN1_341,-8.907,Nc1cc2c(cc1O)CN(CCOc1ccccc1Cc1ccccc1)CC2,False
21,0,0,SPIN1_530,-6.472,O=C(O)COc1ccccc1Cn1cncc1CCCCN1CCOCC1,True
21,0,1,SPIN1_530,-6.448,O=C(O)COc1ccccc1Cn1cncc1CCCCN1CCOCC1,False
21,0,2,SPIN1_530,-6.357,O=C(O)COc1ccccc1Cn1cncc1CCCCN1CCOCC1,False
21,0,3,SPIN1_530,-6.343,O=C(O)COc1ccccc1Cn1cncc1CCCCN1CCOCC1,False
21,0,4,SPIN1_530,-6.337,O=C(O)COc1ccccc1Cn1cncc1CCCCN1CCOCC1,False
22,0,0,SPIN1_699,-7.683,CN1CCN(c2nc3cc(Cl)ccc3c(=N)[nH]2)CC1,True
22,0,1,SPIN1_699,-7.219,CN1CCN(c2nc3cc(Cl)ccc3c(=N)[nH]2)CC1,False
22,0,2,SPIN1_699,-6.912,CN1CCN(c2nc3cc(Cl)ccc3c(=N)[nH]2)CC1,False
22,0,3,SPIN1_699,-6.857,CN1CCN(c2nc3cc(Cl)ccc3c(=N)[nH]2)CC1,False
22,0,4,SPIN1_699,-6.264,CN1CCN(c2nc3cc(Cl)ccc3c(=N)[nH]2)CC1,False
23,0,0,SPIN1_490,-8.128,CCOc1ccc(CN2CCN(CCc3ccccc3OC)C3(CC3)C2)cc1,True
23,0,1,SPIN1_490,-7.904,CCOc1ccc(CN2CCN(CCc3ccccc3OC)C3(CC3)C2)cc1,False
23,0,2,SPIN1_490,-7.622,CCOc1ccc(CN2CCN(CCc3ccccc3OC)C3(CC3)C2)cc1,False
23,0,3,SPIN1_490,-7.55,CCOc1ccc(CN2CCN(CCc3ccccc3OC)C3(CC3)C2)cc1,False
23,0,4,SPIN1_490,-7.526,CCOc1ccc(CN2CCN(CCc3ccccc3OC)C3(CC3)C2)cc1,False
24,0,0,SPIN1_147,-8.322,CCC1CN(Cc2ccccc2)C(NC2Cc3ccc(O)cc3C2)=N1,True
24,0,1,SPIN1_147,-8.194,CCC1CN(Cc2ccccc2)C(NC2Cc3ccc(O)cc3C2)=N1,False
24,0,2,SPIN1_147,-8.134,CCC1CN(Cc2ccccc2)C(NC2Cc3ccc(O)cc3C2)=N1,False
24,0,3,SPIN1_147,-7.98,CCC1CN(Cc2ccccc2)C(NC2Cc3ccc(O)cc3C2)=N1,False
24,0,4,SPIN1_147,-7.623,CCC1CN(Cc2ccccc2)C(NC2Cc3ccc(O)cc3C2)=N1,False
25,0,0,SPIN1_34,-7.714,COc1cc2c(cc1OCCN1CCn3ccnc3C1)C(N)CC=Cc1sccc1C2,True
25,0,1,SPIN1_34,-7.574,COc1cc2c(cc1OCCN1CCn3ccnc3C1)C(N)CC=Cc1sccc1C2,False
25,0,2,SPIN1_34,-7.534,COc1cc2c(cc1OCCN1CCn3ccnc3C1)C(N)CC=Cc1sccc1C2,False
25,0,3,SPIN1_34,-7.297,COc1cc2c(cc1OCCN1CCn3ccnc3C1)C(N)CC=Cc1sccc1C2,False
25,0,4,SPIN1_34,-7.136,COc1cc2c(cc1OCCN1CCn3ccnc3C1)C(N)CC=Cc1sccc1C2,False
26,0,0,SPIN1_120,-6.932,CN1CCN(CCCOc2ccccc2CN2CCc3ccc(OCCCN4CCCC4)cc32)CC1,True
26,0,1,SPIN1_120,-6.815,CN1CCN(CCCOc2ccccc2CN2CCc3ccc(OCCCN4CCCC4)cc32)CC1,False
26,0,2,SPIN1_120,-6.793,CN1CCN(CCCOc2ccccc2CN2CCc3ccc(OCCCN4CCCC4)cc32)CC1,False
26,0,3,SPIN1_120,-6.735,CN1CCN(CCCOc2ccccc2CN2CCc3ccc(OCCCN4CCCC4)cc32)CC1,False
26,0,4,SPIN1_120,-6.603,CN1CCN(CCCOc2ccccc2CN2CCc3ccc(OCCCN4CCCC4)cc32)CC1,False
27,0,0,SPIN1_298,-6.724,NCc1cc(OCCCN2CCCC2=O)cc(N2CCNCC2)c1,True
27,0,1,SPIN1_298,-6.69,NCc1cc(OCCCN2CCCC2=O)cc(N2CCNCC2)c1,False
27,0,2,SPIN1_298,-6.669,NCc1cc(OCCCN2CCCC2=O)cc(N2CCNCC2)c1,False
27,0,3,SPIN1_298,-6.668,NCc1cc(OCCCN2CCCC2=O)cc(N2CCNCC2)c1,False
27,0,4,SPIN1_298,-6.666,NCc1cc(OCCCN2CCCC2=O)cc(N2CCNCC2)c1,False
28,0,0,SPIN1_564,-8.232,CN1CCc2ccc(OCCCN)cc2-c2nc(CN3CCC(N4CCOCC4)C3)sc2C1,True
