ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,CCR9_429,-9.207,Cc1cccc(S(=O)(=O)Nc2cc(C)c(C)c(S(=O)(=O)Nc3ccccc3)c2)c1,True
0,0,1,CCR9_429,-9.135,Cc1cccc(S(=O)(=O)Nc2cc(C)c(C)c(S(=O)(=O)Nc3ccccc3)c2)c1,False
0,0,2,CCR9_429,-9.07,Cc1cccc(S(=O)(=O)Nc2cc(C)c(C)c(S(=O)(=O)Nc3ccccc3)c2)c1,False
0,0,3,CCR9_429,-9.0,Cc1cccc(S(=O)(=O)Nc2cc(C)c(C)c(S(=O)(=O)Nc3ccccc3)c2)c1,False
0,0,4,CCR9_429,-8.501,Cc1cccc(S(=O)(=O)Nc2cc(C)c(C)c(S(=O)(=O)Nc3ccccc3)c2)c1,False
1,0,0,CCR9_522,-7.221,Cc1ccc(S(=O)(=O)Nc2cc(NS(=O)(=O)c3cc(C)cc(C)c3C)cc(C)c2C)c(C)c1,True
1,0,1,CCR9_522,-7.164,Cc1ccc(S(=O)(=O)Nc2cc(NS(=O)(=O)c3cc(C)cc(C)c3C)cc(C)c2C)c(C)c1,False
1,0,2,CCR9_522,-6.764,Cc1ccc(S(=O)(=O)Nc2cc(NS(=O)(=O)c3cc(C)cc(C)c3C)cc(C)c2C)c(C)c1,False
1,0,3,CCR9_522,-6.72,Cc1ccc(S(=O)(=O)Nc2cc(NS(=O)(=O)c3cc(C)cc(C)c3C)cc(C)c2C)c(C)c1,False
1,0,4,CCR9_522,-6.575,Cc1ccc(S(=O)(=O)Nc2cc(NS(=O)(=O)c3cc(C)cc(C)c3C)cc(C)c2C)c(C)c1,False
2,0,0,CCR9_460,-10.252,Cc1cc(S(=O)(=O)Nc2ccccc2)cc(NS(=O)(=O)c2ccccc2)c1F,True
2,0,1,CCR9_460,-9.635,Cc1cc(S(=O)(=O)Nc2ccccc2)cc(NS(=O)(=O)c2ccccc2)c1F,False
2,0,2,CCR9_460,-9.214,Cc1cc(S(=O)(=O)Nc2ccccc2)cc(NS(=O)(=O)c2ccccc2)c1F,False
2,0,3,CCR9_460,-9.034,Cc1cc(S(=O)(=O)Nc2ccccc2)cc(NS(=O)(=O)c2ccccc2)c1F,False
2,0,4,CCR9_460,-8.108,Cc1cc(S(=O)(=O)Nc2ccccc2)cc(NS(=O)(=O)c2ccccc2)c1F,False
3,0,0,CCR9_54,-8.916,Cc1cccc(S(=O)(=O)Nc2cc(S(=O)(=O)c3c(C)cccc3C)cc(C)c2C)c1,True
3,0,1,CCR9_54,-8.837,Cc1cccc(S(=O)(=O)Nc2cc(S(=O)(=O)c3c(C)cccc3C)cc(C)c2C)c1,False
3,0,2,CCR9_54,-8.006,Cc1cccc(S(=O)(=O)Nc2cc(S(=O)(=O)c3c(C)cccc3C)cc(C)c2C)c1,False
3,0,3,CCR9_54,-7.969,Cc1cccc(S(=O)(=O)Nc2cc(S(=O)(=O)c3c(C)cccc3C)cc(C)c2C)c1,False
3,0,4,CCR9_54,-7.596,Cc1cccc(S(=O)(=O)Nc2cc(S(=O)(=O)c3c(C)cccc3C)cc(C)c2C)c1,False
4,0,0,CCR9_41,-9.354,CN(c1ccccc1)S(=O)(=O)c1cccc(NS(=O)(=O)c2ccccc2)c1,True
4,0,1,CCR9_41,-9.22,CN(c1ccccc1)S(=O)(=O)c1cccc(NS(=O)(=O)c2ccccc2)c1,False
4,0,2,CCR9_41,-9.085,CN(c1ccccc1)S(=O)(=O)c1cccc(NS(=O)(=O)c2ccccc2)c1,False
4,0,3,CCR9_41,-9.072,CN(c1ccccc1)S(=O)(=O)c1cccc(NS(=O)(=O)c2ccccc2)c1,False
4,0,4,CCR9_41,-9.023,CN(c1ccccc1)S(=O)(=O)c1cccc(NS(=O)(=O)c2ccccc2)c1,False
5,0,0,CCR9_419,-7.661,Cc1cc(C)cc(S(=O)(=O)Nc2cc(NS(=O)(=O)c3cc(C)cc(C)c3C)c(C)cc2C)c1,True
5,0,1,CCR9_419,-7.436,Cc1cc(C)cc(S(=O)(=O)Nc2cc(NS(=O)(=O)c3cc(C)cc(C)c3C)c(C)cc2C)c1,False
5,0,2,CCR9_419,-7.197,Cc1cc(C)cc(S(=O)(=O)Nc2cc(NS(=O)(=O)c3cc(C)cc(C)c3C)c(C)cc2C)c1,False
5,0,3,CCR9_419,-6.992,Cc1cc(C)cc(S(=O)(=O)Nc2cc(NS(=O)(=O)c3cc(C)cc(C)c3C)c(C)cc2C)c1,False
5,0,4,CCR9_419,-6.935,Cc1cc(C)cc(S(=O)(=O)Nc2cc(NS(=O)(=O)c3cc(C)cc(C)c3C)c(C)cc2C)c1,False
6,0,0,CCR9_454,-8.33,Cc1cc(C)cc(S(=O)(=O)Nc2ccc(NS(=O)(=O)c3cc(C)cc(C)c3)c(C)c2)c1,True
6,0,1,CCR9_454,-8.271,Cc1cc(C)cc(S(=O)(=O)Nc2ccc(NS(=O)(=O)c3cc(C)cc(C)c3)c(C)c2)c1,False
6,0,2,CCR9_454,-8.106,Cc1cc(C)cc(S(=O)(=O)Nc2ccc(NS(=O)(=O)c3cc(C)cc(C)c3)c(C)c2)c1,False
6,0,3,CCR9_454,-7.857,Cc1cc(C)cc(S(=O)(=O)Nc2ccc(NS(=O)(=O)c3cc(C)cc(C)c3)c(C)c2)c1,False
6,0,4,CCR9_454,-7.838,Cc1cc(C)cc(S(=O)(=O)Nc2ccc(NS(=O)(=O)c3cc(C)cc(C)c3)c(C)c2)c1,False
