ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,ESR1_574,-9.546,O=C(c1ccc(F)cc1)N(Cc1ccc2ccccc2c1)c1ccccn1,True
0,0,1,ESR1_574,-8.942,O=C(c1ccc(F)cc1)N(Cc1ccc2ccccc2c1)c1ccccn1,False
0,0,2,ESR1_574,-7.894,O=C(c1ccc(F)cc1)N(Cc1ccc2ccccc2c1)c1ccccn1,False
0,0,3,ESR1_574,-7.62,O=C(c1ccc(F)cc1)N(Cc1ccc2ccccc2c1)c1ccccn1,False
0,0,4,ESR1_574,-7.588,O=C(c1ccc(F)cc1)N(Cc1ccc2ccccc2c1)c1ccccn1,False
1,0,0,ESR1_5,-8.743,FC(F)(F)c1ccccc1NC(=S)N=c1[nH]c2ccccc2s1,True
1,0,1,ESR1_5,-7.84,FC(F)(F)c1ccccc1NC(=S)N=c1[nH]c2ccccc2s1,False
1,0,2,ESR1_5,-7.812,FC(F)(F)c1ccccc1NC(=S)N=c1[nH]c2ccccc2s1,False
1,0,3,ESR1_5,-7.594,FC(F)(F)c1ccccc1NC(=S)N=c1[nH]c2ccccc2s1,False
1,0,4,ESR1_5,-7.524,FC(F)(F)c1ccccc1NC(=S)N=c1[nH]c2ccccc2s1,False
2,0,0,ESR1_554,-8.233,O=C(Nc1ccccc1)Nc1ccccc1C(F)(F)F,True
2,0,1,ESR1_554,-7.95,O=C(Nc1ccccc1)Nc1ccccc1C(F)(F)F,False
2,0,2,ESR1_554,-7.222,O=C(Nc1ccccc1)Nc1ccccc1C(F)(F)F,False
2,0,3,ESR1_554,-7.03,O=C(Nc1ccccc1)Nc1ccccc1C(F)(F)F,False
2,0,4,ESR1_554,-6.995,O=C(Nc1ccccc1)Nc1ccccc1C(F)(F)F,False
3,0,0,ESR1_846,-7.724,COc1ccccc1N1CCN(C(=O)Nc2cccc(C(F)(F)F)c2)CC1,True
3,0,1,ESR1_846,-7.702,COc1ccccc1N1CCN(C(=O)Nc2cccc(C(F)(F)F)c2)CC1,False
3,0,2,ESR1_846,-7.624,COc1ccccc1N1CCN(C(=O)Nc2cccc(C(F)(F)F)c2)CC1,False
3,0,3,ESR1_846,-7.573,COc1ccccc1N1CCN(C(=O)Nc2cccc(C(F)(F)F)c2)CC1,False
3,0,4,ESR1_846,-7.53,COc1ccccc1N1CCN(C(=O)Nc2cccc(C(F)(F)F)c2)CC1,False
4,0,0,ESR1_898,-9.492,O=C(Cc1cccc2ccccc12)c1nc(=O)c2ccccc2[nH]1,True
4,0,1,ESR1_898,-9.484,O=C(Cc1cccc2ccccc12)c1nc(=O)c2ccccc2[nH]1,False
4,0,2,ESR1_898,-9.446,O=C(Cc1cccc2ccccc12)c1nc(=O)c2ccccc2[nH]1,False
4,0,3,ESR1_898,-9.445,O=C(Cc1cccc2ccccc12)c1nc(=O)c2ccccc2[nH]1,False
4,0,4,ESR1_898,-8.768,O=C(Cc1cccc2ccccc12)c1nc(=O)c2ccccc2[nH]1,False
5,0,0,ESR1_0,-9.82,O=S(=O)(Nc1cc(Cc2ccc(C(F)(F)F)cc2)ccn1)c1ccc(-c2ccccc2)o1,True
