ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,FTO_725,-8.3,COc1cc(O)ccc1C(=O)Nc1ccc(CN2CCOCC2)cc1,True
0,0,1,FTO_725,-7.688,COc1cc(O)ccc1C(=O)Nc1ccc(CN2CCOCC2)cc1,False
0,0,2,FTO_725,-7.383,COc1cc(O)ccc1C(=O)Nc1ccc(CN2CCOCC2)cc1,False
0,0,3,FTO_725,-7.335,COc1cc(O)ccc1C(=O)Nc1ccc(CN2CCOCC2)cc1,False
0,0,4,FTO_725,-7.199,COc1cc(O)ccc1C(=O)Nc1ccc(CN2CCOCC2)cc1,False
1,0,0,FTO_686,-6.46,COc1ccc(NC(=O)Nc2cccc(OC)c2)cc1,True
1,0,1,FTO_686,-6.442,COc1ccc(NC(=O)Nc2cccc(OC)c2)cc1,False
1,0,2,FTO_686,-6.371,COc1ccc(NC(=O)Nc2cccc(OC)c2)cc1,False
1,0,3,FTO_686,-6.317,COc1ccc(NC(=O)Nc2cccc(OC)c2)cc1,False
1,0,4,FTO_686,-6.286,COc1ccc(NC(=O)Nc2cccc(OC)c2)cc1,False
2,0,0,FTO_72,-6.599,COc1ccc(C2NN(Cc3ccc(Cl)cc3)S(=O)(=O)N2)cc1,True
2,0,1,FTO_72,-6.296,COc1ccc(C2NN(Cc3ccc(Cl)cc3)S(=O)(=O)N2)cc1,False
2,0,2,FTO_72,-6.023,COc1ccc(C2NN(Cc3ccc(Cl)cc3)S(=O)(=O)N2)cc1,False
2,0,3,FTO_72,-6.021,COc1ccc(C2NN(Cc3ccc(Cl)cc3)S(=O)(=O)N2)cc1,False
2,0,4,FTO_72,-5.863,COc1ccc(C2NN(Cc3ccc(Cl)cc3)S(=O)(=O)N2)cc1,False
3,0,0,FTO_11,-8.719,COc1cc(C=CC(=O)Nc2ccc(C)cc2)c(-c2cccc(C(=O)O)c2)c(OC)c1,True
3,0,1,FTO_11,-8.361,COc1cc(C=CC(=O)Nc2ccc(C)cc2)c(-c2cccc(C(=O)O)c2)c(OC)c1,False
3,0,2,FTO_11,-8.316,COc1cc(C=CC(=O)Nc2ccc(C)cc2)c(-c2cccc(C(=O)O)c2)c(OC)c1,False
3,0,3,FTO_11,-8.227,COc1cc(C=CC(=O)Nc2ccc(C)cc2)c(-c2cccc(C(=O)O)c2)c(OC)c1,False
3,0,4,FTO_11,-8.2,COc1cc(C=CC(=O)Nc2ccc(C)cc2)c(-c2cccc(C(=O)O)c2)c(OC)c1,False
4,0,0,FTO_353,-7.023,CC1NC(=S)N(NC(=O)Nc2ccccc2)C1c1ccc(N)cc1,True
4,0,1,FTO_353,-6.85,CC1NC(=S)N(NC(=O)Nc2ccccc2)C1c1ccc(N)cc1,False
4,0,2,FTO_353,-6.7,CC1NC(=S)N(NC(=O)Nc2ccccc2)C1c1ccc(N)cc1,False
4,0,3,FTO_353,-6.534,CC1NC(=S)N(NC(=O)Nc2ccccc2)C1c1ccc(N)cc1,False
4,0,4,FTO_353,-6.501,CC1NC(=S)N(NC(=O)Nc2ccccc2)C1c1ccc(N)cc1,False
5,0,0,FTO_972,-7.892,COc1ccc(CC(=O)O)cc1Cc1cc(CC(=O)O)c(OC)c(OC)c1,True
5,0,1,FTO_972,-7.814,COc1ccc(CC(=O)O)cc1Cc1cc(CC(=O)O)c(OC)c(OC)c1,False
5,0,2,FTO_972,-7.342,COc1ccc(CC(=O)O)cc1Cc1cc(CC(=O)O)c(OC)c(OC)c1,False
5,0,3,FTO_972,-7.301,COc1ccc(CC(=O)O)cc1Cc1cc(CC(=O)O)c(OC)c(OC)c1,False
5,0,4,FTO_972,-7.062,COc1ccc(CC(=O)O)cc1Cc1cc(CC(=O)O)c(OC)c(OC)c1,False
6,0,0,FTO_895,-8.724,COc1cccc(-c2ccccc2C(=O)NCc2ccco2)c1,True
6,0,1,FTO_895,-8.717,COc1cccc(-c2ccccc2C(=O)NCc2ccco2)c1,False
6,0,2,FTO_895,-8.41,COc1cccc(-c2ccccc2C(=O)NCc2ccco2)c1,False
6,0,3,FTO_895,-7.989,COc1cccc(-c2ccccc2C(=O)NCc2ccco2)c1,False
6,0,4,FTO_895,-7.897,COc1cccc(-c2ccccc2C(=O)NCc2ccco2)c1,False
7,0,0,FTO_122,-9.129,COc1cc(Cc2cccc(CCS(=O)(=O)c3ccccc3)c2)cc(OC)c1,True
7,0,1,FTO_122,-9.073,COc1cc(Cc2cccc(CCS(=O)(=O)c3ccccc3)c2)cc(OC)c1,False
7,0,2,FTO_122,-9.069,COc1cc(Cc2cccc(CCS(=O)(=O)c3ccccc3)c2)cc(OC)c1,False
7,0,3,FTO_122,-9.043,COc1cc(Cc2cccc(CCS(=O)(=O)c3ccccc3)c2)cc(OC)c1,False
7,0,4,FTO_122,-9.002,COc1cc(Cc2cccc(CCS(=O)(=O)c3ccccc3)c2)cc(OC)c1,False
8,0,0,FTO_37,-8.78,COCc1cccc(CNC(=O)c2ccc(OC)c(S(=O)(=O)Nc3ccccc3)c2)c1,True
8,0,1,FTO_37,-8.66,COCc1cccc(CNC(=O)c2ccc(OC)c(S(=O)(=O)Nc3ccccc3)c2)c1,False
8,0,2,FTO_37,-8.342,COCc1cccc(CNC(=O)c2ccc(OC)c(S(=O)(=O)Nc3ccccc3)c2)c1,False
8,0,3,FTO_37,-8.299,COCc1cccc(CNC(=O)c2ccc(OC)c(S(=O)(=O)Nc3ccccc3)c2)c1,False
8,0,4,FTO_37,-8.217,COCc1cccc(CNC(=O)c2ccc(OC)c(S(=O)(=O)Nc3ccccc3)c2)c1,False
9,0,0,FTO_821,-8.543,COc1ccc(C(=O)O)cc1Cc1cc2cc(O)ccc2cc1C=CC(=O)O,True
9,0,1,FTO_821,-8.357,COc1ccc(C(=O)O)cc1Cc1cc2cc(O)ccc2cc1C=CC(=O)O,False
9,0,2,FTO_821,-8.275,COc1ccc(C(=O)O)cc1Cc1cc2cc(O)ccc2cc1C=CC(=O)O,False
9,0,3,FTO_821,-8.206,COc1ccc(C(=O)O)cc1Cc1cc2cc(O)ccc2cc1C=CC(=O)O,False
9,0,4,FTO_821,-8.199,COc1ccc(C(=O)O)cc1Cc1cc2cc(O)ccc2cc1C=CC(=O)O,False
