ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,GRIK1_683,-7.06,COC(=O)N=c1cc(NCc2ccc(C)cc2C)[nH][nH]1,True
0,0,1,GRIK1_683,-6.403,COC(=O)N=c1cc(NCc2ccc(C)cc2C)[nH][nH]1,False
0,0,2,GRIK1_683,-5.897,COC(=O)N=c1cc(NCc2ccc(C)cc2C)[nH][nH]1,False
0,0,3,GRIK1_683,-5.826,COC(=O)N=c1cc(NCc2ccc(C)cc2C)[nH][nH]1,False
1,0,0,GRIK1_4,-4.984,CNC(=O)c1ccc(NC(=O)OC)cc1OC,True
1,0,1,GRIK1_4,-4.869,CNC(=O)c1ccc(NC(=O)OC)cc1OC,False
1,0,2,GRIK1_4,-4.856,CNC(=O)c1ccc(NC(=O)OC)cc1OC,False
1,0,3,GRIK1_4,-4.535,CNC(=O)c1ccc(NC(=O)OC)cc1OC,False
1,0,4,GRIK1_4,-4.011,CNC(=O)c1ccc(NC(=O)OC)cc1OC,False
2,0,0,GRIK1_745,-7.799,CNc1c(COc2ccc(CC(N)=O)cc2)n[nH]c1OC,True
2,0,1,GRIK1_745,-7.115,CNc1c(COc2ccc(CC(N)=O)cc2)n[nH]c1OC,False
2,0,2,GRIK1_745,-6.863,CNc1c(COc2ccc(CC(N)=O)cc2)n[nH]c1OC,False
2,0,3,GRIK1_745,-6.457,CNc1c(COc2ccc(CC(N)=O)cc2)n[nH]c1OC,False
2,0,4,GRIK1_745,-6.063,CNc1c(COc2ccc(CC(N)=O)cc2)n[nH]c1OC,False
3,0,0,GRIK1_676,-6.777,COC(=O)NS(=O)(=O)Nc1ccc(Cl)cc1,True
3,0,1,GRIK1_676,-6.472,COC(=O)NS(=O)(=O)Nc1ccc(Cl)cc1,False
3,0,2,GRIK1_676,-6.448,COC(=O)NS(=O)(=O)Nc1ccc(Cl)cc1,False
3,0,3,GRIK1_676,-6.14,COC(=O)NS(=O)(=O)Nc1ccc(Cl)cc1,False
3,0,4,GRIK1_676,-5.908,COC(=O)NS(=O)(=O)Nc1ccc(Cl)cc1,False
4,0,0,GRIK1_220,-4.109,CCNC(=O)NCc1[nH]c(=NCCOC)ccc1NC(=O)OC,True
4,0,1,GRIK1_220,-4.019,CCNC(=O)NCc1[nH]c(=NCCOC)ccc1NC(=O)OC,False
4,0,2,GRIK1_220,-3.082,CCNC(=O)NCc1[nH]c(=NCCOC)ccc1NC(=O)OC,False
4,0,3,GRIK1_220,-3.031,CCNC(=O)NCc1[nH]c(=NCCOC)ccc1NC(=O)OC,False
4,0,4,GRIK1_220,-2.989,CCNC(=O)NCc1[nH]c(=NCCOC)ccc1NC(=O)OC,False
5,0,0,GRIK1_0,-4.451,CNc1cc(NC(=O)OC)ccc1NC(=O)OC(C)C,True
5,0,1,GRIK1_0,-4.359,CNc1cc(NC(=O)OC)ccc1NC(=O)OC(C)C,False
5,0,2,GRIK1_0,-4.258,CNc1cc(NC(=O)OC)ccc1NC(=O)OC(C)C,False
5,0,3,GRIK1_0,-3.915,CNc1cc(NC(=O)OC)ccc1NC(=O)OC(C)C,False
5,0,4,GRIK1_0,-3.89,CNc1cc(NC(=O)OC)ccc1NC(=O)OC(C)C,False
6,0,0,GRIK1_558,-8.695,CNS(=O)(=O)Nc1cccc(C(N)=O)c1,True
6,0,1,GRIK1_558,-8.481,CNS(=O)(=O)Nc1cccc(C(N)=O)c1,False
6,0,2,GRIK1_558,-7.772,CNS(=O)(=O)Nc1cccc(C(N)=O)c1,False
6,0,3,GRIK1_558,-7.318,CNS(=O)(=O)Nc1cccc(C(N)=O)c1,False
6,0,4,GRIK1_558,-7.104,CNS(=O)(=O)Nc1cccc(C(N)=O)c1,False
7,0,0,GRIK1_32,-8.888,O=C(O)c1ccccc1NS(=O)(=O)Nc1ccccc1,True
7,0,1,GRIK1_32,-7.885,O=C(O)c1ccccc1NS(=O)(=O)Nc1ccccc1,False
7,0,2,GRIK1_32,-6.841,O=C(O)c1ccccc1NS(=O)(=O)Nc1ccccc1,False
7,0,3,GRIK1_32,-6.648,O=C(O)c1ccccc1NS(=O)(=O)Nc1ccccc1,False
7,0,4,GRIK1_32,-6.578,O=C(O)c1ccccc1NS(=O)(=O)Nc1ccccc1,False
8,0,0,GRIK1_37,-4.694,CC(C)OC(=O)Nc1cc[nH]c(=Nc2ccccc2C(=O)O)c1,True
8,0,1,GRIK1_37,-4.589,CC(C)OC(=O)Nc1cc[nH]c(=Nc2ccccc2C(=O)O)c1,False
