ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,HCRTR1_530,-10.452,O=C(c1ccc(-c2cnc(=Nc3ccc4c(c3)CCC4)[nH]c2)o1)N1CCOCC1,True
0,0,1,HCRTR1_530,-10.424,O=C(c1ccc(-c2cnc(=Nc3ccc4c(c3)CCC4)[nH]c2)o1)N1CCOCC1,False
0,0,2,HCRTR1_530,-10.404,O=C(c1ccc(-c2cnc(=Nc3ccc4c(c3)CCC4)[nH]c2)o1)N1CCOCC1,False
0,0,3,HCRTR1_530,-10.302,O=C(c1ccc(-c2cnc(=Nc3ccc4c(c3)CCC4)[nH]c2)o1)N1CCOCC1,False
0,0,4,HCRTR1_530,-10.16,O=C(c1ccc(-c2cnc(=Nc3ccc4c(c3)CCC4)[nH]c2)o1)N1CCOCC1,False
1,0,0,HCRTR1_313,-10.861,Cn1ccc2cc(CNC(=O)c3ccc(-c4ccc(C(=O)N5CCOC5)o4)cc3)ccc21,True
1,0,1,HCRTR1_313,-10.649,Cn1ccc2cc(CNC(=O)c3ccc(-c4ccc(C(=O)N5CCOC5)o4)cc3)ccc21,False
1,0,2,HCRTR1_313,-10.251,Cn1ccc2cc(CNC(=O)c3ccc(-c4ccc(C(=O)N5CCOC5)o4)cc3)ccc21,False
1,0,3,HCRTR1_313,-10.139,Cn1ccc2cc(CNC(=O)c3ccc(-c4ccc(C(=O)N5CCOC5)o4)cc3)ccc21,False
1,0,4,HCRTR1_313,-10.136,Cn1ccc2cc(CNC(=O)c3ccc(-c4ccc(C(=O)N5CCOC5)o4)cc3)ccc21,False
2,0,0,HCRTR1_24,-9.471,O=C(c1ccc(-c2cnc(-c3ccc(C(=O)N4CCOCC4)o3)nc2)o1)N1CCOCC1,True
2,0,1,HCRTR1_24,-9.233,O=C(c1ccc(-c2cnc(-c3ccc(C(=O)N4CCOCC4)o3)nc2)o1)N1CCOCC1,False
2,0,2,HCRTR1_24,-9.148,O=C(c1ccc(-c2cnc(-c3ccc(C(=O)N4CCOCC4)o3)nc2)o1)N1CCOCC1,False
2,0,3,HCRTR1_24,-9.021,O=C(c1ccc(-c2cnc(-c3ccc(C(=O)N4CCOCC4)o3)nc2)o1)N1CCOCC1,False
2,0,4,HCRTR1_24,-8.896,O=C(c1ccc(-c2cnc(-c3ccc(C(=O)N4CCOCC4)o3)nc2)o1)N1CCOCC1,False
3,0,0,HCRTR1_754,-9.468,Cc1cc(-c2cnc(C)nc2)nc(-c2ccc(C(=O)N3CCOCC3)o2)c1,True
3,0,1,HCRTR1_754,-9.419,Cc1cc(-c2cnc(C)nc2)nc(-c2ccc(C(=O)N3CCOCC3)o2)c1,False
