ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,IDH1_466,-10.117,O=C(NC(=O)c1ccccc1OC(=O)N1CCOCC1)Nc1ccc(OC(=O)c2ccccc2F)cc1,True
0,0,1,IDH1_466,-10.101,O=C(NC(=O)c1ccccc1OC(=O)N1CCOCC1)Nc1ccc(OC(=O)c2ccccc2F)cc1,False
0,0,2,IDH1_466,-10.063,O=C(NC(=O)c1ccccc1OC(=O)N1CCOCC1)Nc1ccc(OC(=O)c2ccccc2F)cc1,False
0,0,3,IDH1_466,-10.024,O=C(NC(=O)c1ccccc1OC(=O)N1CCOCC1)Nc1ccc(OC(=O)c2ccccc2F)cc1,False
0,0,4,IDH1_466,-9.524,O=C(NC(=O)c1ccccc1OC(=O)N1CCOCC1)Nc1ccc(OC(=O)c2ccccc2F)cc1,False
1,0,0,IDH1_635,-10.037,Cc1oc(NC(=O)Nc2ccccc2Cl)cc1N1C(=O)c2ccccc2C1=O,True
1,0,1,IDH1_635,-9.973,Cc1oc(NC(=O)Nc2ccccc2Cl)cc1N1C(=O)c2ccccc2C1=O,False
1,0,2,IDH1_635,-9.633,Cc1oc(NC(=O)Nc2ccccc2Cl)cc1N1C(=O)c2ccccc2C1=O,False
1,0,3,IDH1_635,-9.371,Cc1oc(NC(=O)Nc2ccccc2Cl)cc1N1C(=O)c2ccccc2C1=O,False
1,0,4,IDH1_635,-9.03,Cc1oc(NC(=O)Nc2ccccc2Cl)cc1N1C(=O)c2ccccc2C1=O,False
2,0,0,IDH1_23,-9.895,O=C(COc1cccc(N2CCOCC2)c1)Nc1ccc(S(=O)(=O)N2CCCOc3ccccc32)cc1,True
2,0,1,IDH1_23,-9.732,O=C(COc1cccc(N2CCOCC2)c1)Nc1ccc(S(=O)(=O)N2CCCOc3ccccc32)cc1,False
2,0,2,IDH1_23,-9.623,O=C(COc1cccc(N2CCOCC2)c1)Nc1ccc(S(=O)(=O)N2CCCOc3ccccc32)cc1,False
2,0,3,IDH1_23,-9.61,O=C(COc1cccc(N2CCOCC2)c1)Nc1ccc(S(=O)(=O)N2CCCOc3ccccc32)cc1,False
2,0,4,IDH1_23,-9.416,O=C(COc1cccc(N2CCOCC2)c1)Nc1ccc(S(=O)(=O)N2CCCOc3ccccc32)cc1,False
3,0,0,IDH1_18,-9.422,O=C(Nc1ccc(S(=O)(=O)N2CCCC2)cc1)Oc1cccc(-c2ccco2)c1,True
3,0,1,IDH1_18,-9.293,O=C(Nc1ccc(S(=O)(=O)N2CCCC2)cc1)Oc1cccc(-c2ccco2)c1,False
3,0,2,IDH1_18,-9.208,O=C(Nc1ccc(S(=O)(=O)N2CCCC2)cc1)Oc1cccc(-c2ccco2)c1,False
3,0,3,IDH1_18,-9.204,O=C(Nc1ccc(S(=O)(=O)N2CCCC2)cc1)Oc1cccc(-c2ccco2)c1,False
3,0,4,IDH1_18,-9.184,O=C(Nc1ccc(S(=O)(=O)N2CCCC2)cc1)Oc1cccc(-c2ccco2)c1,False
4,0,0,IDH1_122,-10.274,O=C(COc1ccccc1)Nc1ccc(C(=O)N2CCC(Oc3ccccc3F)CC2)cc1,True
4,0,1,IDH1_122,-10.237,O=C(COc1ccccc1)Nc1ccc(C(=O)N2CCC(Oc3ccccc3F)CC2)cc1,False
4,0,2,IDH1_122,-9.469,O=C(COc1ccccc1)Nc1ccc(C(=O)N2CCC(Oc3ccccc3F)CC2)cc1,False
4,0,3,IDH1_122,-9.03,O=C(COc1ccccc1)Nc1ccc(C(=O)N2CCC(Oc3ccccc3F)CC2)cc1,False
