ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,JAK1_732,-9.226,Cc1ccccc1Oc1ncccc1NC(=O)Nc1cccc(OCC2=CCCC2)c1,True
0,0,1,JAK1_732,-8.657,Cc1ccccc1Oc1ncccc1NC(=O)Nc1cccc(OCC2=CCCC2)c1,False
0,0,2,JAK1_732,-8.645,Cc1ccccc1Oc1ncccc1NC(=O)Nc1cccc(OCC2=CCCC2)c1,False
0,0,3,JAK1_732,-8.422,Cc1ccccc1Oc1ncccc1NC(=O)Nc1cccc(OCC2=CCCC2)c1,False
0,0,4,JAK1_732,-8.413,Cc1ccccc1Oc1ncccc1NC(=O)Nc1cccc(OCC2=CCCC2)c1,False
1,0,0,JAK1_827,-6.493,O=C(NCc1ccc(F)cc1)c1ccc(NC(=O)N2CCN(c3ccccc3F)CC2)cc1,True
1,0,1,JAK1_827,-6.033,O=C(NCc1ccc(F)cc1)c1ccc(NC(=O)N2CCN(c3ccccc3F)CC2)cc1,False
1,0,2,JAK1_827,-5.894,O=C(NCc1ccc(F)cc1)c1ccc(NC(=O)N2CCN(c3ccccc3F)CC2)cc1,False
1,0,3,JAK1_827,-5.835,O=C(NCc1ccc(F)cc1)c1ccc(NC(=O)N2CCN(c3ccccc3F)CC2)cc1,False
1,0,4,JAK1_827,-5.376,O=C(NCc1ccc(F)cc1)c1ccc(NC(=O)N2CCN(c3ccccc3F)CC2)cc1,False
2,0,0,JAK1_868,-9.051,O=C(NCc1ccco1)Nc1ccc(S(=O)(=O)N2CCN(C(=O)NCc3cccnc3)CC2)cc1,True
2,0,1,JAK1_868,-8.866,O=C(NCc1ccco1)Nc1ccc(S(=O)(=O)N2CCN(C(=O)NCc3cccnc3)CC2)cc1,False
2,0,2,JAK1_868,-8.711,O=C(NCc1ccco1)Nc1ccc(S(=O)(=O)N2CCN(C(=O)NCc3cccnc3)CC2)cc1,False
2,0,3,JAK1_868,-8.646,O=C(NCc1ccco1)Nc1ccc(S(=O)(=O)N2CCN(C(=O)NCc3cccnc3)CC2)cc1,False
2,0,4,JAK1_868,-8.56,O=C(NCc1ccco1)Nc1ccc(S(=O)(=O)N2CCN(C(=O)NCc3cccnc3)CC2)cc1,False
3,0,0,JAK1_232,-8.785,COc1ccc(CNC(=O)Nc2ccc(S(=O)(=O)N3CCN(C(=O)N4CCN(c5ccccn5)CC4)CC3)cc2)cc1,True
3,0,1,JAK1_232,-8.72,COc1ccc(CNC(=O)Nc2ccc(S(=O)(=O)N3CCN(C(=O)N4CCN(c5ccccn5)CC4)CC3)cc2)cc1,False
3,0,2,JAK1_232,-8.135,COc1ccc(CNC(=O)Nc2ccc(S(=O)(=O)N3CCN(C(=O)N4CCN(c5ccccn5)CC4)CC3)cc2)cc1,False
3,0,3,JAK1_232,-8.042,COc1ccc(CNC(=O)Nc2ccc(S(=O)(=O)N3CCN(C(=O)N4CCN(c5ccccn5)CC4)CC3)cc2)cc1,False
