ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,KDM1A_638,-7.521,Cc1cccc(NC(=S)N2CCN(c3ccccc3)CC2)c1,True
0,0,1,KDM1A_638,-7.381,Cc1cccc(NC(=S)N2CCN(c3ccccc3)CC2)c1,False
0,0,2,KDM1A_638,-7.275,Cc1cccc(NC(=S)N2CCN(c3ccccc3)CC2)c1,False
0,0,3,KDM1A_638,-7.176,Cc1cccc(NC(=S)N2CCN(c3ccccc3)CC2)c1,False
0,0,4,KDM1A_638,-7.157,Cc1cccc(NC(=S)N2CCN(c3ccccc3)CC2)c1,False
1,0,0,KDM1A_554,-8.72,CC(=O)c1ccc(C(=O)Cc2ncc(-c3cccc4ccccc34)o2)cc1,True
1,0,1,KDM1A_554,-8.669,CC(=O)c1ccc(C(=O)Cc2ncc(-c3cccc4ccccc34)o2)cc1,False
1,0,2,KDM1A_554,-8.542,CC(=O)c1ccc(C(=O)Cc2ncc(-c3cccc4ccccc34)o2)cc1,False
1,0,3,KDM1A_554,-8.5,CC(=O)c1ccc(C(=O)Cc2ncc(-c3cccc4ccccc34)o2)cc1,False
1,0,4,KDM1A_554,-8.395,CC(=O)c1ccc(C(=O)Cc2ncc(-c3cccc4ccccc34)o2)cc1,False
2,0,0,KDM1A_526,-8.111,Cc1ccc(NC(=O)C2(NC(=O)c3ccco3)CCC2)cc1,True
2,0,1,KDM1A_526,-7.818,Cc1ccc(NC(=O)C2(NC(=O)c3ccco3)CCC2)cc1,False
2,0,2,KDM1A_526,-7.321,Cc1ccc(NC(=O)C2(NC(=O)c3ccco3)CCC2)cc1,False
2,0,3,KDM1A_526,-7.268,Cc1ccc(NC(=O)C2(NC(=O)c3ccco3)CCC2)cc1,False
2,0,4,KDM1A_526,-7.183,Cc1ccc(NC(=O)C2(NC(=O)c3ccco3)CCC2)cc1,False
3,0,0,KDM1A_217,-9.785,Cc1ccccc1CN1CCN(Cc2cccc(NC(=O)c3ccc4ccccc4c3)c2)C1,True
3,0,1,KDM1A_217,-9.498,Cc1ccccc1CN1CCN(Cc2cccc(NC(=O)c3ccc4ccccc4c3)c2)C1,False
3,0,2,KDM1A_217,-9.497,Cc1ccccc1CN1CCN(Cc2cccc(NC(=O)c3ccc4ccccc4c3)c2)C1,False
3,0,3,KDM1A_217,-9.436,Cc1ccccc1CN1CCN(Cc2cccc(NC(=O)c3ccc4ccccc4c3)c2)C1,False
3,0,4,KDM1A_217,-9.337,Cc1ccccc1CN1CCN(Cc2cccc(NC(=O)c3ccc4ccccc4c3)c2)C1,False
4,0,0,KDM1A_797,-7.823,COc1cccc(S(=O)(=O)N2CCN(c3ccccc3OC(C)C)C2=O)c1,True
4,0,1,KDM1A_797,-7.776,COc1cccc(S(=O)(=O)N2CCN(c3ccccc3OC(C)C)C2=O)c1,False
4,0,2,KDM1A_797,-7.711,COc1cccc(S(=O)(=O)N2CCN(c3ccccc3OC(C)C)C2=O)c1,False
4,0,3,KDM1A_797,-7.631,COc1cccc(S(=O)(=O)N2CCN(c3ccccc3OC(C)C)C2=O)c1,False
4,0,4,KDM1A_797,-7.616,COc1cccc(S(=O)(=O)N2CCN(c3ccccc3OC(C)C)C2=O)c1,False
5,0,0,KDM1A_277,-8.109,COc1ccccc1CNc1ccc(Nc2ccc(C)cc2)cc1,True
5,0,1,KDM1A_277,-8.091,COc1ccccc1CNc1ccc(Nc2ccc(C)cc2)cc1,False
5,0,2,KDM1A_277,-8.028,COc1ccccc1CNc1ccc(Nc2ccc(C)cc2)cc1,False
5,0,3,KDM1A_277,-7.898,COc1ccccc1CNc1ccc(Nc2ccc(C)cc2)cc1,False
5,0,4,KDM1A_277,-7.658,COc1ccccc1CNc1ccc(Nc2ccc(C)cc2)cc1,False
6,0,0,KDM1A_593,-8.232,Cc1ccc2ccn(S(=O)(=O)c3ccccc3)c2c1,True
6,0,1,KDM1A_593,-8.176,Cc1ccc2ccn(S(=O)(=O)c3ccccc3)c2c1,False
6,0,2,KDM1A_593,-7.197,Cc1ccc2ccn(S(=O)(=O)c3ccccc3)c2c1,False
6,0,3,KDM1A_593,-7.098,Cc1ccc2ccn(S(=O)(=O)c3ccccc3)c2c1,False
6,0,4,KDM1A_593,-5.414,Cc1ccc2ccn(S(=O)(=O)c3ccccc3)c2c1,False
7,0,0,KDM1A_363,-8.049,CN(Cc1cccc2ccccc12)C(=O)Nc1ccccc1,True
7,0,1,KDM1A_363,-7.981,CN(Cc1cccc2ccccc12)C(=O)Nc1ccccc1,False
7,0,2,KDM1A_363,-7.974,CN(Cc1cccc2ccccc12)C(=O)Nc1ccccc1,False
7,0,3,KDM1A_363,-7.771,CN(Cc1cccc2ccccc12)C(=O)Nc1ccccc1,False
7,0,4,KDM1A_363,-7.723,CN(Cc1cccc2ccccc12)C(=O)Nc1ccccc1,False
8,0,0,KDM1A_237,-8.185,COc1cccc(CN2CCN(c3ccccc3C(=O)NC3CC3)CC2)c1,True
8,0,1,KDM1A_237,-8.085,COc1cccc(CN2CCN(c3ccccc3C(=O)NC3CC3)CC2)c1,False
8,0,2,KDM1A_237,-8.014,COc1cccc(CN2CCN(c3ccccc3C(=O)NC3CC3)CC2)c1,False
8,0,3,KDM1A_237,-7.805,COc1cccc(CN2CCN(c3ccccc3C(=O)NC3CC3)CC2)c1,False
