ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,NR4A1_556,-6.984,O=C(Nc1ccc(Cl)cc1)c1cccc(NCc2ccccc2)c1,True
0,0,1,NR4A1_556,-6.957,O=C(Nc1ccc(Cl)cc1)c1cccc(NCc2ccccc2)c1,False
0,0,2,NR4A1_556,-6.721,O=C(Nc1ccc(Cl)cc1)c1cccc(NCc2ccccc2)c1,False
0,0,3,NR4A1_556,-6.677,O=C(Nc1ccc(Cl)cc1)c1cccc(NCc2ccccc2)c1,False
0,0,4,NR4A1_556,-6.598,O=C(Nc1ccc(Cl)cc1)c1cccc(NCc2ccccc2)c1,False
1,0,0,NR4A1_595,-6.488,N=C(Nc1ccc(Cl)cc1)c1cccc(NC(N)=O)c1,True
1,0,1,NR4A1_595,-6.453,N=C(Nc1ccc(Cl)cc1)c1cccc(NC(N)=O)c1,False
1,0,2,NR4A1_595,-6.4,N=C(Nc1ccc(Cl)cc1)c1cccc(NC(N)=O)c1,False
1,0,3,NR4A1_595,-6.369,N=C(Nc1ccc(Cl)cc1)c1cccc(NC(N)=O)c1,False
1,0,4,NR4A1_595,-6.145,N=C(Nc1ccc(Cl)cc1)c1cccc(NC(N)=O)c1,False
2,0,0,NR4A1_681,-6.073,O=C(Cc1ccc(Cl)cc1)Nc1ccc(Cl)cc1,True
2,0,1,NR4A1_681,-6.016,O=C(Cc1ccc(Cl)cc1)Nc1ccc(Cl)cc1,False
2,0,2,NR4A1_681,-5.943,O=C(Cc1ccc(Cl)cc1)Nc1ccc(Cl)cc1,False
2,0,3,NR4A1_681,-5.527,O=C(Cc1ccc(Cl)cc1)Nc1ccc(Cl)cc1,False
2,0,4,NR4A1_681,-5.426,O=C(Cc1ccc(Cl)cc1)Nc1ccc(Cl)cc1,False
3,0,0,NR4A1_179,-6.76,CN(C)c1ccccc1CC(=O)Nc1ccc(OCc2ccc(Cl)nc2)cc1,True
3,0,1,NR4A1_179,-6.738,CN(C)c1ccccc1CC(=O)Nc1ccc(OCc2ccc(Cl)nc2)cc1,False
3,0,2,NR4A1_179,-6.665,CN(C)c1ccccc1CC(=O)Nc1ccc(OCc2ccc(Cl)nc2)cc1,False
3,0,3,NR4A1_179,-6.655,CN(C)c1ccccc1CC(=O)Nc1ccc(OCc2ccc(Cl)nc2)cc1,False
3,0,4,NR4A1_179,-6.598,CN(C)c1ccccc1CC(=O)Nc1ccc(OCc2ccc(Cl)nc2)cc1,False
4,0,0,NR4A1_584,-5.969,CC(NCc1ccccc1CNC1CC1)c1ccccn1,True
4,0,1,NR4A1_584,-5.894,CC(NCc1ccccc1CNC1CC1)c1ccccn1,False
4,0,2,NR4A1_584,-5.799,CC(NCc1ccccc1CNC1CC1)c1ccccn1,False
4,0,3,NR4A1_584,-5.764,CC(NCc1ccccc1CNC1CC1)c1ccccn1,False
4,0,4,NR4A1_584,-5.738,CC(NCc1ccccc1CNC1CC1)c1ccccn1,False
5,0,0,NR4A1_925,-6.391,O=C(Nc1ccc(Cl)cc1)C(Cc1ccccc1)NCc1ccccc1,True
5,0,1,NR4A1_925,-6.359,O=C(Nc1ccc(Cl)cc1)C(Cc1ccccc1)NCc1ccccc1,False
5,0,2,NR4A1_925,-6.154,O=C(Nc1ccc(Cl)cc1)C(Cc1ccccc1)NCc1ccccc1,False
5,0,3,NR4A1_925,-6.111,O=C(Nc1ccc(Cl)cc1)C(Cc1ccccc1)NCc1ccccc1,False
5,0,4,NR4A1_925,-5.987,O=C(Nc1ccc(Cl)cc1)C(Cc1ccccc1)NCc1ccccc1,False
6,0,0,NR4A1_583,-6.578,CCCOc1cccc(NC(=O)c2ccccc2CN2CCOCC2)c1,True
6,0,1,NR4A1_583,-6.342,CCCOc1cccc(NC(=O)c2ccccc2CN2CCOCC2)c1,False
6,0,2,NR4A1_583,-6.145,CCCOc1cccc(NC(=O)c2ccccc2CN2CCOCC2)c1,False
6,0,3,NR4A1_583,-6.143,CCCOc1cccc(NC(=O)c2ccccc2CN2CCOCC2)c1,False
6,0,4,NR4A1_583,-6.051,CCCOc1cccc(NC(=O)c2ccccc2CN2CCOCC2)c1,False
7,0,0,NR4A1_253,-5.857,CCC(=O)Nc1ccc(CNCc2cccc(OC)c2)cc1,True
7,0,1,NR4A1_253,-5.847,CCC(=O)Nc1ccc(CNCc2cccc(OC)c2)cc1,False
7,0,2,NR4A1_253,-5.689,CCC(=O)Nc1ccc(CNCc2cccc(OC)c2)cc1,False
7,0,3,NR4A1_253,-5.678,CCC(=O)Nc1ccc(CNCc2cccc(OC)c2)cc1,False
7,0,4,NR4A1_253,-5.567,CCC(=O)Nc1ccc(CNCc2cccc(OC)c2)cc1,False
8,0,0,NR4A1_281,-6.018,O=C(CS(=O)(=O)c1ccccc1)Nc1c(Cl)cccc1Cl,True
8,0,1,NR4A1_281,-5.995,O=C(CS(=O)(=O)c1ccccc1)Nc1c(Cl)cccc1Cl,False
8,0,2,NR4A1_281,-5.953,O=C(CS(=O)(=O)c1ccccc1)Nc1c(Cl)cccc1Cl,False
8,0,3,NR4A1_281,-5.9,O=C(CS(=O)(=O)c1ccccc1)Nc1c(Cl)cccc1Cl,False
8,0,4,NR4A1_281,-5.86,O=C(CS(=O)(=O)c1ccccc1)Nc1c(Cl)cccc1Cl,False
9,0,0,NR4A1_98,-7.357,O=C(Nc1ccc(S(=O)(=O)Nc2cccc(Cl)c2)cc1)c1ccccc1Cl,True
9,0,1,NR4A1_98,-7.308,O=C(Nc1ccc(S(=O)(=O)Nc2cccc(Cl)c2)cc1)c1ccccc1Cl,False
9,0,2,NR4A1_98,-7.144,O=C(Nc1ccc(S(=O)(=O)Nc2cccc(Cl)c2)cc1)c1ccccc1Cl,False
9,0,3,NR4A1_98,-6.954,O=C(Nc1ccc(S(=O)(=O)Nc2cccc(Cl)c2)cc1)c1ccccc1Cl,False
9,0,4,NR4A1_98,-6.84,O=C(Nc1ccc(S(=O)(=O)Nc2cccc(Cl)c2)cc1)c1ccccc1Cl,False
10,0,0,NR4A1_854,-6.662,CC(=O)Nc1ccc(CC2Cc3ccccc3C2=O)cc1,True
10,0,1,NR4A1_854,-6.594,CC(=O)Nc1ccc(CC2Cc3ccccc3C2=O)cc1,False
10,0,2,NR4A1_854,-6.119,CC(=O)Nc1ccc(CC2Cc3ccccc3C2=O)cc1,False
10,0,3,NR4A1_854,-5.94,CC(=O)Nc1ccc(CC2Cc3ccccc3C2=O)cc1,False
10,0,4,NR4A1_854,-5.935,CC(=O)Nc1ccc(CC2Cc3ccccc3C2=O)cc1,False
11,0,0,NR4A1_66,-5.651,O=C(Nc1ccc(Cl)cc1Cl)c1c(Cl)cccc1Cl,True
11,0,1,NR4A1_66,-5.646,O=C(Nc1ccc(Cl)cc1Cl)c1c(Cl)cccc1Cl,False
11,0,2,NR4A1_66,-5.642,O=C(Nc1ccc(Cl)cc1Cl)c1c(Cl)cccc1Cl,False
11,0,3,NR4A1_66,-5.637,O=C(Nc1ccc(Cl)cc1Cl)c1c(Cl)cccc1Cl,False
11,0,4,NR4A1_66,-5.463,O=C(Nc1ccc(Cl)cc1Cl)c1c(Cl)cccc1Cl,False
12,0,0,NR4A1_845,-6.878,O=C(Nc1ccccc1)Nc1ccc(S(=O)(=O)Nc2cccc(Cl)c2)cc1,True
12,0,1,NR4A1_845,-6.828,O=C(Nc1ccccc1)Nc1ccc(S(=O)(=O)Nc2cccc(Cl)c2)cc1,False
12,0,2,NR4A1_845,-6.805,O=C(Nc1ccccc1)Nc1ccc(S(=O)(=O)Nc2cccc(Cl)c2)cc1,False
