ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,P2RX3_265,-8.356,COc1cc(NC(=O)c2ccc(NC(=O)c3cc(OC)c(OC)c(OC)c3)cc2)cc(OC)c1,True
0,0,1,P2RX3_265,-8.29,COc1cc(NC(=O)c2ccc(NC(=O)c3cc(OC)c(OC)c(OC)c3)cc2)cc(OC)c1,False
0,0,2,P2RX3_265,-8.249,COc1cc(NC(=O)c2ccc(NC(=O)c3cc(OC)c(OC)c(OC)c3)cc2)cc(OC)c1,False
0,0,3,P2RX3_265,-8.174,COc1cc(NC(=O)c2ccc(NC(=O)c3cc(OC)c(OC)c(OC)c3)cc2)cc(OC)c1,False
0,0,4,P2RX3_265,-8.158,COc1cc(NC(=O)c2ccc(NC(=O)c3cc(OC)c(OC)c(OC)c3)cc2)cc(OC)c1,False
1,0,0,P2RX3_610,-7.708,COc1ccc(S(=O)(=O)Nc2ccc(NC(=S)Nc3cc(OC)cc(OC)c3)cc2OC)cc1,True
1,0,1,P2RX3_610,-7.662,COc1ccc(S(=O)(=O)Nc2ccc(NC(=S)Nc3cc(OC)cc(OC)c3)cc2OC)cc1,False
1,0,2,P2RX3_610,-7.576,COc1ccc(S(=O)(=O)Nc2ccc(NC(=S)Nc3cc(OC)cc(OC)c3)cc2OC)cc1,False
1,0,3,P2RX3_610,-7.565,COc1ccc(S(=O)(=O)Nc2ccc(NC(=S)Nc3cc(OC)cc(OC)c3)cc2OC)cc1,False
1,0,4,P2RX3_610,-7.542,COc1ccc(S(=O)(=O)Nc2ccc(NC(=S)Nc3cc(OC)cc(OC)c3)cc2OC)cc1,False
2,0,0,P2RX3_201,-7.759,COc1ccccc1NC(=S)Nc1cc(NC(=O)c2ccc(OC)c(OC)c2)ccc1OC,True
2,0,1,P2RX3_201,-7.667,COc1ccccc1NC(=S)Nc1cc(NC(=O)c2ccc(OC)c(OC)c2)ccc1OC,False
2,0,2,P2RX3_201,-7.634,COc1ccccc1NC(=S)Nc1cc(NC(=O)c2ccc(OC)c(OC)c2)ccc1OC,False
