ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,RIOK1_136,-7.476,COc1ccc(CNC(=O)c2ccccc2NC(=O)c2ccncc2)c(OC)c1,True
0,0,1,RIOK1_136,-7.193,COc1ccc(CNC(=O)c2ccccc2NC(=O)c2ccncc2)c(OC)c1,False
0,0,2,RIOK1_136,-7.179,COc1ccc(CNC(=O)c2ccccc2NC(=O)c2ccncc2)c(OC)c1,False
0,0,3,RIOK1_136,-7.177,COc1ccc(CNC(=O)c2ccccc2NC(=O)c2ccncc2)c(OC)c1,False
0,0,4,RIOK1_136,-7.16,COc1ccc(CNC(=O)c2ccccc2NC(=O)c2ccncc2)c(OC)c1,False
1,0,0,RIOK1_772,-7.774,COc1ccccc1S(=O)(=O)Nc1cccc(C(C)CN(C)S(C)(=O)=O)c1,True
1,0,1,RIOK1_772,-7.7,COc1ccccc1S(=O)(=O)Nc1cccc(C(C)CN(C)S(C)(=O)=O)c1,False
1,0,2,RIOK1_772,-7.637,COc1ccccc1S(=O)(=O)Nc1cccc(C(C)CN(C)S(C)(=O)=O)c1,False
1,0,3,RIOK1_772,-7.575,COc1ccccc1S(=O)(=O)Nc1cccc(C(C)CN(C)S(C)(=O)=O)c1,False
1,0,4,RIOK1_772,-7.463,COc1ccccc1S(=O)(=O)Nc1cccc(C(C)CN(C)S(C)(=O)=O)c1,False
2,0,0,RIOK1_799,-8.156,COc1ccc(S(=O)(=O)NCc2cccc(C(=O)N=c3cc(OC)cc[nH]3)c2)cc1,True
2,0,1,RIOK1_799,-8.019,COc1ccc(S(=O)(=O)NCc2cccc(C(=O)N=c3cc(OC)cc[nH]3)c2)cc1,False
2,0,2,RIOK1_799,-7.806,COc1ccc(S(=O)(=O)NCc2cccc(C(=O)N=c3cc(OC)cc[nH]3)c2)cc1,False
2,0,3,RIOK1_799,-7.789,COc1ccc(S(=O)(=O)NCc2cccc(C(=O)N=c3cc(OC)cc[nH]3)c2)cc1,False
2,0,4,RIOK1_799,-7.726,COc1ccc(S(=O)(=O)NCc2cccc(C(=O)N=c3cc(OC)cc[nH]3)c2)cc1,False
3,0,0,RIOK1_775,-7.99,COc1ccc(C(=O)NCc2cccc(OCc3ccccn3)c2)cc1OC,True
3,0,1,RIOK1_775,-7.944,COc1ccc(C(=O)NCc2cccc(OCc3ccccn3)c2)cc1OC,False
3,0,2,RIOK1_775,-7.782,COc1ccc(C(=O)NCc2cccc(OCc3ccccn3)c2)cc1OC,False
3,0,3,RIOK1_775,-7.662,COc1ccc(C(=O)NCc2cccc(OCc3ccccn3)c2)cc1OC,False
3,0,4,RIOK1_775,-7.463,COc1ccc(C(=O)NCc2cccc(OCc3ccccn3)c2)cc1OC,False
4,0,0,RIOK1_531,-8.613,COc1cc(C(=O)NCc2ccc(OC)c(OCC(=O)Nc3cccc(C)c3)c2)ccn1,True
4,0,1,RIOK1_531,-8.391,COc1cc(C(=O)NCc2ccc(OC)c(OCC(=O)Nc3cccc(C)c3)c2)ccn1,False
4,0,2,RIOK1_531,-8.385,COc1cc(C(=O)NCc2ccc(OC)c(OCC(=O)Nc3cccc(C)c3)c2)ccn1,False
4,0,3,RIOK1_531,-8.001,COc1cc(C(=O)NCc2ccc(OC)c(OCC(=O)Nc3cccc(C)c3)c2)ccn1,False
4,0,4,RIOK1_531,-7.995,COc1cc(C(=O)NCc2ccc(OC)c(OCC(=O)Nc3cccc(C)c3)c2)ccn1,False
5,0,0,RIOK1_145,-7.3,COc1cccc(NC(=O)c2cccc(N[SH](C)(=O)c3ccc(OC)cc3C)c2)c1,True
5,0,1,RIOK1_145,-7.223,COc1cccc(NC(=O)c2cccc(N[SH](C)(=O)c3ccc(OC)cc3C)c2)c1,False
5,0,2,RIOK1_145,-7.219,COc1cccc(NC(=O)c2cccc(N[SH](C)(=O)c3ccc(OC)cc3C)c2)c1,False
5,0,3,RIOK1_145,-6.912,COc1cccc(NC(=O)c2cccc(N[SH](C)(=O)c3ccc(OC)cc3C)c2)c1,False
5,0,4,RIOK1_145,-6.728,COc1cccc(NC(=O)c2cccc(N[SH](C)(=O)c3ccc(OC)cc3C)c2)c1,False
6,0,0,RIOK1_599,-8.268,Cc1cccc(CNC(=O)COC(=O)c2ccccc2NC(=O)Cc2ccccn2)c1,True
6,0,1,RIOK1_599,-8.253,Cc1cccc(CNC(=O)COC(=O)c2ccccc2NC(=O)Cc2ccccn2)c1,False
6,0,2,RIOK1_599,-8.243,Cc1cccc(CNC(=O)COC(=O)c2ccccc2NC(=O)Cc2ccccn2)c1,False
6,0,3,RIOK1_599,-8.14,Cc1cccc(CNC(=O)COC(=O)c2ccccc2NC(=O)Cc2ccccn2)c1,False
6,0,4,RIOK1_599,-8.106,Cc1cccc(CNC(=O)COC(=O)c2ccccc2NC(=O)Cc2ccccn2)c1,False
7,0,0,RIOK1_658,-8.043,COc1ccc(CNC(=O)c2ccc(CNC(=O)Cc3ccncc3)cc2)c(OC)c1,True
7,0,1,RIOK1_658,-7.977,COc1ccc(CNC(=O)c2ccc(CNC(=O)Cc3ccncc3)cc2)c(OC)c1,False
7,0,2,RIOK1_658,-7.685,COc1ccc(CNC(=O)c2ccc(CNC(=O)Cc3ccncc3)cc2)c(OC)c1,False
7,0,3,RIOK1_658,-7.667,COc1ccc(CNC(=O)c2ccc(CNC(=O)Cc3ccncc3)cc2)c(OC)c1,False
7,0,4,RIOK1_658,-7.487,COc1ccc(CNC(=O)c2ccc(CNC(=O)Cc3ccncc3)cc2)c(OC)c1,False
8,0,0,RIOK1_280,-8.251,COc1ccc(C(=O)Nc2ccccc2NC(=O)c2ccc(C#N)cc2)cc1OC,True
8,0,1,RIOK1_280,-8.193,COc1ccc(C(=O)Nc2ccccc2NC(=O)c2ccc(C#N)cc2)cc1OC,False
8,0,2,RIOK1_280,-8.177,COc1ccc(C(=O)Nc2ccccc2NC(=O)c2ccc(C#N)cc2)cc1OC,False
8,0,3,RIOK1_280,-8.137,COc1ccc(C(=O)Nc2ccccc2NC(=O)c2ccc(C#N)cc2)cc1OC,False
8,0,4,RIOK1_280,-7.988,COc1ccc(C(=O)Nc2ccccc2NC(=O)c2ccc(C#N)cc2)cc1OC,False
9,0,0,RIOK1_4,-9.327,Cc1ccc(S(=O)(=O)NCc2ccc(NC(=O)c3ccc(C)c(C)c3)cc2)cc1,True
