ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,SPIN1_531,-8.567,CCNC(=O)C1CCC(CC(C)(C)C(=O)NCc2ccc(OC)cc2)NC2(CCC2)CC1,True
0,0,1,SPIN1_531,-7.917,CCNC(=O)C1CCC(CC(C)(C)C(=O)NCc2ccc(OC)cc2)NC2(CCC2)CC1,False
0,0,2,SPIN1_531,-7.706,CCNC(=O)C1CCC(CC(C)(C)C(=O)NCc2ccc(OC)cc2)NC2(CCC2)CC1,False
0,0,3,SPIN1_531,-7.665,CCNC(=O)C1CCC(CC(C)(C)C(=O)NCc2ccc(OC)cc2)NC2(CCC2)CC1,False
0,0,4,SPIN1_531,-7.659,CCNC(=O)C1CCC(CC(C)(C)C(=O)NCc2ccc(OC)cc2)NC2(CCC2)CC1,False
1,0,0,SPIN1_663,-7.261,O=C(CC1CCCC1CNCc1ccncc1)N1CCCC1,True
1,0,1,SPIN1_663,-7.151,O=C(CC1CCCC1CNCc1ccncc1)N1CCCC1,False
1,0,2,SPIN1_663,-7.132,O=C(CC1CCCC1CNCc1ccncc1)N1CCCC1,False
1,0,3,SPIN1_663,-7.034,O=C(CC1CCCC1CNCc1ccncc1)N1CCCC1,False
1,0,4,SPIN1_663,-6.935,O=C(CC1CCCC1CNCc1ccncc1)N1CCCC1,False
2,0,0,SPIN1_589,-8.698,Cc1ccc(Cl)c(NC(=O)CC2CCC3(CCCCC3)O2)c1,True
2,0,1,SPIN1_589,-8.556,Cc1ccc(Cl)c(NC(=O)CC2CCC3(CCCCC3)O2)c1,False
2,0,2,SPIN1_589,-8.272,Cc1ccc(Cl)c(NC(=O)CC2CCC3(CCCCC3)O2)c1,False
2,0,3,SPIN1_589,-8.118,Cc1ccc(Cl)c(NC(=O)CC2CCC3(CCCCC3)O2)c1,False
2,0,4,SPIN1_589,-8.056,Cc1ccc(Cl)c(NC(=O)CC2CCC3(CCCCC3)O2)c1,False
3,0,0,SPIN1_415,-7.473,CCC1(C(=O)Nc2cc(OC)ccc2OC)CCC1,True
3,0,1,SPIN1_415,-7.314,CCC1(C(=O)Nc2cc(OC)ccc2OC)CCC1,False
3,0,2,SPIN1_415,-7.231,CCC1(C(=O)Nc2cc(OC)ccc2OC)CCC1,False
3,0,3,SPIN1_415,-7.017,CCC1(C(=O)Nc2cc(OC)ccc2OC)CCC1,False
3,0,4,SPIN1_415,-6.906,CCC1(C(=O)Nc2cc(OC)ccc2OC)CCC1,False
4,0,0,SPIN1_277,-8.249,COc1ccc(CCNC(C)C2CCC3(CCCCO3)C2)cc1,True
4,0,1,SPIN1_277,-8.022,COc1ccc(CCNC(C)C2CCC3(CCCCO3)C2)cc1,False
4,0,2,SPIN1_277,-7.74,COc1ccc(CCNC(C)C2CCC3(CCCCO3)C2)cc1,False
4,0,3,SPIN1_277,-7.682,COc1ccc(CCNC(C)C2CCC3(CCCCO3)C2)cc1,False
4,0,4,SPIN1_277,-7.532,COc1ccc(CCNC(C)C2CCC3(CCCCO3)C2)cc1,False
5,0,0,SPIN1_754,-7.358,CCCNC(=O)C1CCC2(C1)OCC(OCC)C(CCc1cccc(OC)c1)C2O,True
5,0,1,SPIN1_754,-7.112,CCCNC(=O)C1CCC2(C1)OCC(OCC)C(CCc1cccc(OC)c1)C2O,False
5,0,2,SPIN1_754,-6.968,CCCNC(=O)C1CCC2(C1)OCC(OCC)C(CCc1cccc(OC)c1)C2O,False
5,0,3,SPIN1_754,-6.729,CCCNC(=O)C1CCC2(C1)OCC(OCC)C(CCc1cccc(OC)c1)C2O,False
5,0,4,SPIN1_754,-6.708,CCCNC(=O)C1CCC2(C1)OCC(OCC)C(CCc1cccc(OC)c1)C2O,False
6,0,0,SPIN1_318,-7.777,O=C(NCCc1ccc(Cl)cc1)C1CCC2(C1)OCCS2,True
6,0,1,SPIN1_318,-7.682,O=C(NCCc1ccc(Cl)cc1)C1CCC2(C1)OCCS2,False
6,0,2,SPIN1_318,-7.517,O=C(NCCc1ccc(Cl)cc1)C1CCC2(C1)OCCS2,False
6,0,3,SPIN1_318,-7.353,O=C(NCCc1ccc(Cl)cc1)C1CCC2(C1)OCCS2,False
6,0,4,SPIN1_318,-7.185,O=C(NCCc1ccc(Cl)cc1)C1CCC2(C1)OCCS2,False
7,0,0,SPIN1_203,-7.177,COc1cccc(CCNC(=O)C2CCC(OC)CC2)c1,True
7,0,1,SPIN1_203,-7.123,COc1cccc(CCNC(=O)C2CCC(OC)CC2)c1,False
7,0,2,SPIN1_203,-7.06,COc1cccc(CCNC(=O)C2CCC(OC)CC2)c1,False
7,0,3,SPIN1_203,-6.932,COc1cccc(CCNC(=O)C2CCC(OC)CC2)c1,False
7,0,4,SPIN1_203,-6.91,COc1cccc(CCNC(=O)C2CCC(OC)CC2)c1,False
8,0,0,SPIN1_716,-6.925,CCN1CCC(COc2ccc([N+](=O)[O-])cc2)CC1,True
8,0,1,SPIN1_716,-6.436,CCN1CCC(COc2ccc([N+](=O)[O-])cc2)CC1,False
8,0,2,SPIN1_716,-6.29,CCN1CCC(COc2ccc([N+](=O)[O-])cc2)CC1,False
8,0,3,SPIN1_716,-6.208,CCN1CCC(COc2ccc([N+](=O)[O-])cc2)CC1,False
8,0,4,SPIN1_716,-6.058,CCN1CCC(COc2ccc([N+](=O)[O-])cc2)CC1,False
9,0,0,SPIN1_104,-8.96,CCc1ccc(C2CCN(C(=O)N3CCC(NC4CCCC4)C3)CC2)cc1,True
9,0,1,SPIN1_104,-8.361,CCc1ccc(C2CCN(C(=O)N3CCC(NC4CCCC4)C3)CC2)cc1,False
9,0,2,SPIN1_104,-8.022,CCc1ccc(C2CCN(C(=O)N3CCC(NC4CCCC4)C3)CC2)cc1,False
9,0,3,SPIN1_104,-7.969,CCc1ccc(C2CCN(C(=O)N3CCC(NC4CCCC4)C3)CC2)cc1,False
9,0,4,SPIN1_104,-7.962,CCc1ccc(C2CCN(C(=O)N3CCC(NC4CCCC4)C3)CC2)cc1,False
10,0,0,SPIN1_102,-6.565,COc1cc(OC)cc(C(=O)NCC2CCC2)c1,True
10,0,1,SPIN1_102,-6.546,COc1cc(OC)cc(C(=O)NCC2CCC2)c1,False
10,0,2,SPIN1_102,-6.395,COc1cc(OC)cc(C(=O)NCC2CCC2)c1,False
10,0,3,SPIN1_102,-6.286,COc1cc(OC)cc(C(=O)NCC2CCC2)c1,False
10,0,4,SPIN1_102,-6.073,COc1cc(OC)cc(C(=O)NCC2CCC2)c1,False
11,0,0,SPIN1_51,-7.58,Cc1ccc(CCNC(=O)CC2CCC2)cc1,True
11,0,1,SPIN1_51,-7.303,Cc1ccc(CCNC(=O)CC2CCC2)cc1,False
11,0,2,SPIN1_51,-7.292,Cc1ccc(CCNC(=O)CC2CCC2)cc1,False
