ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,CCR9_539,-7.28,COC(O)=Nc1cccc(C(=O)O)c1,True
0,0,1,CCR9_539,-6.722,COC(O)=Nc1cccc(C(=O)O)c1,False
0,0,2,CCR9_539,-6.698,COC(O)=Nc1cccc(C(=O)O)c1,False
0,0,3,CCR9_539,-6.209,COC(O)=Nc1cccc(C(=O)O)c1,False
0,0,4,CCR9_539,-5.839,COC(O)=Nc1cccc(C(=O)O)c1,False
1,0,0,CCR9_97,-9.37,O=S(=O)(c1cccc2cnccc12)N1CCCNCC1,True
1,0,1,CCR9_97,-9.305,O=S(=O)(c1cccc2cnccc12)N1CCCNCC1,False
1,0,2,CCR9_97,-8.455,O=S(=O)(c1cccc2cnccc12)N1CCCNCC1,False
1,0,3,CCR9_97,-8.419,O=S(=O)(c1cccc2cnccc12)N1CCCNCC1,False
1,0,4,CCR9_97,-8.196,O=S(=O)(c1cccc2cnccc12)N1CCCNCC1,False
2,0,0,CCR9_333,-8.195,COc1ccc(C[C@H](N=C(O)OC(C)C)C(=O)O)cc1,True
2,0,1,CCR9_333,-8.175,COc1ccc(C[C@H](N=C(O)OC(C)C)C(=O)O)cc1,False
2,0,2,CCR9_333,-7.775,COc1ccc(C[C@H](N=C(O)OC(C)C)C(=O)O)cc1,False
2,0,3,CCR9_333,-7.585,COc1ccc(C[C@H](N=C(O)OC(C)C)C(=O)O)cc1,False
2,0,4,CCR9_333,-7.583,COc1ccc(C[C@H](N=C(O)OC(C)C)C(=O)O)cc1,False
3,0,0,CCR9_733,-6.13,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)c1ccc(O)cc1,True
3,0,1,CCR9_733,-5.127,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)c1ccc(O)cc1,False
3,0,2,CCR9_733,-3.69,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)c1ccc(O)cc1,False
3,0,3,CCR9_733,-3.546,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)c1ccc(O)cc1,False
3,0,4,CCR9_733,-3.525,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)c1ccc(O)cc1,False
4,0,0,CCR9_4,-8.18,CC[C@H]1C(O)=Nc2ccc(F)cc2N1C(=O)OC(C)C,True
4,0,1,CCR9_4,-7.887,CC[C@H]1C(O)=Nc2ccc(F)cc2N1C(=O)OC(C)C,False
4,0,2,CCR9_4,-7.526,CC[C@H]1C(O)=Nc2ccc(F)cc2N1C(=O)OC(C)C,False
4,0,3,CCR9_4,-7.244,CC[C@H]1C(O)=Nc2ccc(F)cc2N1C(=O)OC(C)C,False
4,0,4,CCR9_4,-6.527,CC[C@H]1C(O)=Nc2ccc(F)cc2N1C(=O)OC(C)C,False
5,0,0,CCR9_826,-9.695,O=C(O)[C@H]1[C@H]2CC[C@H](CC2)[C@@H]1N=c1[nH]c(C2C=Nc3ncc(F)cc32)ncc1F,True
5,0,1,CCR9_826,-7.593,O=C(O)[C@H]1[C@H]2CC[C@H](CC2)[C@@H]1N=c1[nH]c(C2C=Nc3ncc(F)cc32)ncc1F,False
5,0,2,CCR9_826,-7.075,O=C(O)[C@H]1[C@H]2CC[C@H](CC2)[C@@H]1N=c1[nH]c(C2C=Nc3ncc(F)cc32)ncc1F,False
5,0,3,CCR9_826,-6.877,O=C(O)[C@H]1[C@H]2CC[C@H](CC2)[C@@H]1N=c1[nH]c(C2C=Nc3ncc(F)cc32)ncc1F,False
6,0,0,CCR9_677,-7.117,O=C(O)[C@@H]1CC[C@H](c2ccccc2)N1C(=O)CN=C(O)[C@@H](S)CS,True
6,0,1,CCR9_677,-6.935,O=C(O)[C@@H]1CC[C@H](c2ccccc2)N1C(=O)CN=C(O)[C@@H](S)CS,False
6,0,2,CCR9_677,-6.463,O=C(O)[C@@H]1CC[C@H](c2ccccc2)N1C(=O)CN=C(O)[C@@H](S)CS,False
6,0,3,CCR9_677,-6.195,O=C(O)[C@@H]1CC[C@H](c2ccccc2)N1C(=O)CN=C(O)[C@@H](S)CS,False
6,0,4,CCR9_677,-5.378,O=C(O)[C@@H]1CC[C@H](c2ccccc2)N1C(=O)CN=C(O)[C@@H](S)CS,False
7,0,0,CCR9_916,-7.914,O=C(O)[C@H]1CS[C@@H](c2nc3ccc(O)cc3s2)N1,True
7,0,1,CCR9_916,-7.865,O=C(O)[C@H]1CS[C@@H](c2nc3ccc(O)cc3s2)N1,False
7,0,2,CCR9_916,-7.658,O=C(O)[C@H]1CS[C@@H](c2nc3ccc(O)cc3s2)N1,False
7,0,3,CCR9_916,-7.361,O=C(O)[C@H]1CS[C@@H](c2nc3ccc(O)cc3s2)N1,False
7,0,4,CCR9_916,-6.955,O=C(O)[C@H]1CS[C@@H](c2nc3ccc(O)cc3s2)N1,False
8,0,0,CCR9_3,-7.577,O=C(O)[C@@H]1CC[C@H](c2ccccc2)N1C(=O)CN=C(O)[C@@H](S)Cc1ccccc1,True
8,0,1,CCR9_3,-6.943,O=C(O)[C@@H]1CC[C@H](c2ccccc2)N1C(=O)CN=C(O)[C@@H](S)Cc1ccccc1,False
8,0,2,CCR9_3,-6.521,O=C(O)[C@@H]1CC[C@H](c2ccccc2)N1C(=O)CN=C(O)[C@@H](S)Cc1ccccc1,False
8,0,3,CCR9_3,-6.335,O=C(O)[C@@H]1CC[C@H](c2ccccc2)N1C(=O)CN=C(O)[C@@H](S)Cc1ccccc1,False
8,0,4,CCR9_3,-5.941,O=C(O)[C@@H]1CC[C@H](c2ccccc2)N1C(=O)CN=C(O)[C@@H](S)Cc1ccccc1,False
9,0,0,CCR9_335,-6.674,Cc1c(O)nc(=O)n(C)c1C[C@H](CO)CF,True
9,0,1,CCR9_335,-6.622,Cc1c(O)nc(=O)n(C)c1C[C@H](CO)CF,False
9,0,2,CCR9_335,-6.487,Cc1c(O)nc(=O)n(C)c1C[C@H](CO)CF,False
9,0,3,CCR9_335,-6.396,Cc1c(O)nc(=O)n(C)c1C[C@H](CO)CF,False
9,0,4,CCR9_335,-6.229,Cc1c(O)nc(=O)n(C)c1C[C@H](CO)CF,False
10,0,0,CCR9_288,-8.41,Cc1ccc([C@H](CCC(=O)N(C)O)P(=O)(O)O)cc1,True
10,0,1,CCR9_288,-7.834,Cc1ccc([C@H](CCC(=O)N(C)O)P(=O)(O)O)cc1,False
10,0,2,CCR9_288,-7.437,Cc1ccc([C@H](CCC(=O)N(C)O)P(=O)(O)O)cc1,False
10,0,3,CCR9_288,-6.524,Cc1ccc([C@H](CCC(=O)N(C)O)P(=O)(O)O)cc1,False
10,0,4,CCR9_288,-6.349,Cc1ccc([C@H](CCC(=O)N(C)O)P(=O)(O)O)cc1,False
11,0,0,CCR9_28,-9.649,COC(=O)[C@@H]1C[C@H](C(=O)O)N[C@H]1[C@H](CC(C)C)N=C(O)c1cccc(O)c1,True
11,0,1,CCR9_28,-9.223,COC(=O)[C@@H]1C[C@H](C(=O)O)N[C@H]1[C@H](CC(C)C)N=C(O)c1cccc(O)c1,False
11,0,2,CCR9_28,-8.822,COC(=O)[C@@H]1C[C@H](C(=O)O)N[C@H]1[C@H](CC(C)C)N=C(O)c1cccc(O)c1,False
11,0,3,CCR9_28,-7.469,COC(=O)[C@@H]1C[C@H](C(=O)O)N[C@H]1[C@H](CC(C)C)N=C(O)c1cccc(O)c1,False
11,0,4,CCR9_28,-6.906,COC(=O)[C@@H]1C[C@H](C(=O)O)N[C@H]1[C@H](CC(C)C)N=C(O)c1cccc(O)c1,False
12,0,0,CCR9_214,-9.632,C[C@@H](C(=O)N1CCOCC1)N1CC[C@H](NS(=O)(=O)c2nc3ccccc3s2)C1=O,True
12,0,1,CCR9_214,-7.436,C[C@@H](C(=O)N1CCOCC1)N1CC[C@H](NS(=O)(=O)c2nc3ccccc3s2)C1=O,False
12,0,2,CCR9_214,-7.121,C[C@@H](C(=O)N1CCOCC1)N1CC[C@H](NS(=O)(=O)c2nc3ccccc3s2)C1=O,False
12,0,3,CCR9_214,-7.106,C[C@@H](C(=O)N1CCOCC1)N1CC[C@H](NS(=O)(=O)c2nc3ccccc3s2)C1=O,False
12,0,4,CCR9_214,-7.03,C[C@@H](C(=O)N1CCOCC1)N1CC[C@H](NS(=O)(=O)c2nc3ccccc3s2)C1=O,False
13,0,0,CCR9_157,-7.403,COC(=O)[C@H](COC=O)N=C(O)c1cccc(O)c1O,True
13,0,1,CCR9_157,-7.396,COC(=O)[C@H](COC=O)N=C(O)c1cccc(O)c1O,False
13,0,2,CCR9_157,-7.211,COC(=O)[C@H](COC=O)N=C(O)c1cccc(O)c1O,False
13,0,3,CCR9_157,-6.908,COC(=O)[C@H](COC=O)N=C(O)c1cccc(O)c1O,False
13,0,4,CCR9_157,-6.766,COC(=O)[C@H](COC=O)N=C(O)c1cccc(O)c1O,False
14,0,0,CCR9_994,-8.549,COC(=O)[C@@H](C#N)[C@H]1SCC(=O)N1c1ccc(-c2ccccc2)cc1F,True
14,0,1,CCR9_994,-8.129,COC(=O)[C@@H](C#N)[C@H]1SCC(=O)N1c1ccc(-c2ccccc2)cc1F,False
14,0,2,CCR9_994,-6.535,COC(=O)[C@@H](C#N)[C@H]1SCC(=O)N1c1ccc(-c2ccccc2)cc1F,False
14,0,3,CCR9_994,-5.704,COC(=O)[C@@H](C#N)[C@H]1SCC(=O)N1c1ccc(-c2ccccc2)cc1F,False
14,0,4,CCR9_994,-5.67,COC(=O)[C@@H](C#N)[C@H]1SCC(=O)N1c1ccc(-c2ccccc2)cc1F,False
15,0,0,CCR9_167,-8.644,O=C(O)[C@]1(O)C=C([C@H](O)Cc2ccccc2)[C@@H](O)[C@H](O)C1,True
15,0,1,CCR9_167,-8.451,O=C(O)[C@]1(O)C=C([C@H](O)Cc2ccccc2)[C@@H](O)[C@H](O)C1,False
15,0,2,CCR9_167,-8.294,O=C(O)[C@]1(O)C=C([C@H](O)Cc2ccccc2)[C@@H](O)[C@H](O)C1,False
15,0,3,CCR9_167,-8.292,O=C(O)[C@]1(O)C=C([C@H](O)Cc2ccccc2)[C@@H](O)[C@H](O)C1,False
15,0,4,CCR9_167,-8.03,O=C(O)[C@]1(O)C=C([C@H](O)Cc2ccccc2)[C@@H](O)[C@H](O)C1,False
16,0,0,CCR9_72,-9.049,C[C@@H](C(=O)N1CCOCC1)N1CC[C@H](NS(=O)(=O)/C=C/c2ccc(Cl)s2)C1=O,True
16,0,1,CCR9_72,-8.918,C[C@@H](C(=O)N1CCOCC1)N1CC[C@H](NS(=O)(=O)/C=C/c2ccc(Cl)s2)C1=O,False
16,0,2,CCR9_72,-7.686,C[C@@H](C(=O)N1CCOCC1)N1CC[C@H](NS(=O)(=O)/C=C/c2ccc(Cl)s2)C1=O,False
16,0,3,CCR9_72,-6.858,C[C@@H](C(=O)N1CCOCC1)N1CC[C@H](NS(=O)(=O)/C=C/c2ccc(Cl)s2)C1=O,False
16,0,4,CCR9_72,-6.698,C[C@@H](C(=O)N1CCOCC1)N1CC[C@H](NS(=O)(=O)/C=C/c2ccc(Cl)s2)C1=O,False
17,0,0,CCR9_957,-8.184,O=S(=O)(c1ccc(F)cc1)N1CCOc2ccccc2C1,True
17,0,1,CCR9_957,-8.112,O=S(=O)(c1ccc(F)cc1)N1CCOc2ccccc2C1,False
17,0,2,CCR9_957,-7.899,O=S(=O)(c1ccc(F)cc1)N1CCOc2ccccc2C1,False
17,0,3,CCR9_957,-7.301,O=S(=O)(c1ccc(F)cc1)N1CCOc2ccccc2C1,False
17,0,4,CCR9_957,-7.286,O=S(=O)(c1ccc(F)cc1)N1CCOc2ccccc2C1,False
18,0,0,CCR9_54,-7.323,O=S(=O)(c1ccc(CN=C(O)n2cc3ccncc3c2)cc1)C1C=CN=C1,True
18,0,1,CCR9_54,-6.824,O=S(=O)(c1ccc(CN=C(O)n2cc3ccncc3c2)cc1)C1C=CN=C1,False
18,0,2,CCR9_54,-6.723,O=S(=O)(c1ccc(CN=C(O)n2cc3ccncc3c2)cc1)C1C=CN=C1,False
18,0,3,CCR9_54,-6.311,O=S(=O)(c1ccc(CN=C(O)n2cc3ccncc3c2)cc1)C1C=CN=C1,False
18,0,4,CCR9_54,-6.187,O=S(=O)(c1ccc(CN=C(O)n2cc3ccncc3c2)cc1)C1C=CN=C1,False
19,0,0,CCR9_384,-8.107,CC(C)[C@H](N=C(O)OCc1ccccc1)P(=O)(O)O[C@H](C(=O)O)c1cccc(CN)c1,True
19,0,1,CCR9_384,-8.042,CC(C)[C@H](N=C(O)OCc1ccccc1)P(=O)(O)O[C@H](C(=O)O)c1cccc(CN)c1,False
19,0,2,CCR9_384,-8.028,CC(C)[C@H](N=C(O)OCc1ccccc1)P(=O)(O)O[C@H](C(=O)O)c1cccc(CN)c1,False
19,0,3,CCR9_384,-7.872,CC(C)[C@H](N=C(O)OCc1ccccc1)P(=O)(O)O[C@H](C(=O)O)c1cccc(CN)c1,False
19,0,4,CCR9_384,-7.832,CC(C)[C@H](N=C(O)OCc1ccccc1)P(=O)(O)O[C@H](C(=O)O)c1cccc(CN)c1,False
20,0,0,CCR9_439,-8.734,CS(=O)(=O)n1cc2c(n1)CN([C@H]1CO[C@H](c3ccncc3)O1)C2,True
20,0,1,CCR9_439,-8.541,CS(=O)(=O)n1cc2c(n1)CN([C@H]1CO[C@H](c3ccncc3)O1)C2,False
20,0,2,CCR9_439,-8.488,CS(=O)(=O)n1cc2c(n1)CN([C@H]1CO[C@H](c3ccncc3)O1)C2,False
20,0,3,CCR9_439,-8.117,CS(=O)(=O)n1cc2c(n1)CN([C@H]1CO[C@H](c3ccncc3)O1)C2,False
20,0,4,CCR9_439,-7.851,CS(=O)(=O)n1cc2c(n1)CN([C@H]1CO[C@H](c3ccncc3)O1)C2,False
