ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,ESR1_4,-6.145,O=C(O)CN=C(O)NC1CCCCC1,True
0,0,1,ESR1_4,-5.816,O=C(O)CN=C(O)NC1CCCCC1,False
0,0,2,ESR1_4,-5.794,O=C(O)CN=C(O)NC1CCCCC1,False
0,0,3,ESR1_4,-5.791,O=C(O)CN=C(O)NC1CCCCC1,False
0,0,4,ESR1_4,-5.683,O=C(O)CN=C(O)NC1CCCCC1,False
1,0,0,ESR1_132,-5.385,CCOC(=O)c1c(C)nn(C)c1C,True
1,0,1,ESR1_132,-5.304,CCOC(=O)c1c(C)nn(C)c1C,False
1,0,2,ESR1_132,-5.302,CCOC(=O)c1c(C)nn(C)c1C,False
1,0,3,ESR1_132,-5.108,CCOC(=O)c1c(C)nn(C)c1C,False
1,0,4,ESR1_132,-5.102,CCOC(=O)c1c(C)nn(C)c1C,False
2,0,0,ESR1_628,-6.512,CC(C)Cc1ccc([C@H](C)CN)cc1,True
2,0,1,ESR1_628,-6.481,CC(C)Cc1ccc([C@H](C)CN)cc1,False
2,0,2,ESR1_628,-6.346,CC(C)Cc1ccc([C@H](C)CN)cc1,False
2,0,3,ESR1_628,-6.173,CC(C)Cc1ccc([C@H](C)CN)cc1,False
2,0,4,ESR1_628,-6.113,CC(C)Cc1ccc([C@H](C)CN)cc1,False
3,0,0,ESR1_429,-6.302,O=C(O)c1ccccc1C(=O)O,True
3,0,1,ESR1_429,-6.291,O=C(O)c1ccccc1C(=O)O,False
3,0,2,ESR1_429,-6.06,O=C(O)c1ccccc1C(=O)O,False
3,0,3,ESR1_429,-5.788,O=C(O)c1ccccc1C(=O)O,False
3,0,4,ESR1_429,-5.701,O=C(O)c1ccccc1C(=O)O,False
4,0,0,ESR1_61,-7.316,N=C(O)c1ccc(NC2CCCC2)nc1,True
4,0,1,ESR1_61,-7.294,N=C(O)c1ccc(NC2CCCC2)nc1,False
4,0,2,ESR1_61,-6.907,N=C(O)c1ccc(NC2CCCC2)nc1,False
4,0,3,ESR1_61,-6.786,N=C(O)c1ccc(NC2CCCC2)nc1,False
4,0,4,ESR1_61,-6.587,N=C(O)c1ccc(NC2CCCC2)nc1,False
5,0,0,ESR1_36,-6.254,O=C(O)CN=C(O)c1nc(Cl)ccc1Cl,True
5,0,1,ESR1_36,-6.116,O=C(O)CN=C(O)c1nc(Cl)ccc1Cl,False
5,0,2,ESR1_36,-6.083,O=C(O)CN=C(O)c1nc(Cl)ccc1Cl,False
5,0,3,ESR1_36,-5.774,O=C(O)CN=C(O)c1nc(Cl)ccc1Cl,False
5,0,4,ESR1_36,-5.768,O=C(O)CN=C(O)c1nc(Cl)ccc1Cl,False
6,0,0,ESR1_50,-6.482,N=C(O)CCC(=O)c1ccccc1,True
6,0,1,ESR1_50,-6.438,N=C(O)CCC(=O)c1ccccc1,False
6,0,2,ESR1_50,-6.206,N=C(O)CCC(=O)c1ccccc1,False
6,0,3,ESR1_50,-6.169,N=C(O)CCC(=O)c1ccccc1,False
6,0,4,ESR1_50,-5.992,N=C(O)CCC(=O)c1ccccc1,False
7,0,0,ESR1_2,-6.54,O=C(O)CCC(O)=NN=C(O)c1cccnc1,True
7,0,1,ESR1_2,-6.262,O=C(O)CCC(O)=NN=C(O)c1cccnc1,False
7,0,2,ESR1_2,-6.174,O=C(O)CCC(O)=NN=C(O)c1cccnc1,False
7,0,3,ESR1_2,-6.171,O=C(O)CCC(O)=NN=C(O)c1cccnc1,False
7,0,4,ESR1_2,-5.958,O=C(O)CCC(O)=NN=C(O)c1cccnc1,False
8,0,0,ESR1_145,-6.121,COc1cc(CCC(=O)O)ccc1O,True
8,0,1,ESR1_145,-6.073,COc1cc(CCC(=O)O)ccc1O,False
8,0,2,ESR1_145,-5.765,COc1cc(CCC(=O)O)ccc1O,False
8,0,3,ESR1_145,-5.729,COc1cc(CCC(=O)O)ccc1O,False
8,0,4,ESR1_145,-5.588,COc1cc(CCC(=O)O)ccc1O,False
9,0,0,ESR1_992,-5.883,N=C1N=C(O)C2N=C(CO)C=C2N1,True
9,0,1,ESR1_992,-5.715,N=C1N=C(O)C2N=C(CO)C=C2N1,False
9,0,2,ESR1_992,-5.663,N=C1N=C(O)C2N=C(CO)C=C2N1,False
9,0,3,ESR1_992,-5.576,N=C1N=C(O)C2N=C(CO)C=C2N1,False
9,0,4,ESR1_992,-5.465,N=C1N=C(O)C2N=C(CO)C=C2N1,False
10,0,0,ESR1_290,-7.763,CC1=C(CCCOc2ccccc2)C(=O)CC=C1,True
10,0,1,ESR1_290,-7.679,CC1=C(CCCOc2ccccc2)C(=O)CC=C1,False
10,0,2,ESR1_290,-7.568,CC1=C(CCCOc2ccccc2)C(=O)CC=C1,False
10,0,3,ESR1_290,-7.491,CC1=C(CCCOc2ccccc2)C(=O)CC=C1,False
10,0,4,ESR1_290,-7.382,CC1=C(CCCOc2ccccc2)C(=O)CC=C1,False
11,0,0,ESR1_739,-6.365,N=C1N=C(O)C2=NC=C(C(=O)O)C2=N1,True
11,0,1,ESR1_739,-6.16,N=C1N=C(O)C2=NC=C(C(=O)O)C2=N1,False
11,0,2,ESR1_739,-6.141,N=C1N=C(O)C2=NC=C(C(=O)O)C2=N1,False
11,0,3,ESR1_739,-5.583,N=C1N=C(O)C2=NC=C(C(=O)O)C2=N1,False
11,0,4,ESR1_739,-5.558,N=C1N=C(O)C2=NC=C(C(=O)O)C2=N1,False
12,0,0,ESR1_285,-7.692,CC1=C(CCCOc2ccccc2F)C(=O)C=CC1,True
12,0,1,ESR1_285,-7.666,CC1=C(CCCOc2ccccc2F)C(=O)C=CC1,False
12,0,2,ESR1_285,-7.655,CC1=C(CCCOc2ccccc2F)C(=O)C=CC1,False
12,0,3,ESR1_285,-7.455,CC1=C(CCCOc2ccccc2F)C(=O)C=CC1,False
12,0,4,ESR1_285,-7.418,CC1=C(CCCOc2ccccc2F)C(=O)C=CC1,False
13,0,0,ESR1_848,-6.885,CSC[C@H]1CN(Cc2cnc3c(N)[nH]cnc2-3)C[C@@H]1,True
13,0,1,ESR1_848,-6.819,CSC[C@H]1CN(Cc2cnc3c(N)[nH]cnc2-3)C[C@@H]1,False
13,0,2,ESR1_848,-6.372,CSC[C@H]1CN(Cc2cnc3c(N)[nH]cnc2-3)C[C@@H]1,False
13,0,3,ESR1_848,-6.366,CSC[C@H]1CN(Cc2cnc3c(N)[nH]cnc2-3)C[C@@H]1,False
13,0,4,ESR1_848,-6.236,CSC[C@H]1CN(Cc2cnc3c(N)[nH]cnc2-3)C[C@@H]1,False
14,0,0,ESR1_419,-6.365,N=c1ccn([C@@H]2CO[C@H](CO)O2)c(O)n1,True
14,0,1,ESR1_419,-6.052,N=c1ccn([C@@H]2CO[C@H](CO)O2)c(O)n1,False
14,0,2,ESR1_419,-6.011,N=c1ccn([C@@H]2CO[C@H](CO)O2)c(O)n1,False
14,0,3,ESR1_419,-5.936,N=c1ccn([C@@H]2CO[C@H](CO)O2)c(O)n1,False
14,0,4,ESR1_419,-5.848,N=c1ccn([C@@H]2CO[C@H](CO)O2)c(O)n1,False
15,0,0,ESR1_384,-7.927,N=C(O)c1ccc(=NC[C@@H]2CCC[C@H](CN)C2)[nH]c1,True
15,0,1,ESR1_384,-7.819,N=C(O)c1ccc(=NC[C@@H]2CCC[C@H](CN)C2)[nH]c1,False
15,0,2,ESR1_384,-7.714,N=C(O)c1ccc(=NC[C@@H]2CCC[C@H](CN)C2)[nH]c1,False
15,0,3,ESR1_384,-7.5,N=C(O)c1ccc(=NC[C@@H]2CCC[C@H](CN)C2)[nH]c1,False
15,0,4,ESR1_384,-6.877,N=C(O)c1ccc(=NC[C@@H]2CCC[C@H](CN)C2)[nH]c1,False
16,0,0,ESR1_213,-7.36,CC(C)Cc1ccc([C@H]2CCCNC2)cc1,True
16,0,1,ESR1_213,-7.033,CC(C)Cc1ccc([C@H]2CCCNC2)cc1,False
16,0,2,ESR1_213,-7.016,CC(C)Cc1ccc([C@H]2CCCNC2)cc1,False
16,0,3,ESR1_213,-6.949,CC(C)Cc1ccc([C@H]2CCCNC2)cc1,False
16,0,4,ESR1_213,-6.935,CC(C)Cc1ccc([C@H]2CCCNC2)cc1,False
17,0,0,ESR1_445,-7.608,CC1=C(CCc2ccccc2)C(=O)CC=C1,True
17,0,1,ESR1_445,-7.574,CC1=C(CCc2ccccc2)C(=O)CC=C1,False
17,0,2,ESR1_445,-7.535,CC1=C(CCc2ccccc2)C(=O)CC=C1,False
17,0,3,ESR1_445,-7.477,CC1=C(CCc2ccccc2)C(=O)CC=C1,False
17,0,4,ESR1_445,-7.417,CC1=C(CCc2ccccc2)C(=O)CC=C1,False
18,0,0,ESR1_192,-5.963,CC(C)C[C@H](N)C(O)=NS(O)(O)O,True
18,0,1,ESR1_192,-5.927,CC(C)C[C@H](N)C(O)=NS(O)(O)O,False
18,0,2,ESR1_192,-5.89,CC(C)C[C@H](N)C(O)=NS(O)(O)O,False
