ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,FTO_964,-6.371,O=C(O)CCCCCN=C(O)NC1CCCCC1,True
0,0,1,FTO_964,-6.177,O=C(O)CCCCCN=C(O)NC1CCCCC1,False
0,0,2,FTO_964,-6.14,O=C(O)CCCCCN=C(O)NC1CCCCC1,False
0,0,3,FTO_964,-6.121,O=C(O)CCCCCN=C(O)NC1CCCCC1,False
0,0,4,FTO_964,-6.032,O=C(O)CCCCCN=C(O)NC1CCCCC1,False
1,0,0,FTO_810,-6.833,O=S(=O)(CC1CCCC1)N1CCC[C@@H]1C(O)=NO,True
1,0,1,FTO_810,-6.814,O=S(=O)(CC1CCCC1)N1CCC[C@@H]1C(O)=NO,False
1,0,2,FTO_810,-6.71,O=S(=O)(CC1CCCC1)N1CCC[C@@H]1C(O)=NO,False
1,0,3,FTO_810,-6.705,O=S(=O)(CC1CCCC1)N1CCC[C@@H]1C(O)=NO,False
1,0,4,FTO_810,-6.638,O=S(=O)(CC1CCCC1)N1CCC[C@@H]1C(O)=NO,False
2,0,0,FTO_168,-4.976,O=P(O)(O)C1(P(=O)(O)O)CCCC1,True
2,0,1,FTO_168,-4.272,O=P(O)(O)C1(P(=O)(O)O)CCCC1,False
2,0,2,FTO_168,-4.159,O=P(O)(O)C1(P(=O)(O)O)CCCC1,False
2,0,3,FTO_168,-4.158,O=P(O)(O)C1(P(=O)(O)O)CCCC1,False
2,0,4,FTO_168,-4.153,O=P(O)(O)C1(P(=O)(O)O)CCCC1,False
3,0,0,FTO_913,-5.793,O=C(O)c1ccc(O)c(Cl)c1,True
3,0,1,FTO_913,-5.655,O=C(O)c1ccc(O)c(Cl)c1,False
3,0,2,FTO_913,-5.606,O=C(O)c1ccc(O)c(Cl)c1,False
3,0,3,FTO_913,-5.595,O=C(O)c1ccc(O)c(Cl)c1,False
3,0,4,FTO_913,-5.543,O=C(O)c1ccc(O)c(Cl)c1,False
4,0,0,FTO_10,-8.52,O=S(=O)(CC1(C(O)=NO)CCCC1)c1ccccc1,True
4,0,1,FTO_10,-7.634,O=S(=O)(CC1(C(O)=NO)CCCC1)c1ccccc1,False
4,0,2,FTO_10,-7.574,O=S(=O)(CC1(C(O)=NO)CCCC1)c1ccccc1,False
4,0,3,FTO_10,-7.525,O=S(=O)(CC1(C(O)=NO)CCCC1)c1ccccc1,False
4,0,4,FTO_10,-7.454,O=S(=O)(CC1(C(O)=NO)CCCC1)c1ccccc1,False
5,0,0,FTO_416,-7.456,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)O)c1,True
5,0,1,FTO_416,-7.387,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)O)c1,False
5,0,2,FTO_416,-6.615,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)O)c1,False
5,0,3,FTO_416,-6.593,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)O)c1,False
5,0,4,FTO_416,-6.508,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)O)c1,False
6,0,0,FTO_749,-6.74,O=C(O)CCCCC(=O)c1ccc(O)cc1,True
6,0,1,FTO_749,-6.622,O=C(O)CCCCC(=O)c1ccc(O)cc1,False
6,0,2,FTO_749,-6.536,O=C(O)CCCCC(=O)c1ccc(O)cc1,False
6,0,3,FTO_749,-6.458,O=C(O)CCCCC(=O)c1ccc(O)cc1,False
6,0,4,FTO_749,-6.289,O=C(O)CCCCC(=O)c1ccc(O)cc1,False
7,0,0,FTO_139,-5.299,O=C(O)CCC(=O)O,True
7,0,1,FTO_139,-4.645,O=C(O)CCC(=O)O,False
7,0,2,FTO_139,-4.616,O=C(O)CCC(=O)O,False
7,0,3,FTO_139,-4.608,O=C(O)CCC(=O)O,False
7,0,4,FTO_139,-4.604,O=C(O)CCC(=O)O,False
8,0,0,FTO_86,-5.518,O=P(O)(O)C1(P(=O)(O)O)Cc2ccncc2C1,True
8,0,1,FTO_86,-5.502,O=P(O)(O)C1(P(=O)(O)O)Cc2ccncc2C1,False
8,0,2,FTO_86,-5.219,O=P(O)(O)C1(P(=O)(O)O)Cc2ccncc2C1,False
8,0,3,FTO_86,-5.139,O=P(O)(O)C1(P(=O)(O)O)Cc2ccncc2C1,False
8,0,4,FTO_86,-4.719,O=P(O)(O)C1(P(=O)(O)O)Cc2ccncc2C1,False
9,0,0,FTO_268,-6.896,CCCS(=O)(=O)Nc1cccc(C(=O)O)c1,True
9,0,1,FTO_268,-6.791,CCCS(=O)(=O)Nc1cccc(C(=O)O)c1,False
9,0,2,FTO_268,-6.319,CCCS(=O)(=O)Nc1cccc(C(=O)O)c1,False
9,0,3,FTO_268,-6.247,CCCS(=O)(=O)Nc1cccc(C(=O)O)c1,False
9,0,4,FTO_268,-6.183,CCCS(=O)(=O)Nc1cccc(C(=O)O)c1,False
10,0,0,FTO_277,-6.296,CC(C)(C)NC(=O)c1ccccc1,True
10,0,1,FTO_277,-6.197,CC(C)(C)NC(=O)c1ccccc1,False
10,0,2,FTO_277,-6.127,CC(C)(C)NC(=O)c1ccccc1,False
10,0,3,FTO_277,-6.118,CC(C)(C)NC(=O)c1ccccc1,False
10,0,4,FTO_277,-5.872,CC(C)(C)NC(=O)c1ccccc1,False
11,0,0,FTO_731,-7.066,O=C(O)CCc1ccc(OC2CCNCC2)cc1,True
11,0,1,FTO_731,-7.041,O=C(O)CCc1ccc(OC2CCNCC2)cc1,False
11,0,2,FTO_731,-7.03,O=C(O)CCc1ccc(OC2CCNCC2)cc1,False
11,0,3,FTO_731,-6.736,O=C(O)CCc1ccc(OC2CCNCC2)cc1,False
11,0,4,FTO_731,-6.632,O=C(O)CCc1ccc(OC2CCNCC2)cc1,False
12,0,0,FTO_92,-6.881,O=[N+]([O-])c1ccc2c(c1)CN[C@@H](CO)C2,True
12,0,1,FTO_92,-6.518,O=[N+]([O-])c1ccc2c(c1)CN[C@@H](CO)C2,False
12,0,2,FTO_92,-6.406,O=[N+]([O-])c1ccc2c(c1)CN[C@@H](CO)C2,False
12,0,3,FTO_92,-6.345,O=[N+]([O-])c1ccc2c(c1)CN[C@@H](CO)C2,False
12,0,4,FTO_92,-6.182,O=[N+]([O-])c1ccc2c(c1)CN[C@@H](CO)C2,False
13,0,0,FTO_756,-6.769,OC(=NCc1ccco1)n1cccc1,True
13,0,1,FTO_756,-6.608,OC(=NCc1ccco1)n1cccc1,False
13,0,2,FTO_756,-6.518,OC(=NCc1ccco1)n1cccc1,False
13,0,3,FTO_756,-6.239,OC(=NCc1ccco1)n1cccc1,False
13,0,4,FTO_756,-5.894,OC(=NCc1ccco1)n1cccc1,False
14,0,0,FTO_777,-6.234,CC(O)=Nc1cccc(CN)c1,True
14,0,1,FTO_777,-6.177,CC(O)=Nc1cccc(CN)c1,False
14,0,2,FTO_777,-6.045,CC(O)=Nc1cccc(CN)c1,False
14,0,3,FTO_777,-6.007,CC(O)=Nc1cccc(CN)c1,False
14,0,4,FTO_777,-5.634,CC(O)=Nc1cccc(CN)c1,False
15,0,0,FTO_30,-6.433,O=C(CCc1ccoc1)n1cccc1,True
