ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,HCRTR1_868,-7.698,CN(O)C(=O)C[C@@H](CCCc1ccc(C(F)(F)F)cc1)CP(=O)(O)O,True
0,0,1,HCRTR1_868,-7.656,CN(O)C(=O)C[C@@H](CCCc1ccc(C(F)(F)F)cc1)CP(=O)(O)O,False
0,0,2,HCRTR1_868,-7.631,CN(O)C(=O)C[C@@H](CCCc1ccc(C(F)(F)F)cc1)CP(=O)(O)O,False
0,0,3,HCRTR1_868,-7.5,CN(O)C(=O)C[C@@H](CCCc1ccc(C(F)(F)F)cc1)CP(=O)(O)O,False
0,0,4,HCRTR1_868,-7.446,CN(O)C(=O)C[C@@H](CCCc1ccc(C(F)(F)F)cc1)CP(=O)(O)O,False
1,0,0,HCRTR1_148,-7.173,CC1=C(CCOP(=O)(O)OP(=O)(O)O)SCN1Cc1c(C)nc(C)[nH]c1=N,True
1,0,1,HCRTR1_148,-7.093,CC1=C(CCOP(=O)(O)OP(=O)(O)O)SCN1Cc1c(C)nc(C)[nH]c1=N,False
1,0,2,HCRTR1_148,-7.066,CC1=C(CCOP(=O)(O)OP(=O)(O)O)SCN1Cc1c(C)nc(C)[nH]c1=N,False
1,0,3,HCRTR1_148,-6.889,CC1=C(CCOP(=O)(O)OP(=O)(O)O)SCN1Cc1c(C)nc(C)[nH]c1=N,False
1,0,4,HCRTR1_148,-6.876,CC1=C(CCOP(=O)(O)OP(=O)(O)O)SCN1Cc1c(C)nc(C)[nH]c1=N,False
2,0,0,HCRTR1_41,-7.855,CC1=C(CCOP(=O)(O)OP(=O)(O)O)SCN1Cc1cnc(C)[nH]c1=N,True
2,0,1,HCRTR1_41,-7.582,CC1=C(CCOP(=O)(O)OP(=O)(O)O)SCN1Cc1cnc(C)[nH]c1=N,False
2,0,2,HCRTR1_41,-7.456,CC1=C(CCOP(=O)(O)OP(=O)(O)O)SCN1Cc1cnc(C)[nH]c1=N,False
2,0,3,HCRTR1_41,-7.366,CC1=C(CCOP(=O)(O)OP(=O)(O)O)SCN1Cc1cnc(C)[nH]c1=N,False
2,0,4,HCRTR1_41,-7.315,CC1=C(CCOP(=O)(O)OP(=O)(O)O)SCN1Cc1cnc(C)[nH]c1=N,False
3,0,0,HCRTR1_35,-7.833,COc1ccc([C@@H]2C=NC(=O)C2)cc1OC1C=CC(F)=C1,True
3,0,1,HCRTR1_35,-7.824,COc1ccc([C@@H]2C=NC(=O)C2)cc1OC1C=CC(F)=C1,False
3,0,2,HCRTR1_35,-7.811,COc1ccc([C@@H]2C=NC(=O)C2)cc1OC1C=CC(F)=C1,False
3,0,3,HCRTR1_35,-7.757,COc1ccc([C@@H]2C=NC(=O)C2)cc1OC1C=CC(F)=C1,False
3,0,4,HCRTR1_35,-7.706,COc1ccc([C@@H]2C=NC(=O)C2)cc1OC1C=CC(F)=C1,False
4,0,0,HCRTR1_313,-8.914,O=C(O)[C@@H]1CC[C@H](c2ccccc2)N1C(=O)CN=C(O)OC1CCOCC1,True
4,0,1,HCRTR1_313,-8.179,O=C(O)[C@@H]1CC[C@H](c2ccccc2)N1C(=O)CN=C(O)OC1CCOCC1,False
4,0,2,HCRTR1_313,-8.142,O=C(O)[C@@H]1CC[C@H](c2ccccc2)N1C(=O)CN=C(O)OC1CCOCC1,False
4,0,3,HCRTR1_313,-8.129,O=C(O)[C@@H]1CC[C@H](c2ccccc2)N1C(=O)CN=C(O)OC1CCOCC1,False
4,0,4,HCRTR1_313,-8.006,O=C(O)[C@@H]1CC[C@H](c2ccccc2)N1C(=O)CN=C(O)OC1CCOCC1,False
