ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,IDH1_286,-6.478,CC(C)Oc1cccc(C(=N)O)c1,True
0,0,1,IDH1_286,-6.471,CC(C)Oc1cccc(C(=N)O)c1,False
0,0,2,IDH1_286,-6.375,CC(C)Oc1cccc(C(=N)O)c1,False
0,0,3,IDH1_286,-6.357,CC(C)Oc1cccc(C(=N)O)c1,False
0,0,4,IDH1_286,-6.294,CC(C)Oc1cccc(C(=N)O)c1,False
1,0,0,IDH1_43,-6.648,O=C(O)CN=C(O)[C@@H](CS)Cc1ccccc1,True
1,0,1,IDH1_43,-6.556,O=C(O)CN=C(O)[C@@H](CS)Cc1ccccc1,False
1,0,2,IDH1_43,-6.409,O=C(O)CN=C(O)[C@@H](CS)Cc1ccccc1,False
1,0,3,IDH1_43,-6.357,O=C(O)CN=C(O)[C@@H](CS)Cc1ccccc1,False
1,0,4,IDH1_43,-6.272,O=C(O)CN=C(O)[C@@H](CS)Cc1ccccc1,False
2,0,0,IDH1_299,-5.433,CCOC(=O)C1=C(C)N=NC1,True
2,0,1,IDH1_299,-5.432,CCOC(=O)C1=C(C)N=NC1,False
2,0,2,IDH1_299,-5.022,CCOC(=O)C1=C(C)N=NC1,False
2,0,3,IDH1_299,-4.958,CCOC(=O)C1=C(C)N=NC1,False
2,0,4,IDH1_299,-4.826,CCOC(=O)C1=C(C)N=NC1,False
3,0,0,IDH1_57,-6.088,Cc1ccc(N=C(O)C(=O)O)cc1,True
3,0,1,IDH1_57,-6.011,Cc1ccc(N=C(O)C(=O)O)cc1,False
3,0,2,IDH1_57,-5.81,Cc1ccc(N=C(O)C(=O)O)cc1,False
3,0,3,IDH1_57,-5.734,Cc1ccc(N=C(O)C(=O)O)cc1,False
3,0,4,IDH1_57,-5.712,Cc1ccc(N=C(O)C(=O)O)cc1,False
4,0,0,IDH1_4,-6.668,CC(C)Oc1ccccc1C(=O)O,True
4,0,1,IDH1_4,-6.544,CC(C)Oc1ccccc1C(=O)O,False
4,0,2,IDH1_4,-6.256,CC(C)Oc1ccccc1C(=O)O,False
4,0,3,IDH1_4,-5.963,CC(C)Oc1ccccc1C(=O)O,False
4,0,4,IDH1_4,-5.828,CC(C)Oc1ccccc1C(=O)O,False
5,0,0,IDH1_680,-8.445,CCCCCCc1ccc(Oc2ccccc2C)c(O)c1,True
5,0,1,IDH1_680,-8.317,CCCCCCc1ccc(Oc2ccccc2C)c(O)c1,False
5,0,2,IDH1_680,-7.991,CCCCCCc1ccc(Oc2ccccc2C)c(O)c1,False
5,0,3,IDH1_680,-7.915,CCCCCCc1ccc(Oc2ccccc2C)c(O)c1,False
5,0,4,IDH1_680,-7.737,CCCCCCc1ccc(Oc2ccccc2C)c(O)c1,False
6,0,0,IDH1_133,-4.233,CSCC[C@@H](N)C(=O)O,True
6,0,1,IDH1_133,-4.216,CSCC[C@@H](N)C(=O)O,False
6,0,2,IDH1_133,-4.182,CSCC[C@@H](N)C(=O)O,False
6,0,3,IDH1_133,-4.157,CSCC[C@@H](N)C(=O)O,False
6,0,4,IDH1_133,-4.061,CSCC[C@@H](N)C(=O)O,False
7,0,0,IDH1_730,-4.101,O=C(O)CN(O)CO,True
7,0,1,IDH1_730,-4.066,O=C(O)CN(O)CO,False
7,0,2,IDH1_730,-4.061,O=C(O)CN(O)CO,False
7,0,3,IDH1_730,-3.897,O=C(O)CN(O)CO,False
7,0,4,IDH1_730,-3.857,O=C(O)CN(O)CO,False
8,0,0,IDH1_248,-6.601,O=C(O)CC(=O)Cc1ccccc1,True
8,0,1,IDH1_248,-6.596,O=C(O)CC(=O)Cc1ccccc1,False
8,0,2,IDH1_248,-6.513,O=C(O)CC(=O)Cc1ccccc1,False
8,0,3,IDH1_248,-6.433,O=C(O)CC(=O)Cc1ccccc1,False
8,0,4,IDH1_248,-6.358,O=C(O)CC(=O)Cc1ccccc1,False
9,0,0,IDH1_771,-5.731,N=C(N)Nc1ccccc1,True
9,0,1,IDH1_771,-5.73,N=C(N)Nc1ccccc1,False
9,0,2,IDH1_771,-5.487,N=C(N)Nc1ccccc1,False
9,0,3,IDH1_771,-5.358,N=C(N)Nc1ccccc1,False
9,0,4,IDH1_771,-5.326,N=C(N)Nc1ccccc1,False
10,0,0,IDH1_538,-4.424,O=C(O)CN=C(O)CS,True
10,0,1,IDH1_538,-4.268,O=C(O)CN=C(O)CS,False
10,0,2,IDH1_538,-4.161,O=C(O)CN=C(O)CS,False
10,0,3,IDH1_538,-4.111,O=C(O)CN=C(O)CS,False
10,0,4,IDH1_538,-4.091,O=C(O)CN=C(O)CS,False
11,0,0,IDH1_212,-6.608,CCCCCCCC(=O)Oc1cccc(O)c1,True
11,0,1,IDH1_212,-6.518,CCCCCCCC(=O)Oc1cccc(O)c1,False
11,0,2,IDH1_212,-6.508,CCCCCCCC(=O)Oc1cccc(O)c1,False
11,0,3,IDH1_212,-6.318,CCCCCCCC(=O)Oc1cccc(O)c1,False
11,0,4,IDH1_212,-6.305,CCCCCCCC(=O)Oc1cccc(O)c1,False
12,0,0,IDH1_825,-6.181,O=C(O)CC(O)=NN=C(O)c1cccnc1,True
12,0,1,IDH1_825,-6.008,O=C(O)CC(O)=NN=C(O)c1cccnc1,False
12,0,2,IDH1_825,-5.934,O=C(O)CC(O)=NN=C(O)c1cccnc1,False
12,0,3,IDH1_825,-5.842,O=C(O)CC(O)=NN=C(O)c1cccnc1,False
12,0,4,IDH1_825,-5.822,O=C(O)CC(O)=NN=C(O)c1cccnc1,False
13,0,0,IDH1_325,-6.155,CN(C)c1cccc(C(=O)O)c1,True
13,0,1,IDH1_325,-6.02,CN(C)c1cccc(C(=O)O)c1,False
13,0,2,IDH1_325,-6.0,CN(C)c1cccc(C(=O)O)c1,False
13,0,3,IDH1_325,-5.963,CN(C)c1cccc(C(=O)O)c1,False
13,0,4,IDH1_325,-5.911,CN(C)c1cccc(C(=O)O)c1,False
14,0,0,IDH1_599,-8.366,N[C@@H](Cc1ccc2ccccc2c1)C(=O)O,True
14,0,1,IDH1_599,-7.998,N[C@@H](Cc1ccc2ccccc2c1)C(=O)O,False
14,0,2,IDH1_599,-7.872,N[C@@H](Cc1ccc2ccccc2c1)C(=O)O,False
14,0,3,IDH1_599,-7.747,N[C@@H](Cc1ccc2ccccc2c1)C(=O)O,False
14,0,4,IDH1_599,-7.717,N[C@@H](Cc1ccc2ccccc2c1)C(=O)O,False
15,0,0,IDH1_819,-6.89,CC1=C(CCO)SCN1Cc1cnc(C)[nH]c1=N,True
15,0,1,IDH1_819,-6.791,CC1=C(CCO)SCN1Cc1cnc(C)[nH]c1=N,False
15,0,2,IDH1_819,-6.653,CC1=C(CCO)SCN1Cc1cnc(C)[nH]c1=N,False
15,0,3,IDH1_819,-6.529,CC1=C(CCO)SCN1Cc1cnc(C)[nH]c1=N,False
15,0,4,IDH1_819,-6.435,CC1=C(CCO)SCN1Cc1cnc(C)[nH]c1=N,False
16,0,0,IDH1_537,-6.099,CC(=O)c1ccc(C)cc1,True
16,0,1,IDH1_537,-5.843,CC(=O)c1ccc(C)cc1,False
16,0,2,IDH1_537,-5.813,CC(=O)c1ccc(C)cc1,False
16,0,3,IDH1_537,-5.786,CC(=O)c1ccc(C)cc1,False
16,0,4,IDH1_537,-5.775,CC(=O)c1ccc(C)cc1,False
17,0,0,IDH1_276,-4.908,CCOC(=O)c1cccs1,True
17,0,1,IDH1_276,-4.736,CCOC(=O)c1cccs1,False
17,0,2,IDH1_276,-4.662,CCOC(=O)c1cccs1,False
17,0,3,IDH1_276,-4.518,CCOC(=O)c1cccs1,False
17,0,4,IDH1_276,-4.478,CCOC(=O)c1cccs1,False
18,0,0,IDH1_78,-6.568,COc1cc(CCC(=O)O)ccc1N,True
18,0,1,IDH1_78,-6.481,COc1cc(CCC(=O)O)ccc1N,False
18,0,2,IDH1_78,-6.413,COc1cc(CCC(=O)O)ccc1N,False
18,0,3,IDH1_78,-6.314,COc1cc(CCC(=O)O)ccc1N,False
18,0,4,IDH1_78,-6.11,COc1cc(CCC(=O)O)ccc1N,False
19,0,0,IDH1_655,-6.607,COc1ccc(CCC(=O)O)cc1O,True
19,0,1,IDH1_655,-6.367,COc1ccc(CCC(=O)O)cc1O,False
19,0,2,IDH1_655,-6.364,COc1ccc(CCC(=O)O)cc1O,False
19,0,3,IDH1_655,-6.172,COc1ccc(CCC(=O)O)cc1O,False
19,0,4,IDH1_655,-6.097,COc1ccc(CCC(=O)O)cc1O,False
20,0,0,IDH1_2,-6.972,CCCCCCCOc1ccc(CC(=O)O)cc1,True
20,0,1,IDH1_2,-6.933,CCCCCCCOc1ccc(CC(=O)O)cc1,False
20,0,2,IDH1_2,-6.816,CCCCCCCOc1ccc(CC(=O)O)cc1,False
20,0,3,IDH1_2,-6.697,CCCCCCCOc1ccc(CC(=O)O)cc1,False
20,0,4,IDH1_2,-6.427,CCCCCCCOc1ccc(CC(=O)O)cc1,False
21,0,0,IDH1_247,-5.963,CC(C)Cc1ccc(O)cc1,True
21,0,1,IDH1_247,-5.954,CC(C)Cc1ccc(O)cc1,False
21,0,2,IDH1_247,-5.945,CC(C)Cc1ccc(O)cc1,False
21,0,3,IDH1_247,-5.918,CC(C)Cc1ccc(O)cc1,False
21,0,4,IDH1_247,-5.887,CC(C)Cc1ccc(O)cc1,False
22,0,0,IDH1_734,-4.651,O=C(O)CC(=O)C(=O)O,True
22,0,1,IDH1_734,-4.634,O=C(O)CC(=O)C(=O)O,False
22,0,2,IDH1_734,-4.474,O=C(O)CC(=O)C(=O)O,False
22,0,3,IDH1_734,-4.395,O=C(O)CC(=O)C(=O)O,False
22,0,4,IDH1_734,-4.36,O=C(O)CC(=O)C(=O)O,False
23,0,0,IDH1_474,-6.039,N=C(O)CCC(=O)c1cccs1,True
23,0,1,IDH1_474,-5.977,N=C(O)CCC(=O)c1cccs1,False
23,0,2,IDH1_474,-5.772,N=C(O)CCC(=O)c1cccs1,False
23,0,3,IDH1_474,-5.594,N=C(O)CCC(=O)c1cccs1,False
23,0,4,IDH1_474,-5.53,N=C(O)CCC(=O)c1cccs1,False
24,0,0,IDH1_135,-5.885,N=C(N)c1ccc(N=O)cc1,True
24,0,1,IDH1_135,-5.878,N=C(N)c1ccc(N=O)cc1,False
24,0,2,IDH1_135,-5.842,N=C(N)c1ccc(N=O)cc1,False
24,0,3,IDH1_135,-5.629,N=C(N)c1ccc(N=O)cc1,False
24,0,4,IDH1_135,-5.533,N=C(N)c1ccc(N=O)cc1,False
