ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,JAK1_557,-7.08,CC1=C(CCO)SCN1Cc1cnc(C)[nH]c1=N,True
0,0,1,JAK1_557,-6.945,CC1=C(CCO)SCN1Cc1cnc(C)[nH]c1=N,False
0,0,2,JAK1_557,-6.932,CC1=C(CCO)SCN1Cc1cnc(C)[nH]c1=N,False
0,0,3,JAK1_557,-6.65,CC1=C(CCO)SCN1Cc1cnc(C)[nH]c1=N,False
0,0,4,JAK1_557,-6.539,CC1=C(CCO)SCN1Cc1cnc(C)[nH]c1=N,False
1,0,0,JAK1_89,-5.598,O=C(O)C(=O)CCOC(=O)c1cccs1,True
1,0,1,JAK1_89,-5.598,O=C(O)C(=O)CCOC(=O)c1cccs1,False
1,0,2,JAK1_89,-5.583,O=C(O)C(=O)CCOC(=O)c1cccs1,False
1,0,3,JAK1_89,-5.5,O=C(O)C(=O)CCOC(=O)c1cccs1,False
1,0,4,JAK1_89,-5.48,O=C(O)C(=O)CCOC(=O)c1cccs1,False
2,0,0,JAK1_374,-6.192,Cc1ncc(COP(=O)(O)O)c(CNO)c1O,True
2,0,1,JAK1_374,-6.077,Cc1ncc(COP(=O)(O)O)c(CNO)c1O,False
2,0,2,JAK1_374,-6.068,Cc1ncc(COP(=O)(O)O)c(CNO)c1O,False
2,0,3,JAK1_374,-6.057,Cc1ncc(COP(=O)(O)O)c(CNO)c1O,False
2,0,4,JAK1_374,-6.001,Cc1ncc(COP(=O)(O)O)c(CNO)c1O,False
3,0,0,JAK1_688,-6.231,O=C(O)c1ccccc1C(=O)O,True
3,0,1,JAK1_688,-6.225,O=C(O)c1ccccc1C(=O)O,False
3,0,2,JAK1_688,-6.093,O=C(O)c1ccccc1C(=O)O,False
3,0,3,JAK1_688,-6.066,O=C(O)c1ccccc1C(=O)O,False
3,0,4,JAK1_688,-5.975,O=C(O)c1ccccc1C(=O)O,False
4,0,0,JAK1_4,-4.643,O=C(O)CNC(=O)C(=O)O,True
4,0,1,JAK1_4,-4.581,O=C(O)CNC(=O)C(=O)O,False
4,0,2,JAK1_4,-4.53,O=C(O)CNC(=O)C(=O)O,False
4,0,3,JAK1_4,-4.441,O=C(O)CNC(=O)C(=O)O,False
4,0,4,JAK1_4,-4.42,O=C(O)CNC(=O)C(=O)O,False
5,0,0,JAK1_710,-6.89,N=C1N=C(O)C2=C(C[C@@H](O)[C@@H](O)C2)N1,True
5,0,1,JAK1_710,-6.527,N=C1N=C(O)C2=C(C[C@@H](O)[C@@H](O)C2)N1,False
5,0,2,JAK1_710,-6.477,N=C1N=C(O)C2=C(C[C@@H](O)[C@@H](O)C2)N1,False
5,0,3,JAK1_710,-6.307,N=C1N=C(O)C2=C(C[C@@H](O)[C@@H](O)C2)N1,False
5,0,4,JAK1_710,-6.165,N=C1N=C(O)C2=C(C[C@@H](O)[C@@H](O)C2)N1,False
6,0,0,JAK1_664,-6.096,COc1cc(N)c(C(=O)O)cc1OC,True
6,0,1,JAK1_664,-6.086,COc1cc(N)c(C(=O)O)cc1OC,False
6,0,2,JAK1_664,-6.017,COc1cc(N)c(C(=O)O)cc1OC,False
6,0,3,JAK1_664,-5.897,COc1cc(N)c(C(=O)O)cc1OC,False
6,0,4,JAK1_664,-5.79,COc1cc(N)c(C(=O)O)cc1OC,False
7,0,0,JAK1_868,-6.958,N=c1nc(O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1Cl,True
7,0,1,JAK1_868,-6.823,N=c1nc(O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1Cl,False
7,0,2,JAK1_868,-6.66,N=c1nc(O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1Cl,False
7,0,3,JAK1_868,-6.497,N=c1nc(O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1Cl,False
7,0,4,JAK1_868,-6.486,N=c1nc(O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1Cl,False
8,0,0,JAK1_3,-6.602,N=c1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(O)n1,True
8,0,1,JAK1_3,-6.422,N=c1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(O)n1,False
8,0,2,JAK1_3,-6.278,N=c1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(O)n1,False
8,0,3,JAK1_3,-6.242,N=c1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(O)n1,False
8,0,4,JAK1_3,-6.144,N=c1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(O)n1,False
9,0,0,JAK1_391,-6.143,COc1cc(CC(=O)O)cc(OC)c1OC,True
9,0,1,JAK1_391,-6.125,COc1cc(CC(=O)O)cc(OC)c1OC,False
9,0,2,JAK1_391,-6.004,COc1cc(CC(=O)O)cc(OC)c1OC,False
9,0,3,JAK1_391,-5.919,COc1cc(CC(=O)O)cc(OC)c1OC,False
9,0,4,JAK1_391,-5.914,COc1cc(CC(=O)O)cc(OC)c1OC,False
10,0,0,JAK1_341,-6.89,N=C(O)N[C@@H](Cc1ccccc1)C(=O)O,True
10,0,1,JAK1_341,-6.841,N=C(O)N[C@@H](Cc1ccccc1)C(=O)O,False
10,0,2,JAK1_341,-6.826,N=C(O)N[C@@H](Cc1ccccc1)C(=O)O,False
10,0,3,JAK1_341,-6.824,N=C(O)N[C@@H](Cc1ccccc1)C(=O)O,False
