ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,KDM1A_96,-7.613,N=C(O)Nc1sc(-c2ccc(Cl)cc2)cc1C(=N)O,True
0,0,1,KDM1A_96,-7.271,N=C(O)Nc1sc(-c2ccc(Cl)cc2)cc1C(=N)O,False
0,0,2,KDM1A_96,-7.119,N=C(O)Nc1sc(-c2ccc(Cl)cc2)cc1C(=N)O,False
0,0,3,KDM1A_96,-6.87,N=C(O)Nc1sc(-c2ccc(Cl)cc2)cc1C(=N)O,False
0,0,4,KDM1A_96,-6.731,N=C(O)Nc1sc(-c2ccc(Cl)cc2)cc1C(=N)O,False
1,0,0,KDM1A_73,-8.667,COc1cc2c(cc1OC)=C1N=NC(c3ccc(-c4nn[nH]n4)cc3)=C1C=2,True
1,0,1,KDM1A_73,-8.505,COc1cc2c(cc1OC)=C1N=NC(c3ccc(-c4nn[nH]n4)cc3)=C1C=2,False
1,0,2,KDM1A_73,-8.414,COc1cc2c(cc1OC)=C1N=NC(c3ccc(-c4nn[nH]n4)cc3)=C1C=2,False
1,0,3,KDM1A_73,-8.136,COc1cc2c(cc1OC)=C1N=NC(c3ccc(-c4nn[nH]n4)cc3)=C1C=2,False
1,0,4,KDM1A_73,-7.832,COc1cc2c(cc1OC)=C1N=NC(c3ccc(-c4nn[nH]n4)cc3)=C1C=2,False
2,0,0,KDM1A_373,-6.517,COC(=O)c1c(O)cccc1OCCCCN=C(O)[C@H](Cc1ccccc1)N=C(C)O,True
2,0,1,KDM1A_373,-6.41,COC(=O)c1c(O)cccc1OCCCCN=C(O)[C@H](Cc1ccccc1)N=C(C)O,False
2,0,2,KDM1A_373,-6.394,COC(=O)c1c(O)cccc1OCCCCN=C(O)[C@H](Cc1ccccc1)N=C(C)O,False
2,0,3,KDM1A_373,-6.324,COC(=O)c1c(O)cccc1OCCCCN=C(O)[C@H](Cc1ccccc1)N=C(C)O,False
2,0,4,KDM1A_373,-6.289,COC(=O)c1c(O)cccc1OCCCCN=C(O)[C@H](Cc1ccccc1)N=C(C)O,False
3,0,0,KDM1A_26,-8.941,N#Cc1cc(Cl)cc(Oc2cc(OCc3n[nH]c4c3=CCC(=N)N=4)ccc2Cl)c1,True
3,0,1,KDM1A_26,-8.813,N#Cc1cc(Cl)cc(Oc2cc(OCc3n[nH]c4c3=CCC(=N)N=4)ccc2Cl)c1,False
3,0,2,KDM1A_26,-8.751,N#Cc1cc(Cl)cc(Oc2cc(OCc3n[nH]c4c3=CCC(=N)N=4)ccc2Cl)c1,False
3,0,3,KDM1A_26,-8.707,N#Cc1cc(Cl)cc(Oc2cc(OCc3n[nH]c4c3=CCC(=N)N=4)ccc2Cl)c1,False
3,0,4,KDM1A_26,-8.529,N#Cc1cc(Cl)cc(Oc2cc(OCc3n[nH]c4c3=CCC(=N)N=4)ccc2Cl)c1,False
4,0,0,KDM1A_756,-6.542,O=S1(=O)N=C(O)C=C1c1cccc(O)c1,True
4,0,1,KDM1A_756,-6.533,O=S1(=O)N=C(O)C=C1c1cccc(O)c1,False
4,0,2,KDM1A_756,-6.444,O=S1(=O)N=C(O)C=C1c1cccc(O)c1,False
4,0,3,KDM1A_756,-6.367,O=S1(=O)N=C(O)C=C1c1cccc(O)c1,False
4,0,4,KDM1A_756,-6.3,O=S1(=O)N=C(O)C=C1c1cccc(O)c1,False
5,0,0,KDM1A_6,-8.947,C[C@@H](C(=O)N1CCOCC1)N1CC[C@H](NS(=O)(=O)c2cc3cc(Cl)ccc3[nH]2)C1=O,True
5,0,1,KDM1A_6,-8.668,C[C@@H](C(=O)N1CCOCC1)N1CC[C@H](NS(=O)(=O)c2cc3cc(Cl)ccc3[nH]2)C1=O,False
5,0,2,KDM1A_6,-8.664,C[C@@H](C(=O)N1CCOCC1)N1CC[C@H](NS(=O)(=O)c2cc3cc(Cl)ccc3[nH]2)C1=O,False
5,0,3,KDM1A_6,-8.634,C[C@@H](C(=O)N1CCOCC1)N1CC[C@H](NS(=O)(=O)c2cc3cc(Cl)ccc3[nH]2)C1=O,False
5,0,4,KDM1A_6,-8.587,C[C@@H](C(=O)N1CCOCC1)N1CC[C@H](NS(=O)(=O)c2cc3cc(Cl)ccc3[nH]2)C1=O,False
6,0,0,KDM1A_913,-8.239,Cc1cc(OCCCc2c(C(=O)O)sc3ccccc23)cc(C)c1Cl,True
6,0,1,KDM1A_913,-8.224,Cc1cc(OCCCc2c(C(=O)O)sc3ccccc23)cc(C)c1Cl,False
6,0,2,KDM1A_913,-8.179,Cc1cc(OCCCc2c(C(=O)O)sc3ccccc23)cc(C)c1Cl,False
6,0,3,KDM1A_913,-8.001,Cc1cc(OCCCc2c(C(=O)O)sc3ccccc23)cc(C)c1Cl,False
6,0,4,KDM1A_913,-7.704,Cc1cc(OCCCc2c(C(=O)O)sc3ccccc23)cc(C)c1Cl,False
7,0,0,KDM1A_253,-7.282,COc1ccc(S(=O)(=O)N(CC(O)=NO)Cc2ccncc2)cc1,True
7,0,1,KDM1A_253,-7.222,COc1ccc(S(=O)(=O)N(CC(O)=NO)Cc2ccncc2)cc1,False
7,0,2,KDM1A_253,-7.108,COc1ccc(S(=O)(=O)N(CC(O)=NO)Cc2ccncc2)cc1,False
7,0,3,KDM1A_253,-6.937,COc1ccc(S(=O)(=O)N(CC(O)=NO)Cc2ccncc2)cc1,False
7,0,4,KDM1A_253,-6.795,COc1ccc(S(=O)(=O)N(CC(O)=NO)Cc2ccncc2)cc1,False
8,0,0,KDM1A_209,-6.997,C[C@H](C(=O)O)c1ccc(-c2ccccc2)c(F)c1,True
8,0,1,KDM1A_209,-6.964,C[C@H](C(=O)O)c1ccc(-c2ccccc2)c(F)c1,False
8,0,2,KDM1A_209,-6.83,C[C@H](C(=O)O)c1ccc(-c2ccccc2)c(F)c1,False
8,0,3,KDM1A_209,-6.758,C[C@H](C(=O)O)c1ccc(-c2ccccc2)c(F)c1,False
8,0,4,KDM1A_209,-6.683,C[C@H](C(=O)O)c1ccc(-c2ccccc2)c(F)c1,False
9,0,0,KDM1A_702,-7.551,C[C@H](N=C(O)CCc1nc(O)c2ccccc2n1)c1ccc(-n2ccnc2)cc1,True
9,0,1,KDM1A_702,-7.334,C[C@H](N=C(O)CCc1nc(O)c2ccccc2n1)c1ccc(-n2ccnc2)cc1,False
9,0,2,KDM1A_702,-7.323,C[C@H](N=C(O)CCc1nc(O)c2ccccc2n1)c1ccc(-n2ccnc2)cc1,False
9,0,3,KDM1A_702,-7.281,C[C@H](N=C(O)CCc1nc(O)c2ccccc2n1)c1ccc(-n2ccnc2)cc1,False
9,0,4,KDM1A_702,-7.275,C[C@H](N=C(O)CCc1nc(O)c2ccccc2n1)c1ccc(-n2ccnc2)cc1,False
10,0,0,KDM1A_451,-7.712,CN(C)c1cccc2c(S(=O)(=O)N[C@@H](CCCNC(=N)N)C(=O)O)cccc12,True
