ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,NR4A1_634,-7.351,C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)c1ccccc1,True
0,0,1,NR4A1_634,-7.241,C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)c1ccccc1,False
0,0,2,NR4A1_634,-7.206,C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)c1ccccc1,False
0,0,3,NR4A1_634,-7.195,C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)c1ccccc1,False
0,0,4,NR4A1_634,-7.012,C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)c1ccccc1,False
1,0,0,NR4A1_57,-6.052,C[C@@H](C(=O)O)c1ccc(-c2ccccc2)c(F)c1,True
1,0,1,NR4A1_57,-6.01,C[C@@H](C(=O)O)c1ccc(-c2ccccc2)c(F)c1,False
1,0,2,NR4A1_57,-5.927,C[C@@H](C(=O)O)c1ccc(-c2ccccc2)c(F)c1,False
1,0,3,NR4A1_57,-5.845,C[C@@H](C(=O)O)c1ccc(-c2ccccc2)c(F)c1,False
1,0,4,NR4A1_57,-5.644,C[C@@H](C(=O)O)c1ccc(-c2ccccc2)c(F)c1,False
2,0,0,NR4A1_239,-7.522,O=S(=O)(c1ccccc1)c1ccc(CN=C(O)C2=CC3C=NC(=O)C=C3N2)cc1,True
2,0,1,NR4A1_239,-7.397,O=S(=O)(c1ccccc1)c1ccc(CN=C(O)C2=CC3C=NC(=O)C=C3N2)cc1,False
2,0,2,NR4A1_239,-7.389,O=S(=O)(c1ccccc1)c1ccc(CN=C(O)C2=CC3C=NC(=O)C=C3N2)cc1,False
2,0,3,NR4A1_239,-7.323,O=S(=O)(c1ccccc1)c1ccc(CN=C(O)C2=CC3C=NC(=O)C=C3N2)cc1,False
2,0,4,NR4A1_239,-7.247,O=S(=O)(c1ccccc1)c1ccc(CN=C(O)C2=CC3C=NC(=O)C=C3N2)cc1,False
3,0,0,NR4A1_97,-6.358,COC(=O)[C@@H](C#N)[C@H]1SCC(=O)N1c1ccc(-c2ccccc2)cc1F,True
3,0,1,NR4A1_97,-6.135,COC(=O)[C@@H](C#N)[C@H]1SCC(=O)N1c1ccc(-c2ccccc2)cc1F,False
3,0,2,NR4A1_97,-5.902,COC(=O)[C@@H](C#N)[C@H]1SCC(=O)N1c1ccc(-c2ccccc2)cc1F,False
3,0,3,NR4A1_97,-5.893,COC(=O)[C@@H](C#N)[C@H]1SCC(=O)N1c1ccc(-c2ccccc2)cc1F,False
3,0,4,NR4A1_97,-5.891,COC(=O)[C@@H](C#N)[C@H]1SCC(=O)N1c1ccc(-c2ccccc2)cc1F,False
4,0,0,NR4A1_4,-6.986,C[C@@H](C(=O)N1CCOCC1)N1CC[C@H](NS(=O)(=O)c2ccc3cc(Cl)ccc3c2)C1=O,True
4,0,1,NR4A1_4,-6.85,C[C@@H](C(=O)N1CCOCC1)N1CC[C@H](NS(=O)(=O)c2ccc3cc(Cl)ccc3c2)C1=O,False
4,0,2,NR4A1_4,-6.833,C[C@@H](C(=O)N1CCOCC1)N1CC[C@H](NS(=O)(=O)c2ccc3cc(Cl)ccc3c2)C1=O,False
4,0,3,NR4A1_4,-6.703,C[C@@H](C(=O)N1CCOCC1)N1CC[C@H](NS(=O)(=O)c2ccc3cc(Cl)ccc3c2)C1=O,False
4,0,4,NR4A1_4,-6.589,C[C@@H](C(=O)N1CCOCC1)N1CC[C@H](NS(=O)(=O)c2ccc3cc(Cl)ccc3c2)C1=O,False
5,0,0,NR4A1_330,-6.236,O=C1[C@@H](O)[C@H](O)C[C@](O)(C(=O)O)[C@@H]1Cc1c(F)c(F)c(F)c(F)c1F,True
5,0,1,NR4A1_330,-6.223,O=C1[C@@H](O)[C@H](O)C[C@](O)(C(=O)O)[C@@H]1Cc1c(F)c(F)c(F)c(F)c1F,False
5,0,2,NR4A1_330,-6.201,O=C1[C@@H](O)[C@H](O)C[C@](O)(C(=O)O)[C@@H]1Cc1c(F)c(F)c(F)c(F)c1F,False
5,0,3,NR4A1_330,-6.186,O=C1[C@@H](O)[C@H](O)C[C@](O)(C(=O)O)[C@@H]1Cc1c(F)c(F)c(F)c(F)c1F,False
5,0,4,NR4A1_330,-6.176,O=C1[C@@H](O)[C@H](O)C[C@](O)(C(=O)O)[C@@H]1Cc1c(F)c(F)c(F)c(F)c1F,False
6,0,0,NR4A1_3,-6.655,O=C(O)[C@@H]1CC[C@H](c2ccccc2)N1C(=O)CN=C(O)[C@@H](S)Cc1ccccc1,True
