ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,P2RX3_779,-6.39,CC(O)=Nc1nc(C)c(-c2ccc(Cl)cc2)s1,True
0,0,1,P2RX3_779,-6.338,CC(O)=Nc1nc(C)c(-c2ccc(Cl)cc2)s1,False
0,0,2,P2RX3_779,-6.107,CC(O)=Nc1nc(C)c(-c2ccc(Cl)cc2)s1,False
0,0,3,P2RX3_779,-6.036,CC(O)=Nc1nc(C)c(-c2ccc(Cl)cc2)s1,False
0,0,4,P2RX3_779,-5.865,CC(O)=Nc1nc(C)c(-c2ccc(Cl)cc2)s1,False
1,0,0,P2RX3_237,-6.515,COC(=O)c1c(O)cccc1OCCCCN=C(O)[C@H](Cc1ccc(OC)c(O)c1)N=C(C)O,True
1,0,1,P2RX3_237,-6.503,COC(=O)c1c(O)cccc1OCCCCN=C(O)[C@H](Cc1ccc(OC)c(O)c1)N=C(C)O,False
1,0,2,P2RX3_237,-6.386,COC(=O)c1c(O)cccc1OCCCCN=C(O)[C@H](Cc1ccc(OC)c(O)c1)N=C(C)O,False
1,0,3,P2RX3_237,-6.319,COC(=O)c1c(O)cccc1OCCCCN=C(O)[C@H](Cc1ccc(OC)c(O)c1)N=C(C)O,False
1,0,4,P2RX3_237,-6.306,COC(=O)c1c(O)cccc1OCCCCN=C(O)[C@H](Cc1ccc(OC)c(O)c1)N=C(C)O,False
2,0,0,P2RX3_6,-7.486,N=C(N)NCCCN=C(O)[C@H](Cc1ccccc1)N=C(O)c1ccc2nc(O)cc(O)c2c1,True
2,0,1,P2RX3_6,-7.345,N=C(N)NCCCN=C(O)[C@H](Cc1ccccc1)N=C(O)c1ccc2nc(O)cc(O)c2c1,False
2,0,2,P2RX3_6,-7.26,N=C(N)NCCCN=C(O)[C@H](Cc1ccccc1)N=C(O)c1ccc2nc(O)cc(O)c2c1,False
2,0,3,P2RX3_6,-7.006,N=C(N)NCCCN=C(O)[C@H](Cc1ccccc1)N=C(O)c1ccc2nc(O)cc(O)c2c1,False
2,0,4,P2RX3_6,-7.003,N=C(N)NCCCN=C(O)[C@H](Cc1ccccc1)N=C(O)c1ccc2nc(O)cc(O)c2c1,False
3,0,0,P2RX3_476,-7.033,COC(=O)c1cnc(Nc2cnc(C#N)cn2)cc1NC[C@H](O)CO,True
3,0,1,P2RX3_476,-6.997,COC(=O)c1cnc(Nc2cnc(C#N)cn2)cc1NC[C@H](O)CO,False
3,0,2,P2RX3_476,-6.755,COC(=O)c1cnc(Nc2cnc(C#N)cn2)cc1NC[C@H](O)CO,False
3,0,3,P2RX3_476,-6.628,COC(=O)c1cnc(Nc2cnc(C#N)cn2)cc1NC[C@H](O)CO,False
3,0,4,P2RX3_476,-6.46,COC(=O)c1cnc(Nc2cnc(C#N)cn2)cc1NC[C@H](O)CO,False
4,0,0,P2RX3_30,-8.774,COc1cc2c(cc1O)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](OS(N)(O)O)CC[C@@H]12,True
4,0,1,P2RX3_30,-8.662,COc1cc2c(cc1O)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](OS(N)(O)O)CC[C@@H]12,False
4,0,2,P2RX3_30,-8.609,COc1cc2c(cc1O)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](OS(N)(O)O)CC[C@@H]12,False
4,0,3,P2RX3_30,-8.53,COc1cc2c(cc1O)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](OS(N)(O)O)CC[C@@H]12,False
4,0,4,P2RX3_30,-8.438,COc1cc2c(cc1O)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](OS(N)(O)O)CC[C@@H]12,False
5,0,0,P2RX3_757,-6.297,Cc1c(O)nc(=O)n(COCCO)c1Sc1ccccc1,True
5,0,1,P2RX3_757,-6.161,Cc1c(O)nc(=O)n(COCCO)c1Sc1ccccc1,False
5,0,2,P2RX3_757,-5.975,Cc1c(O)nc(=O)n(COCCO)c1Sc1ccccc1,False
5,0,3,P2RX3_757,-5.958,Cc1c(O)nc(=O)n(COCCO)c1Sc1ccccc1,False
5,0,4,P2RX3_757,-5.877,Cc1c(O)nc(=O)n(COCCO)c1Sc1ccccc1,False
6,0,0,P2RX3_773,-8.075,C[C@H](N=C(O)CCc1nc(O)c2ccccc2n1)c1ccc(S(=O)(=O)C2CC2)cc1,True
6,0,1,P2RX3_773,-7.959,C[C@H](N=C(O)CCc1nc(O)c2ccccc2n1)c1ccc(S(=O)(=O)C2CC2)cc1,False
6,0,2,P2RX3_773,-7.933,C[C@H](N=C(O)CCc1nc(O)c2ccccc2n1)c1ccc(S(=O)(=O)C2CC2)cc1,False
6,0,3,P2RX3_773,-7.91,C[C@H](N=C(O)CCc1nc(O)c2ccccc2n1)c1ccc(S(=O)(=O)C2CC2)cc1,False
6,0,4,P2RX3_773,-7.781,C[C@H](N=C(O)CCc1nc(O)c2ccccc2n1)c1ccc(S(=O)(=O)C2CC2)cc1,False
7,0,0,P2RX3_257,-6.519,C[C@H](N=C1N=C(O)[C@@](C)(C(C)(C)O)S1)c1ccccc1F,True
7,0,1,P2RX3_257,-6.454,C[C@H](N=C1N=C(O)[C@@](C)(C(C)(C)O)S1)c1ccccc1F,False
7,0,2,P2RX3_257,-6.389,C[C@H](N=C1N=C(O)[C@@](C)(C(C)(C)O)S1)c1ccccc1F,False
