ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,RIOK1_77,-7.257,COc1ccc(OC)c(/C=C\C(O)=Nc2ccccc2)c1,True
0,0,1,RIOK1_77,-6.879,COc1ccc(OC)c(/C=C\C(O)=Nc2ccccc2)c1,False
0,0,2,RIOK1_77,-6.852,COc1ccc(OC)c(/C=C\C(O)=Nc2ccccc2)c1,False
0,0,3,RIOK1_77,-6.727,COc1ccc(OC)c(/C=C\C(O)=Nc2ccccc2)c1,False
0,0,4,RIOK1_77,-6.549,COc1ccc(OC)c(/C=C\C(O)=Nc2ccccc2)c1,False
1,0,0,RIOK1_139,-6.814,COc1ccc(S(=O)(=O)N(Cc2cccnc2)[C@@H](C(O)=NO)C(C)(C)C)cc1,True
1,0,1,RIOK1_139,-6.307,COc1ccc(S(=O)(=O)N(Cc2cccnc2)[C@@H](C(O)=NO)C(C)(C)C)cc1,False
1,0,2,RIOK1_139,-6.273,COc1ccc(S(=O)(=O)N(Cc2cccnc2)[C@@H](C(O)=NO)C(C)(C)C)cc1,False
1,0,3,RIOK1_139,-6.266,COc1ccc(S(=O)(=O)N(Cc2cccnc2)[C@@H](C(O)=NO)C(C)(C)C)cc1,False
2,0,0,RIOK1_788,-9.01,N=C(N)c1ccc([C@H]2[C@H]3C(=O)N(Cc4ccc5c(c4)OCO5)C[C@H]3[C@@H]3CCCN32)cc1,True
2,0,1,RIOK1_788,-8.899,N=C(N)c1ccc([C@H]2[C@H]3C(=O)N(Cc4ccc5c(c4)OCO5)C[C@H]3[C@@H]3CCCN32)cc1,False
2,0,2,RIOK1_788,-8.848,N=C(N)c1ccc([C@H]2[C@H]3C(=O)N(Cc4ccc5c(c4)OCO5)C[C@H]3[C@@H]3CCCN32)cc1,False
2,0,3,RIOK1_788,-8.73,N=C(N)c1ccc([C@H]2[C@H]3C(=O)N(Cc4ccc5c(c4)OCO5)C[C@H]3[C@@H]3CCCN32)cc1,False
2,0,4,RIOK1_788,-8.514,N=C(N)c1ccc([C@H]2[C@H]3C(=O)N(Cc4ccc5c(c4)OCO5)C[C@H]3[C@@H]3CCCN32)cc1,False
3,0,0,RIOK1_6,-6.996,N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1,True
3,0,1,RIOK1_6,-6.777,N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1,False
3,0,2,RIOK1_6,-6.653,N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1,False
3,0,3,RIOK1_6,-6.608,N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1,False
3,0,4,RIOK1_6,-6.606,N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1,False
4,0,0,RIOK1_956,-6.167,COCCN1CCC(C(=O)N=O)(S(=O)(=O)c2ccc(OC)cc2)CC1,True
4,0,1,RIOK1_956,-6.091,COCCN1CCC(C(=O)N=O)(S(=O)(=O)c2ccc(OC)cc2)CC1,False
4,0,2,RIOK1_956,-5.997,COCCN1CCC(C(=O)N=O)(S(=O)(=O)c2ccc(OC)cc2)CC1,False
4,0,3,RIOK1_956,-5.952,COCCN1CCC(C(=O)N=O)(S(=O)(=O)c2ccc(OC)cc2)CC1,False
4,0,4,RIOK1_956,-5.859,COCCN1CCC(C(=O)N=O)(S(=O)(=O)c2ccc(OC)cc2)CC1,False
5,0,0,RIOK1_420,-7.708,N=C(O)Nc1sc(-c2ccc(Cl)cc2)cc1C(O)=N[C@H]1CCCNC1,True
5,0,1,RIOK1_420,-7.613,N=C(O)Nc1sc(-c2ccc(Cl)cc2)cc1C(O)=N[C@H]1CCCNC1,False
5,0,2,RIOK1_420,-7.365,N=C(O)Nc1sc(-c2ccc(Cl)cc2)cc1C(O)=N[C@H]1CCCNC1,False
5,0,3,RIOK1_420,-7.311,N=C(O)Nc1sc(-c2ccc(Cl)cc2)cc1C(O)=N[C@H]1CCCNC1,False
5,0,4,RIOK1_420,-7.196,N=C(O)Nc1sc(-c2ccc(Cl)cc2)cc1C(O)=N[C@H]1CCCNC1,False
6,0,0,RIOK1_358,-8.801,CCc1[nH]c(=N)[nH]c(=N)c1C#CCc1cc(OC)cc(-c2ccnc(N3CCOCC3)c2)c1,True
6,0,1,RIOK1_358,-8.663,CCc1[nH]c(=N)[nH]c(=N)c1C#CCc1cc(OC)cc(-c2ccnc(N3CCOCC3)c2)c1,False
6,0,2,RIOK1_358,-8.626,CCc1[nH]c(=N)[nH]c(=N)c1C#CCc1cc(OC)cc(-c2ccnc(N3CCOCC3)c2)c1,False
6,0,3,RIOK1_358,-8.524,CCc1[nH]c(=N)[nH]c(=N)c1C#CCc1cc(OC)cc(-c2ccnc(N3CCOCC3)c2)c1,False
6,0,4,RIOK1_358,-8.464,CCc1[nH]c(=N)[nH]c(=N)c1C#CCc1cc(OC)cc(-c2ccnc(N3CCOCC3)c2)c1,False
7,0,0,RIOK1_697,-7.902,CCc1[nH]c(=N)[nH]c(=N)c1C#C[C@H](C)c1cc(OC)c(OC)c(OC)c1,True
7,0,1,RIOK1_697,-7.846,CCc1[nH]c(=N)[nH]c(=N)c1C#C[C@H](C)c1cc(OC)c(OC)c(OC)c1,False
7,0,2,RIOK1_697,-7.842,CCc1[nH]c(=N)[nH]c(=N)c1C#C[C@H](C)c1cc(OC)c(OC)c(OC)c1,False
7,0,3,RIOK1_697,-7.798,CCc1[nH]c(=N)[nH]c(=N)c1C#C[C@H](C)c1cc(OC)c(OC)c(OC)c1,False
7,0,4,RIOK1_697,-7.509,CCc1[nH]c(=N)[nH]c(=N)c1C#C[C@H](C)c1cc(OC)c(OC)c(OC)c1,False
8,0,0,RIOK1_259,-7.963,CCOc1cc(OC(C)C)c(F)c([C@@H](Nc2ccc(C(=N)N)cc2)c2ncc[nH]2)c1,True
8,0,1,RIOK1_259,-7.65,CCOc1cc(OC(C)C)c(F)c([C@@H](Nc2ccc(C(=N)N)cc2)c2ncc[nH]2)c1,False
8,0,2,RIOK1_259,-7.641,CCOc1cc(OC(C)C)c(F)c([C@@H](Nc2ccc(C(=N)N)cc2)c2ncc[nH]2)c1,False
8,0,3,RIOK1_259,-7.531,CCOc1cc(OC(C)C)c(F)c([C@@H](Nc2ccc(C(=N)N)cc2)c2ncc[nH]2)c1,False
8,0,4,RIOK1_259,-7.401,CCOc1cc(OC(C)C)c(F)c([C@@H](Nc2ccc(C(=N)N)cc2)c2ncc[nH]2)c1,False
9,0,0,RIOK1_354,-8.836,CN=C(O)[C@@H]1Cc2ccc(NS(O)(O)O)cc2CN1C(=O)OC(C)(C)C,True
9,0,1,RIOK1_354,-8.316,CN=C(O)[C@@H]1Cc2ccc(NS(O)(O)O)cc2CN1C(=O)OC(C)(C)C,False
9,0,2,RIOK1_354,-8.174,CN=C(O)[C@@H]1Cc2ccc(NS(O)(O)O)cc2CN1C(=O)OC(C)(C)C,False
9,0,3,RIOK1_354,-8.034,CN=C(O)[C@@H]1Cc2ccc(NS(O)(O)O)cc2CN1C(=O)OC(C)(C)C,False
9,0,4,RIOK1_354,-7.725,CN=C(O)[C@@H]1Cc2ccc(NS(O)(O)O)cc2CN1C(=O)OC(C)(C)C,False
