ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,SPIN1_468,-7.822,O=S(=O)(c1ccccc1)c1ccc(CN=C(O)C2CC2)cc1,True
0,0,1,SPIN1_468,-7.712,O=S(=O)(c1ccccc1)c1ccc(CN=C(O)C2CC2)cc1,False
0,0,2,SPIN1_468,-7.485,O=S(=O)(c1ccccc1)c1ccc(CN=C(O)C2CC2)cc1,False
0,0,3,SPIN1_468,-7.45,O=S(=O)(c1ccccc1)c1ccc(CN=C(O)C2CC2)cc1,False
0,0,4,SPIN1_468,-7.344,O=S(=O)(c1ccccc1)c1ccc(CN=C(O)C2CC2)cc1,False
1,0,0,SPIN1_231,-6.122,COc1ccc(S(=O)(=O)N(Cc2cccnc2)[C@@H](C(O)=NO)C(C)C)cc1,True
1,0,1,SPIN1_231,-6.045,COc1ccc(S(=O)(=O)N(Cc2cccnc2)[C@@H](C(O)=NO)C(C)C)cc1,False
1,0,2,SPIN1_231,-5.982,COc1ccc(S(=O)(=O)N(Cc2cccnc2)[C@@H](C(O)=NO)C(C)C)cc1,False
1,0,3,SPIN1_231,-5.946,COc1ccc(S(=O)(=O)N(Cc2cccnc2)[C@@H](C(O)=NO)C(C)C)cc1,False
1,0,4,SPIN1_231,-5.796,COc1ccc(S(=O)(=O)N(Cc2cccnc2)[C@@H](C(O)=NO)C(C)C)cc1,False
2,0,0,SPIN1_660,-9.206,COc1cc(-c2ccc(C)cc2)cc([C@@H](C)C#Cc2c(C)[nH]c(=N)[nH]c2=N)c1,True
2,0,1,SPIN1_660,-8.908,COc1cc(-c2ccc(C)cc2)cc([C@@H](C)C#Cc2c(C)[nH]c(=N)[nH]c2=N)c1,False
2,0,2,SPIN1_660,-8.809,COc1cc(-c2ccc(C)cc2)cc([C@@H](C)C#Cc2c(C)[nH]c(=N)[nH]c2=N)c1,False
2,0,3,SPIN1_660,-8.716,COc1cc(-c2ccc(C)cc2)cc([C@@H](C)C#Cc2c(C)[nH]c(=N)[nH]c2=N)c1,False
2,0,4,SPIN1_660,-8.679,COc1cc(-c2ccc(C)cc2)cc([C@@H](C)C#Cc2c(C)[nH]c(=N)[nH]c2=N)c1,False
3,0,0,SPIN1_56,-7.693,Cc1cc(S(=O)(=O)N(Cc2ccccc2)[C@H](C)C(=O)O)ccc1Cl,True
3,0,1,SPIN1_56,-7.412,Cc1cc(S(=O)(=O)N(Cc2ccccc2)[C@H](C)C(=O)O)ccc1Cl,False
3,0,2,SPIN1_56,-7.374,Cc1cc(S(=O)(=O)N(Cc2ccccc2)[C@H](C)C(=O)O)ccc1Cl,False
3,0,3,SPIN1_56,-7.132,Cc1cc(S(=O)(=O)N(Cc2ccccc2)[C@H](C)C(=O)O)ccc1Cl,False
3,0,4,SPIN1_56,-7.079,Cc1cc(S(=O)(=O)N(Cc2ccccc2)[C@H](C)C(=O)O)ccc1Cl,False
4,0,0,SPIN1_42,-6.697,CCCSCc1cc(N)cc2c(O)nc(=N)[nH]c12,True
4,0,1,SPIN1_42,-6.048,CCCSCc1cc(N)cc2c(O)nc(=N)[nH]c12,False
4,0,2,SPIN1_42,-5.933,CCCSCc1cc(N)cc2c(O)nc(=N)[nH]c12,False
4,0,3,SPIN1_42,-5.844,CCCSCc1cc(N)cc2c(O)nc(=N)[nH]c12,False
4,0,4,SPIN1_42,-5.766,CCCSCc1cc(N)cc2c(O)nc(=N)[nH]c12,False
5,0,0,SPIN1_491,-9.307,C[C@]12CCc3c(ccc4cc(O)ccc34)[C@@H]1CC(O)C2=O,True
5,0,1,SPIN1_491,-8.422,C[C@]12CCc3c(ccc4cc(O)ccc34)[C@@H]1CC(O)C2=O,False
5,0,2,SPIN1_491,-8.3,C[C@]12CCc3c(ccc4cc(O)ccc34)[C@@H]1CC(O)C2=O,False
5,0,3,SPIN1_491,-7.931,C[C@]12CCc3c(ccc4cc(O)ccc34)[C@@H]1CC(O)C2=O,False
5,0,4,SPIN1_491,-7.831,C[C@]12CCc3c(ccc4cc(O)ccc34)[C@@H]1CC(O)C2=O,False
6,0,0,SPIN1_305,-7.041,N[C@@H](CSC(c1ccccc1)(c1ccccc1)c1ccc(Cl)cc1)C(=O)O,True
6,0,1,SPIN1_305,-7.036,N[C@@H](CSC(c1ccccc1)(c1ccccc1)c1ccc(Cl)cc1)C(=O)O,False
6,0,2,SPIN1_305,-6.991,N[C@@H](CSC(c1ccccc1)(c1ccccc1)c1ccc(Cl)cc1)C(=O)O,False
6,0,3,SPIN1_305,-6.892,N[C@@H](CSC(c1ccccc1)(c1ccccc1)c1ccc(Cl)cc1)C(=O)O,False
6,0,4,SPIN1_305,-6.851,N[C@@H](CSC(c1ccccc1)(c1ccccc1)c1ccc(Cl)cc1)C(=O)O,False
7,0,0,SPIN1_625,-6.882,C[C@@H](C(=O)N(C)C)N(CC(F)(F)F)c1ccc(C#N)c(C(F)(F)F)c1,True
7,0,1,SPIN1_625,-6.373,C[C@@H](C(=O)N(C)C)N(CC(F)(F)F)c1ccc(C#N)c(C(F)(F)F)c1,False
7,0,2,SPIN1_625,-6.259,C[C@@H](C(=O)N(C)C)N(CC(F)(F)F)c1ccc(C#N)c(C(F)(F)F)c1,False
7,0,3,SPIN1_625,-6.224,C[C@@H](C(=O)N(C)C)N(CC(F)(F)F)c1ccc(C#N)c(C(F)(F)F)c1,False
7,0,4,SPIN1_625,-6.151,C[C@@H](C(=O)N(C)C)N(CC(F)(F)F)c1ccc(C#N)c(C(F)(F)F)c1,False
8,0,0,SPIN1_110,-8.074,CC(=O)c1ccc(-c2ccc(CC[C@H](N)C(=O)O)cc2)cc1,True
8,0,1,SPIN1_110,-7.787,CC(=O)c1ccc(-c2ccc(CC[C@H](N)C(=O)O)cc2)cc1,False
8,0,2,SPIN1_110,-7.757,CC(=O)c1ccc(-c2ccc(CC[C@H](N)C(=O)O)cc2)cc1,False
8,0,3,SPIN1_110,-7.616,CC(=O)c1ccc(-c2ccc(CC[C@H](N)C(=O)O)cc2)cc1,False
8,0,4,SPIN1_110,-7.577,CC(=O)c1ccc(-c2ccc(CC[C@H](N)C(=O)O)cc2)cc1,False
9,0,0,SPIN1_333,-7.185,Cc1cc(OCC(=O)O)cc(C)c1Cc1c[nH]c(=N)[nH]c1=N,True
9,0,1,SPIN1_333,-7.127,Cc1cc(OCC(=O)O)cc(C)c1Cc1c[nH]c(=N)[nH]c1=N,False
9,0,2,SPIN1_333,-7.122,Cc1cc(OCC(=O)O)cc(C)c1Cc1c[nH]c(=N)[nH]c1=N,False
9,0,3,SPIN1_333,-6.664,Cc1cc(OCC(=O)O)cc(C)c1Cc1c[nH]c(=N)[nH]c1=N,False
9,0,4,SPIN1_333,-6.564,Cc1cc(OCC(=O)O)cc(C)c1Cc1c[nH]c(=N)[nH]c1=N,False
10,0,0,SPIN1_36,-6.692,CC(=O)c1cccc(C(=O)O)c1,True
10,0,1,SPIN1_36,-6.488,CC(=O)c1cccc(C(=O)O)c1,False
10,0,2,SPIN1_36,-6.291,CC(=O)c1cccc(C(=O)O)c1,False
10,0,3,SPIN1_36,-6.272,CC(=O)c1cccc(C(=O)O)c1,False
10,0,4,SPIN1_36,-6.196,CC(=O)c1cccc(C(=O)O)c1,False
11,0,0,SPIN1_786,-7.768,CC(=O)c1ccc(C)cc1N[C@H](C(=N)O)c1c(Cl)cccc1-c1ccccc1,True
11,0,1,SPIN1_786,-7.611,CC(=O)c1ccc(C)cc1N[C@H](C(=N)O)c1c(Cl)cccc1-c1ccccc1,False
11,0,2,SPIN1_786,-7.359,CC(=O)c1ccc(C)cc1N[C@H](C(=N)O)c1c(Cl)cccc1-c1ccccc1,False
11,0,3,SPIN1_786,-7.257,CC(=O)c1ccc(C)cc1N[C@H](C(=N)O)c1c(Cl)cccc1-c1ccccc1,False
11,0,4,SPIN1_786,-7.158,CC(=O)c1ccc(C)cc1N[C@H](C(=N)O)c1c(Cl)cccc1-c1ccccc1,False
12,0,0,SPIN1_43,-7.693,Cc1cc(S(=O)(=O)N(Cc2ccccc2)[C@H](C)C(O)=NO)ccc1F,True
12,0,1,SPIN1_43,-7.595,Cc1cc(S(=O)(=O)N(Cc2ccccc2)[C@H](C)C(O)=NO)ccc1F,False
12,0,2,SPIN1_43,-7.451,Cc1cc(S(=O)(=O)N(Cc2ccccc2)[C@H](C)C(O)=NO)ccc1F,False
12,0,3,SPIN1_43,-7.359,Cc1cc(S(=O)(=O)N(Cc2ccccc2)[C@H](C)C(O)=NO)ccc1F,False
12,0,4,SPIN1_43,-7.284,Cc1cc(S(=O)(=O)N(Cc2ccccc2)[C@H](C)C(O)=NO)ccc1F,False
13,0,0,SPIN1_433,-8.696,C[C@@H](C(=O)C(=O)O)c1ccc2ccccc2c1,True
13,0,1,SPIN1_433,-8.428,C[C@@H](C(=O)C(=O)O)c1ccc2ccccc2c1,False
13,0,2,SPIN1_433,-8.195,C[C@@H](C(=O)C(=O)O)c1ccc2ccccc2c1,False
13,0,3,SPIN1_433,-8.092,C[C@@H](C(=O)C(=O)O)c1ccc2ccccc2c1,False
13,0,4,SPIN1_433,-8.081,C[C@@H](C(=O)C(=O)O)c1ccc2ccccc2c1,False
14,0,0,SPIN1_709,-6.349,Cc1ccc(C(=O)O)c(N)c1,True
14,0,1,SPIN1_709,-6.283,Cc1ccc(C(=O)O)c(N)c1,False
14,0,2,SPIN1_709,-6.225,Cc1ccc(C(=O)O)c(N)c1,False
14,0,3,SPIN1_709,-6.137,Cc1ccc(C(=O)O)c(N)c1,False
14,0,4,SPIN1_709,-5.856,Cc1ccc(C(=O)O)c(N)c1,False
15,0,0,SPIN1_283,-8.927,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@@H](O)[C@H]2O,True
15,0,1,SPIN1_283,-8.197,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@@H](O)[C@H]2O,False
15,0,2,SPIN1_283,-7.853,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@@H](O)[C@H]2O,False
15,0,3,SPIN1_283,-7.648,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@@H](O)[C@H]2O,False
15,0,4,SPIN1_283,-7.354,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@@H](O)[C@H]2O,False
16,0,0,SPIN1_266,-8.267,CC(C)[C@H](NS(=O)(=O)c1ccccc1)P(=O)(O)C[C@H](Cc1ccccc1)C(=O)O,True
16,0,1,SPIN1_266,-7.924,CC(C)[C@H](NS(=O)(=O)c1ccccc1)P(=O)(O)C[C@H](Cc1ccccc1)C(=O)O,False
16,0,2,SPIN1_266,-7.722,CC(C)[C@H](NS(=O)(=O)c1ccccc1)P(=O)(O)C[C@H](Cc1ccccc1)C(=O)O,False
16,0,3,SPIN1_266,-7.716,CC(C)[C@H](NS(=O)(=O)c1ccccc1)P(=O)(O)C[C@H](Cc1ccccc1)C(=O)O,False
16,0,4,SPIN1_266,-7.68,CC(C)[C@H](NS(=O)(=O)c1ccccc1)P(=O)(O)C[C@H](Cc1ccccc1)C(=O)O,False
17,0,0,SPIN1_307,-9.703,C[C@H](N=C(O)CCc1nc(O)c2ccccc2n1)c1cccc(C(F)(F)F)c1,True
17,0,1,SPIN1_307,-9.637,C[C@H](N=C(O)CCc1nc(O)c2ccccc2n1)c1cccc(C(F)(F)F)c1,False
17,0,2,SPIN1_307,-9.181,C[C@H](N=C(O)CCc1nc(O)c2ccccc2n1)c1cccc(C(F)(F)F)c1,False
17,0,3,SPIN1_307,-9.158,C[C@H](N=C(O)CCc1nc(O)c2ccccc2n1)c1cccc(C(F)(F)F)c1,False
17,0,4,SPIN1_307,-8.944,C[C@H](N=C(O)CCc1nc(O)c2ccccc2n1)c1cccc(C(F)(F)F)c1,False
18,0,0,SPIN1_945,-6.75,COc1ccc(Sc2c(C)c3c(n2C)NC(=N)NC3N)cc1,True
