ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,CCR9_376,-6.757,CC=C[C@H]1C[C@@H](C[C@@](C)(O)C=CC(=O)O)[C@H]([C@@H]2C[C@H](CC3=C[C@@H](F)C(C(F)(F)F)=CC3)S(O)(O)N2)C1,True
0,0,1,CCR9_376,-6.364,CC=C[C@H]1C[C@@H](C[C@@](C)(O)C=CC(=O)O)[C@H]([C@@H]2C[C@H](CC3=C[C@@H](F)C(C(F)(F)F)=CC3)S(O)(O)N2)C1,False
0,0,2,CCR9_376,-5.891,CC=C[C@H]1C[C@@H](C[C@@](C)(O)C=CC(=O)O)[C@H]([C@@H]2C[C@H](CC3=C[C@@H](F)C(C(F)(F)F)=CC3)S(O)(O)N2)C1,False
0,0,3,CCR9_376,-5.884,CC=C[C@H]1C[C@@H](C[C@@](C)(O)C=CC(=O)O)[C@H]([C@@H]2C[C@H](CC3=C[C@@H](F)C(C(F)(F)F)=CC3)S(O)(O)N2)C1,False
0,0,4,CCR9_376,-5.816,CC=C[C@H]1C[C@@H](C[C@@](C)(O)C=CC(=O)O)[C@H]([C@@H]2C[C@H](CC3=C[C@@H](F)C(C(F)(F)F)=CC3)S(O)(O)N2)C1,False
1,0,0,CCR9_68,-9.342,CO[C@@H]1CCC[C@@H]([C@@H](C)c2ccc(C3=C[C@H]4CC[C@@H]3C[C@H]4O)cc2OCC[C@H](C)OC)CC1,True
1,0,1,CCR9_68,-7.878,CO[C@@H]1CCC[C@@H]([C@@H](C)c2ccc(C3=C[C@H]4CC[C@@H]3C[C@H]4O)cc2OCC[C@H](C)OC)CC1,False
2,0,0,CCR9_625,-9.234,C[C@H](O)[C@H]1N[C@H](CO[C@@H]2[C@@H](C)O[C@@H]3[C@@H](O)[C@H](c4cccc(O)c4)CN32)S[C@@H]1C,True
2,0,1,CCR9_625,-7.876,C[C@H](O)[C@H]1N[C@H](CO[C@@H]2[C@@H](C)O[C@@H]3[C@@H](O)[C@H](c4cccc(O)c4)CN32)S[C@@H]1C,False
2,0,2,CCR9_625,-7.693,C[C@H](O)[C@H]1N[C@H](CO[C@@H]2[C@@H](C)O[C@@H]3[C@@H](O)[C@H](c4cccc(O)c4)CN32)S[C@@H]1C,False
2,0,3,CCR9_625,-7.384,C[C@H](O)[C@H]1N[C@H](CO[C@@H]2[C@@H](C)O[C@@H]3[C@@H](O)[C@H](c4cccc(O)c4)CN32)S[C@@H]1C,False
2,0,4,CCR9_625,-7.257,C[C@H](O)[C@H]1N[C@H](CO[C@@H]2[C@@H](C)O[C@@H]3[C@@H](O)[C@H](c4cccc(O)c4)CN32)S[C@@H]1C,False
3,0,0,CCR9_280,-6.485,C[C@@H]1CCC[C@H](NC(=NCC(=CO[PH](O)(O)O)[C@@H](O)CO)[C@H]2C=C[C@@H]([C@@]3(Cl)C=c4cc(F)ccc4=CC3)C=C2)C1,True
3,0,1,CCR9_280,-6.411,C[C@@H]1CCC[C@H](NC(=NCC(=CO[PH](O)(O)O)[C@@H](O)CO)[C@H]2C=C[C@@H]([C@@]3(Cl)C=c4cc(F)ccc4=CC3)C=C2)C1,False
3,0,2,CCR9_280,-5.82,C[C@@H]1CCC[C@H](NC(=NCC(=CO[PH](O)(O)O)[C@@H](O)CO)[C@H]2C=C[C@@H]([C@@]3(Cl)C=c4cc(F)ccc4=CC3)C=C2)C1,False
3,0,3,CCR9_280,-4.5,C[C@@H]1CCC[C@H](NC(=NCC(=CO[PH](O)(O)O)[C@@H](O)CO)[C@H]2C=C[C@@H]([C@@]3(Cl)C=c4cc(F)ccc4=CC3)C=C2)C1,False
3,0,4,CCR9_280,-4.245,C[C@@H]1CCC[C@H](NC(=NCC(=CO[PH](O)(O)O)[C@@H](O)CO)[C@H]2C=C[C@@H]([C@@]3(Cl)C=c4cc(F)ccc4=CC3)C=C2)C1,False
4,0,0,CCR9_687,-8.17,CC(=O)C[C@@H](O)CC1C=C([C@H](C)O)CC([C@@H](O)COC2C=CC3=C(CCN3C)N(C)C2)=C1,True
4,0,1,CCR9_687,-7.911,CC(=O)C[C@@H](O)CC1C=C([C@H](C)O)CC([C@@H](O)COC2C=CC3=C(CCN3C)N(C)C2)=C1,False
4,0,2,CCR9_687,-7.426,CC(=O)C[C@@H](O)CC1C=C([C@H](C)O)CC([C@@H](O)COC2C=CC3=C(CCN3C)N(C)C2)=C1,False
4,0,3,CCR9_687,-7.075,CC(=O)C[C@@H](O)CC1C=C([C@H](C)O)CC([C@@H](O)COC2C=CC3=C(CCN3C)N(C)C2)=C1,False
4,0,4,CCR9_687,-6.903,CC(=O)C[C@@H](O)CC1C=C([C@H](C)O)CC([C@@H](O)COC2C=CC3=C(CCN3C)N(C)C2)=C1,False
5,0,0,CCR9_167,-8.062,CCCCC[C@H]1C[C@@H](O)[C@H](C(=O)O)CC[C@](C)(O)[C@@H](CNC[C@@H](OC)C(C)C)c2cccc1c2,True
5,0,1,CCR9_167,-5.618,CCCCC[C@H]1C[C@@H](O)[C@H](C(=O)O)CC[C@](C)(O)[C@@H](CNC[C@@H](OC)C(C)C)c2cccc1c2,False
5,0,2,CCR9_167,-5.533,CCCCC[C@H]1C[C@@H](O)[C@H](C(=O)O)CC[C@](C)(O)[C@@H](CNC[C@@H](OC)C(C)C)c2cccc1c2,False
6,0,0,CCR9_25,-8.135,CCC[C@@H](NC[C@H](O)CCC[C@](C)(CC)C(C)C)[C@H](C)C(O)CC1CC(=NOCC)C[C@@H]1C(=O)O,True
6,0,1,CCR9_25,-7.652,CCC[C@@H](NC[C@H](O)CCC[C@](C)(CC)C(C)C)[C@H](C)C(O)CC1CC(=NOCC)C[C@@H]1C(=O)O,False
6,0,2,CCR9_25,-7.415,CCC[C@@H](NC[C@H](O)CCC[C@](C)(CC)C(C)C)[C@H](C)C(O)CC1CC(=NOCC)C[C@@H]1C(=O)O,False
