ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,ESR1_645,-7.444,C=C(CO)CC(C=C=CC=C(C)Cl)N[C@H]1CCC(C)O1,True
0,0,1,ESR1_645,-7.381,C=C(CO)CC(C=C=CC=C(C)Cl)N[C@H]1CCC(C)O1,False
0,0,2,ESR1_645,-7.282,C=C(CO)CC(C=C=CC=C(C)Cl)N[C@H]1CCC(C)O1,False
0,0,3,ESR1_645,-7.251,C=C(CO)CC(C=C=CC=C(C)Cl)N[C@H]1CCC(C)O1,False
0,0,4,ESR1_645,-7.064,C=C(CO)CC(C=C=CC=C(C)Cl)N[C@H]1CCC(C)O1,False
1,0,0,ESR1_550,-8.023,Cc1cc(C(C)C)ccc1[C@H](OC[C@@H](S)c1ccc([C@@H](C)O)cc1)[C@@H]1CC[C@H](CN)O1,True
1,0,1,ESR1_550,-7.788,Cc1cc(C(C)C)ccc1[C@H](OC[C@@H](S)c1ccc([C@@H](C)O)cc1)[C@@H]1CC[C@H](CN)O1,False
1,0,2,ESR1_550,-7.731,Cc1cc(C(C)C)ccc1[C@H](OC[C@@H](S)c1ccc([C@@H](C)O)cc1)[C@@H]1CC[C@H](CN)O1,False
1,0,3,ESR1_550,-7.719,Cc1cc(C(C)C)ccc1[C@H](OC[C@@H](S)c1ccc([C@@H](C)O)cc1)[C@@H]1CC[C@H](CN)O1,False
1,0,4,ESR1_550,-7.314,Cc1cc(C(C)C)ccc1[C@H](OC[C@@H](S)c1ccc([C@@H](C)O)cc1)[C@@H]1CC[C@H](CN)O1,False
2,0,0,ESR1_353,-11.746,C[C@H]1CC[C@@H](C2=N[C@H](CCC[C@@H]3C[C@H](C4=C(O)[C@H](C)C(=N)C4)[C@@H](C)C[C@H]4CC(=O)[C@H]5[C@H]4C3CC[C@@H]5O)Cc3ccccc32)C1,True
2,0,1,ESR1_353,-11.236,C[C@H]1CC[C@@H](C2=N[C@H](CCC[C@@H]3C[C@H](C4=C(O)[C@H](C)C(=N)C4)[C@@H](C)C[C@H]4CC(=O)[C@H]5[C@H]4C3CC[C@@H]5O)Cc3ccccc32)C1,False
2,0,2,ESR1_353,-10.272,C[C@H]1CC[C@@H](C2=N[C@H](CCC[C@@H]3C[C@H](C4=C(O)[C@H](C)C(=N)C4)[C@@H](C)C[C@H]4CC(=O)[C@H]5[C@H]4C3CC[C@@H]5O)Cc3ccccc32)C1,False
2,0,3,ESR1_353,-9.816,C[C@H]1CC[C@@H](C2=N[C@H](CCC[C@@H]3C[C@H](C4=C(O)[C@H](C)C(=N)C4)[C@@H](C)C[C@H]4CC(=O)[C@H]5[C@H]4C3CC[C@@H]5O)Cc3ccccc32)C1,False
2,0,4,ESR1_353,-9.47,C[C@H]1CC[C@@H](C2=N[C@H](CCC[C@@H]3C[C@H](C4=C(O)[C@H](C)C(=N)C4)[C@@H](C)C[C@H]4CC(=O)[C@H]5[C@H]4C3CC[C@@H]5O)Cc3ccccc32)C1,False
3,0,0,ESR1_232,-7.852,CC[C@H](CC[C@H](CC)[C@@H](C[C@@H]1CC[C@@H](O)C1)C[C@H](C)C(C)C)NO,True
3,0,1,ESR1_232,-7.716,CC[C@H](CC[C@H](CC)[C@@H](C[C@@H]1CC[C@@H](O)C1)C[C@H](C)C(C)C)NO,False
3,0,2,ESR1_232,-7.484,CC[C@H](CC[C@H](CC)[C@@H](C[C@@H]1CC[C@@H](O)C1)C[C@H](C)C(C)C)NO,False
3,0,3,ESR1_232,-7.463,CC[C@H](CC[C@H](CC)[C@@H](C[C@@H]1CC[C@@H](O)C1)C[C@H](C)C(C)C)NO,False
3,0,4,ESR1_232,-7.168,CC[C@H](CC[C@H](CC)[C@@H](C[C@@H]1CC[C@@H](O)C1)C[C@H](C)C(C)C)NO,False
4,0,0,ESR1_136,-7.879,CCOc1ccc([C@@H](O)C[C@H](CCc2ccc(OC)cc2)CC[C@H](C)C(=O)O)cc1,True
4,0,1,ESR1_136,-7.691,CCOc1ccc([C@@H](O)C[C@H](CCc2ccc(OC)cc2)CC[C@H](C)C(=O)O)cc1,False
4,0,2,ESR1_136,-7.54,CCOc1ccc([C@@H](O)C[C@H](CCc2ccc(OC)cc2)CC[C@H](C)C(=O)O)cc1,False
4,0,3,ESR1_136,-7.502,CCOc1ccc([C@@H](O)C[C@H](CCc2ccc(OC)cc2)CC[C@H](C)C(=O)O)cc1,False
4,0,4,ESR1_136,-7.337,CCOc1ccc([C@@H](O)C[C@H](CCc2ccc(OC)cc2)CC[C@H](C)C(=O)O)cc1,False
5,0,0,ESR1_362,-8.422,CC=C=CCCCCCO[C@@H]1NC2=CC[C@@H](O)C=C2[C@H]1[C@@H](CC)[C@@H](C)C[C@H](C)OC(C)=O,True
5,0,1,ESR1_362,-8.386,CC=C=CCCCCCO[C@@H]1NC2=CC[C@@H](O)C=C2[C@H]1[C@@H](CC)[C@@H](C)C[C@H](C)OC(C)=O,False
5,0,2,ESR1_362,-8.045,CC=C=CCCCCCO[C@@H]1NC2=CC[C@@H](O)C=C2[C@H]1[C@@H](CC)[C@@H](C)C[C@H](C)OC(C)=O,False
5,0,3,ESR1_362,-8.02,CC=C=CCCCCCO[C@@H]1NC2=CC[C@@H](O)C=C2[C@H]1[C@@H](CC)[C@@H](C)C[C@H](C)OC(C)=O,False
5,0,4,ESR1_362,-7.945,CC=C=CCCCCCO[C@@H]1NC2=CC[C@@H](O)C=C2[C@H]1[C@@H](CC)[C@@H](C)C[C@H](C)OC(C)=O,False
6,0,0,ESR1_743,-7.552,N[C@@H](Oc1cccc([C@@H]2CCc3cccc(n3)OC(=O)[C@H]3C[C@@H](CC[C@H](O)[C@@H]3O)C2)c1)C(F)F,True
6,0,1,ESR1_743,-7.373,N[C@@H](Oc1cccc([C@@H]2CCc3cccc(n3)OC(=O)[C@H]3C[C@@H](CC[C@H](O)[C@@H]3O)C2)c1)C(F)F,False
6,0,2,ESR1_743,-7.366,N[C@@H](Oc1cccc([C@@H]2CCc3cccc(n3)OC(=O)[C@H]3C[C@@H](CC[C@H](O)[C@@H]3O)C2)c1)C(F)F,False
6,0,3,ESR1_743,-7.033,N[C@@H](Oc1cccc([C@@H]2CCc3cccc(n3)OC(=O)[C@H]3C[C@@H](CC[C@H](O)[C@@H]3O)C2)c1)C(F)F,False
6,0,4,ESR1_743,-6.981,N[C@@H](Oc1cccc([C@@H]2CCc3cccc(n3)OC(=O)[C@H]3C[C@@H](CC[C@H](O)[C@@H]3O)C2)c1)C(F)F,False
7,0,0,ESR1_579,-9.273,C#CC1C=C(O)CC=C1C(=C=C[C@@H](C)CC)c1cccc(CN)c1,True
7,0,1,ESR1_579,-8.86,C#CC1C=C(O)CC=C1C(=C=C[C@@H](C)CC)c1cccc(CN)c1,False
7,0,2,ESR1_579,-8.803,C#CC1C=C(O)CC=C1C(=C=C[C@@H](C)CC)c1cccc(CN)c1,False
7,0,3,ESR1_579,-8.701,C#CC1C=C(O)CC=C1C(=C=C[C@@H](C)CC)c1cccc(CN)c1,False
7,0,4,ESR1_579,-8.536,C#CC1C=C(O)CC=C1C(=C=C[C@@H](C)CC)c1cccc(CN)c1,False
8,0,0,ESR1_750,-9.127,CCCCC=CC[C@@H](C)C1=CC(Oc2ccc(F)cc2)=CC([C@@H](N)[C@@H](O)F)=CC1,True
8,0,1,ESR1_750,-9.009,CCCCC=CC[C@@H](C)C1=CC(Oc2ccc(F)cc2)=CC([C@@H](N)[C@@H](O)F)=CC1,False
8,0,2,ESR1_750,-8.653,CCCCC=CC[C@@H](C)C1=CC(Oc2ccc(F)cc2)=CC([C@@H](N)[C@@H](O)F)=CC1,False
8,0,3,ESR1_750,-8.64,CCCCC=CC[C@@H](C)C1=CC(Oc2ccc(F)cc2)=CC([C@@H](N)[C@@H](O)F)=CC1,False
8,0,4,ESR1_750,-8.154,CCCCC=CC[C@@H](C)C1=CC(Oc2ccc(F)cc2)=CC([C@@H](N)[C@@H](O)F)=CC1,False
9,0,0,ESR1_72,-6.787,CC(C)[C@@H]1C=C2NC[C@@H](c3ccccc3)[C@@H]2C=CC1[C@H](CO)[C@H](CCCC[C@H]1CC[C@@H](O)CC1)C1=CC[C@@H](F)[C@@H](F)C1,True
9,0,1,ESR1_72,-6.706,CC(C)[C@@H]1C=C2NC[C@@H](c3ccccc3)[C@@H]2C=CC1[C@H](CO)[C@H](CCCC[C@H]1CC[C@@H](O)CC1)C1=CC[C@@H](F)[C@@H](F)C1,False
9,0,2,ESR1_72,-6.537,CC(C)[C@@H]1C=C2NC[C@@H](c3ccccc3)[C@@H]2C=CC1[C@H](CO)[C@H](CCCC[C@H]1CC[C@@H](O)CC1)C1=CC[C@@H](F)[C@@H](F)C1,False
9,0,3,ESR1_72,-6.323,CC(C)[C@@H]1C=C2NC[C@@H](c3ccccc3)[C@@H]2C=CC1[C@H](CO)[C@H](CCCC[C@H]1CC[C@@H](O)CC1)C1=CC[C@@H](F)[C@@H](F)C1,False
9,0,4,ESR1_72,-6.275,CC(C)[C@@H]1C=C2NC[C@@H](c3ccccc3)[C@@H]2C=CC1[C@H](CO)[C@H](CCCC[C@H]1CC[C@@H](O)CC1)C1=CC[C@@H](F)[C@@H](F)C1,False
10,0,0,ESR1_202,-7.749,COC(=O)C1=CC=CC(NC(C)=O)=C[C@@H]1Oc1ccc([C@H](O)C(N)=O)cc1,True
10,0,1,ESR1_202,-7.537,COC(=O)C1=CC=CC(NC(C)=O)=C[C@@H]1Oc1ccc([C@H](O)C(N)=O)cc1,False
10,0,2,ESR1_202,-7.201,COC(=O)C1=CC=CC(NC(C)=O)=C[C@@H]1Oc1ccc([C@H](O)C(N)=O)cc1,False
10,0,3,ESR1_202,-7.164,COC(=O)C1=CC=CC(NC(C)=O)=C[C@@H]1Oc1ccc([C@H](O)C(N)=O)cc1,False
10,0,4,ESR1_202,-6.924,COC(=O)C1=CC=CC(NC(C)=O)=C[C@@H]1Oc1ccc([C@H](O)C(N)=O)cc1,False
11,0,0,ESR1_612,-7.341,CCN=C(C)COC[C@@H]1C=C([C@@H]2C3=C(C)N(O)C[C@H]3C[C@H]2C)[C@@H]2[C@H](CC)CC=C[C@@H]2C1,True
11,0,1,ESR1_612,-7.036,CCN=C(C)COC[C@@H]1C=C([C@@H]2C3=C(C)N(O)C[C@H]3C[C@H]2C)[C@@H]2[C@H](CC)CC=C[C@@H]2C1,False
11,0,2,ESR1_612,-6.942,CCN=C(C)COC[C@@H]1C=C([C@@H]2C3=C(C)N(O)C[C@H]3C[C@H]2C)[C@@H]2[C@H](CC)CC=C[C@@H]2C1,False
11,0,3,ESR1_612,-6.667,CCN=C(C)COC[C@@H]1C=C([C@@H]2C3=C(C)N(O)C[C@H]3C[C@H]2C)[C@@H]2[C@H](CC)CC=C[C@@H]2C1,False
11,0,4,ESR1_612,-6.585,CCN=C(C)COC[C@@H]1C=C([C@@H]2C3=C(C)N(O)C[C@H]3C[C@H]2C)[C@@H]2[C@H](CC)CC=C[C@@H]2C1,False
