ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,FTO_351,-4.899,CC[C@@H]1[C@@H](O)[C@@H](O)C=C[C@H](O)[C@@H]2C=C(OC)[C@H](OC2)[C@@H](O)CCCOCC[C@]1(O)C(=O)O,True
0,0,1,FTO_351,-4.631,CC[C@@H]1[C@@H](O)[C@@H](O)C=C[C@H](O)[C@@H]2C=C(OC)[C@H](OC2)[C@@H](O)CCCOCC[C@]1(O)C(=O)O,False
0,0,2,FTO_351,-4.626,CC[C@@H]1[C@@H](O)[C@@H](O)C=C[C@H](O)[C@@H]2C=C(OC)[C@H](OC2)[C@@H](O)CCCOCC[C@]1(O)C(=O)O,False
0,0,3,FTO_351,-4.625,CC[C@@H]1[C@@H](O)[C@@H](O)C=C[C@H](O)[C@@H]2C=C(OC)[C@H](OC2)[C@@H](O)CCCOCC[C@]1(O)C(=O)O,False
0,0,4,FTO_351,-4.57,CC[C@@H]1[C@@H](O)[C@@H](O)C=C[C@H](O)[C@@H]2C=C(OC)[C@H](OC2)[C@@H](O)CCCOCC[C@]1(O)C(=O)O,False
1,0,0,FTO_567,-9.042,C[C@H]1C=C(C(F)(F)F)[C@@H](NC(=O)CCO)[C@H](OCCCc2ccc(Cl)c(O[C@@H](F)C(F)F)c2)C1,True
1,0,1,FTO_567,-8.849,C[C@H]1C=C(C(F)(F)F)[C@@H](NC(=O)CCO)[C@H](OCCCc2ccc(Cl)c(O[C@@H](F)C(F)F)c2)C1,False
1,0,2,FTO_567,-8.424,C[C@H]1C=C(C(F)(F)F)[C@@H](NC(=O)CCO)[C@H](OCCCc2ccc(Cl)c(O[C@@H](F)C(F)F)c2)C1,False
1,0,3,FTO_567,-8.412,C[C@H]1C=C(C(F)(F)F)[C@@H](NC(=O)CCO)[C@H](OCCCc2ccc(Cl)c(O[C@@H](F)C(F)F)c2)C1,False
1,0,4,FTO_567,-8.308,C[C@H]1C=C(C(F)(F)F)[C@@H](NC(=O)CCO)[C@H](OCCCc2ccc(Cl)c(O[C@@H](F)C(F)F)c2)C1,False
2,0,0,FTO_665,-9.0,CC(=C[C@@H](CC[C@@]1(Cc2ccc(O)cc2)CCCO1)[C@H](C)S(N)(O)O)c1ccnc(Cl)c1,True
2,0,1,FTO_665,-8.87,CC(=C[C@@H](CC[C@@]1(Cc2ccc(O)cc2)CCCO1)[C@H](C)S(N)(O)O)c1ccnc(Cl)c1,False
2,0,2,FTO_665,-8.623,CC(=C[C@@H](CC[C@@]1(Cc2ccc(O)cc2)CCCO1)[C@H](C)S(N)(O)O)c1ccnc(Cl)c1,False
2,0,3,FTO_665,-8.561,CC(=C[C@@H](CC[C@@]1(Cc2ccc(O)cc2)CCCO1)[C@H](C)S(N)(O)O)c1ccnc(Cl)c1,False
2,0,4,FTO_665,-8.455,CC(=C[C@@H](CC[C@@]1(Cc2ccc(O)cc2)CCCO1)[C@H](C)S(N)(O)O)c1ccnc(Cl)c1,False
3,0,0,FTO_631,-7.513,CCCc1ccc(O)c(N2C[C@@H]([C@H]3C=C[C@H](C(=O)O)C=CC3F)[C@H](F)C=C2CC(=O)O)c1,True
3,0,1,FTO_631,-7.412,CCCc1ccc(O)c(N2C[C@@H]([C@H]3C=C[C@H](C(=O)O)C=CC3F)[C@H](F)C=C2CC(=O)O)c1,False
3,0,2,FTO_631,-7.399,CCCc1ccc(O)c(N2C[C@@H]([C@H]3C=C[C@H](C(=O)O)C=CC3F)[C@H](F)C=C2CC(=O)O)c1,False
3,0,3,FTO_631,-7.171,CCCc1ccc(O)c(N2C[C@@H]([C@H]3C=C[C@H](C(=O)O)C=CC3F)[C@H](F)C=C2CC(=O)O)c1,False
3,0,4,FTO_631,-7.019,CCCc1ccc(O)c(N2C[C@@H]([C@H]3C=C[C@H](C(=O)O)C=CC3F)[C@H](F)C=C2CC(=O)O)c1,False
4,0,0,FTO_262,-6.007,CC(=O)[C@@H]1C(C)=NC2=C3[C@@H]1CC[C@@H](O)[C@H]1C[C@@](CCO)([C@H]3C=C[C@H]2C)S(O)(O)C1,True
4,0,1,FTO_262,-5.918,CC(=O)[C@@H]1C(C)=NC2=C3[C@@H]1CC[C@@H](O)[C@H]1C[C@@](CCO)([C@H]3C=C[C@H]2C)S(O)(O)C1,False
4,0,2,FTO_262,-5.761,CC(=O)[C@@H]1C(C)=NC2=C3[C@@H]1CC[C@@H](O)[C@H]1C[C@@](CCO)([C@H]3C=C[C@H]2C)S(O)(O)C1,False
4,0,3,FTO_262,-5.754,CC(=O)[C@@H]1C(C)=NC2=C3[C@@H]1CC[C@@H](O)[C@H]1C[C@@](CCO)([C@H]3C=C[C@H]2C)S(O)(O)C1,False
4,0,4,FTO_262,-5.547,CC(=O)[C@@H]1C(C)=NC2=C3[C@@H]1CC[C@@H](O)[C@H]1C[C@@](CCO)([C@H]3C=C[C@H]2C)S(O)(O)C1,False
5,0,0,FTO_275,-8.016,CCCC1=C(NC2=C[C@@H](CC(=O)O)C=C(Cl)C2)C(=C=CC(Cl)C=CC(=O)OC)C(C)=NC1,True
5,0,1,FTO_275,-7.959,CCCC1=C(NC2=C[C@@H](CC(=O)O)C=C(Cl)C2)C(=C=CC(Cl)C=CC(=O)OC)C(C)=NC1,False
5,0,2,FTO_275,-7.707,CCCC1=C(NC2=C[C@@H](CC(=O)O)C=C(Cl)C2)C(=C=CC(Cl)C=CC(=O)OC)C(C)=NC1,False
5,0,3,FTO_275,-7.616,CCCC1=C(NC2=C[C@@H](CC(=O)O)C=C(Cl)C2)C(=C=CC(Cl)C=CC(=O)OC)C(C)=NC1,False
5,0,4,FTO_275,-7.571,CCCC1=C(NC2=C[C@@H](CC(=O)O)C=C(Cl)C2)C(=C=CC(Cl)C=CC(=O)OC)C(C)=NC1,False
6,0,0,FTO_459,-7.306,CC(C)N1CC=C[C@@H]([C@@H](c2cccc(O)c2)[C@@H](O)C(=O)O)CC1,True
6,0,1,FTO_459,-7.242,CC(C)N1CC=C[C@@H]([C@@H](c2cccc(O)c2)[C@@H](O)C(=O)O)CC1,False
6,0,2,FTO_459,-7.181,CC(C)N1CC=C[C@@H]([C@@H](c2cccc(O)c2)[C@@H](O)C(=O)O)CC1,False
6,0,3,FTO_459,-6.903,CC(C)N1CC=C[C@@H]([C@@H](c2cccc(O)c2)[C@@H](O)C(=O)O)CC1,False
6,0,4,FTO_459,-6.84,CC(C)N1CC=C[C@@H]([C@@H](c2cccc(O)c2)[C@@H](O)C(=O)O)CC1,False
7,0,0,FTO_638,-7.692,CCCCCCO[C@](C)(C(=O)O)[C@@H](CCCC)C(=O)OC(=O)CC,True
7,0,1,FTO_638,-6.341,CCCCCCO[C@](C)(C(=O)O)[C@@H](CCCC)C(=O)OC(=O)CC,False
7,0,2,FTO_638,-6.07,CCCCCCO[C@](C)(C(=O)O)[C@@H](CCCC)C(=O)OC(=O)CC,False
7,0,3,FTO_638,-6.019,CCCCCCO[C@](C)(C(=O)O)[C@@H](CCCC)C(=O)OC(=O)CC,False
7,0,4,FTO_638,-5.742,CCCCCCO[C@](C)(C(=O)O)[C@@H](CCCC)C(=O)OC(=O)CC,False
8,0,0,FTO_571,-8.438,CCC[C@H](CNC(=O)NC(C)(C)CO)[C@H]1CC(C(C)C)CC1=C=CC(F)=C=C[C@H](CC)C1OCC[C@H]1O,True
8,0,1,FTO_571,-8.137,CCC[C@H](CNC(=O)NC(C)(C)CO)[C@H]1CC(C(C)C)CC1=C=CC(F)=C=C[C@H](CC)C1OCC[C@H]1O,False
8,0,2,FTO_571,-8.136,CCC[C@H](CNC(=O)NC(C)(C)CO)[C@H]1CC(C(C)C)CC1=C=CC(F)=C=C[C@H](CC)C1OCC[C@H]1O,False
8,0,3,FTO_571,-7.87,CCC[C@H](CNC(=O)NC(C)(C)CO)[C@H]1CC(C(C)C)CC1=C=CC(F)=C=C[C@H](CC)C1OCC[C@H]1O,False
8,0,4,FTO_571,-7.496,CCC[C@H](CNC(=O)NC(C)(C)CO)[C@H]1CC(C(C)C)CC1=C=CC(F)=C=C[C@H](CC)C1OCC[C@H]1O,False
9,0,0,FTO_376,-7.215,CCC=C[C@@H](CCCO)OCC1=C2C[C@@H](C(C)(O)O)[C@@H](OC(=O)O)[C@H]2[C@H](C)C[C@H]1C,True
9,0,1,FTO_376,-6.967,CCC=C[C@@H](CCCO)OCC1=C2C[C@@H](C(C)(O)O)[C@@H](OC(=O)O)[C@H]2[C@H](C)C[C@H]1C,False
9,0,2,FTO_376,-6.816,CCC=C[C@@H](CCCO)OCC1=C2C[C@@H](C(C)(O)O)[C@@H](OC(=O)O)[C@H]2[C@H](C)C[C@H]1C,False
9,0,3,FTO_376,-6.801,CCC=C[C@@H](CCCO)OCC1=C2C[C@@H](C(C)(O)O)[C@@H](OC(=O)O)[C@H]2[C@H](C)C[C@H]1C,False
9,0,4,FTO_376,-6.735,CCC=C[C@@H](CCCO)OCC1=C2C[C@@H](C(C)(O)O)[C@@H](OC(=O)O)[C@H]2[C@H](C)C[C@H]1C,False
10,0,0,FTO_235,-7.718,CC(=O)C[C@H]1COc2ccc(C(=NCCN(CC=CCC(N)(O)O)C(=NC(C)(C)O)c3cccc(O)c3)N3CCCCC3)cc21,True
10,0,1,FTO_235,-7.637,CC(=O)C[C@H]1COc2ccc(C(=NCCN(CC=CCC(N)(O)O)C(=NC(C)(C)O)c3cccc(O)c3)N3CCCCC3)cc21,False
10,0,2,FTO_235,-7.607,CC(=O)C[C@H]1COc2ccc(C(=NCCN(CC=CCC(N)(O)O)C(=NC(C)(C)O)c3cccc(O)c3)N3CCCCC3)cc21,False
10,0,3,FTO_235,-7.411,CC(=O)C[C@H]1COc2ccc(C(=NCCN(CC=CCC(N)(O)O)C(=NC(C)(C)O)c3cccc(O)c3)N3CCCCC3)cc21,False
