ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,GRIK1_473,11.885,O=C1C=COC(=O)CCC(=O)N[C@H](CF)C2=NCC[C@H](C(=O)O)CC=NC(=N1)CC2,True
0,0,1,GRIK1_473,14.21,O=C1C=COC(=O)CCC(=O)N[C@H](CF)C2=NCC[C@H](C(=O)O)CC=NC(=N1)CC2,False
1,0,0,GRIK1_6,-4.562,Cc1cc(C[C@H](C[C@@H](C)C(=O)O)C(N)=O)c([C@H](O)C[C@H](N)C(=O)C(=O)O)c(C=O)c1O,True
1,0,1,GRIK1_6,-4.162,Cc1cc(C[C@H](C[C@@H](C)C(=O)O)C(N)=O)c([C@H](O)C[C@H](N)C(=O)C(=O)O)c(C=O)c1O,False
1,0,2,GRIK1_6,-3.65,Cc1cc(C[C@H](C[C@@H](C)C(=O)O)C(N)=O)c([C@H](O)C[C@H](N)C(=O)C(=O)O)c(C=O)c1O,False
1,0,3,GRIK1_6,-3.626,Cc1cc(C[C@H](C[C@@H](C)C(=O)O)C(N)=O)c([C@H](O)C[C@H](N)C(=O)C(=O)O)c(C=O)c1O,False
1,0,4,GRIK1_6,-3.503,Cc1cc(C[C@H](C[C@@H](C)C(=O)O)C(N)=O)c([C@H](O)C[C@H](N)C(=O)C(=O)O)c(C=O)c1O,False
2,0,0,GRIK1_456,-6.53,C[C@H](C[C@@H](N)C(=O)O)NC(=O)[C@@H](O)CC(=O)OCCCCN,True
2,0,1,GRIK1_456,-6.527,C[C@H](C[C@@H](N)C(=O)O)NC(=O)[C@@H](O)CC(=O)OCCCCN,False
2,0,2,GRIK1_456,-6.476,C[C@H](C[C@@H](N)C(=O)O)NC(=O)[C@@H](O)CC(=O)OCCCCN,False
2,0,3,GRIK1_456,-6.234,C[C@H](C[C@@H](N)C(=O)O)NC(=O)[C@@H](O)CC(=O)OCCCCN,False
2,0,4,GRIK1_456,-5.932,C[C@H](C[C@@H](N)C(=O)O)NC(=O)[C@@H](O)CC(=O)OCCCCN,False
3,0,0,GRIK1_712,20.244,C[C@@]1(F)CC(O)(O)OC(=O)C[C@@H](C2C=CCC=C2)[C@H](O)[C@@](O)([C@@H](F)[C@H](F)C(F)F)CC[C@@H](CCN)CC[C@@H](O)[C@@H]1O,True
3,0,1,GRIK1_712,20.66,C[C@@]1(F)CC(O)(O)OC(=O)C[C@@H](C2C=CCC=C2)[C@H](O)[C@@](O)([C@@H](F)[C@H](F)C(F)F)CC[C@@H](CCN)CC[C@@H](O)[C@@H]1O,False
3,0,2,GRIK1_712,21.646,C[C@@]1(F)CC(O)(O)OC(=O)C[C@@H](C2C=CCC=C2)[C@H](O)[C@@](O)([C@@H](F)[C@H](F)C(F)F)CC[C@@H](CCN)CC[C@@H](O)[C@@H]1O,False
4,0,0,GRIK1_758,7.234,CCC[C@@H]1CC[C@@H](C(=O)O)[C@H](N)C[C@@H](CO)CNCCC[C@H](C)[C@](C)(O)[C@H]1O,True
4,0,1,GRIK1_758,7.3,CCC[C@@H]1CC[C@@H](C(=O)O)[C@H](N)C[C@@H](CO)CNCCC[C@H](C)[C@](C)(O)[C@H]1O,False
4,0,2,GRIK1_758,8.871,CCC[C@@H]1CC[C@@H](C(=O)O)[C@H](N)C[C@@H](CO)CNCCC[C@H](C)[C@](C)(O)[C@H]1O,False
5,0,0,GRIK1_0,33.488,CC(F)N[C@@H]1C=CCCN(C(=O)CCC(=O)O)[C@H]2C[C@H](C3=NC(=O)C=C[C@H]3F)C[C@@](O)(OC2=O)C(=O)CNC(=O)C[C@H](F)[C@@H](C)[C@@H](F)C1,True
6,0,0,GRIK1_380,-3.924,CC[C@@H](C[C@H](O)[C@H](N)C[C@H](C(N)=O)C(=O)N(C=C(O)CO)[C@H](C)N(CN)CO[PH](O)(O)O)[PH](O)(O)O,True
6,0,1,GRIK1_380,-3.62,CC[C@@H](C[C@H](O)[C@H](N)C[C@H](C(N)=O)C(=O)N(C=C(O)CO)[C@H](C)N(CN)CO[PH](O)(O)O)[PH](O)(O)O,False
6,0,2,GRIK1_380,-3.015,CC[C@@H](C[C@H](O)[C@H](N)C[C@H](C(N)=O)C(=O)N(C=C(O)CO)[C@H](C)N(CN)CO[PH](O)(O)O)[PH](O)(O)O,False
6,0,3,GRIK1_380,-2.371,CC[C@@H](C[C@H](O)[C@H](N)C[C@H](C(N)=O)C(=O)N(C=C(O)CO)[C@H](C)N(CN)CO[PH](O)(O)O)[PH](O)(O)O,False
6,0,4,GRIK1_380,-2.106,CC[C@@H](C[C@H](O)[C@H](N)C[C@H](C(N)=O)C(=O)N(C=C(O)CO)[C@H](C)N(CN)CO[PH](O)(O)O)[PH](O)(O)O,False
