ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,HCRTR1_198,-7.331,CCO[C@@H]1NCC(=O)N(C(=C[C@@H](C)CCC(=O)OC)CCCOC)NC[C@H]1CC,True
0,0,1,HCRTR1_198,-7.172,CCO[C@@H]1NCC(=O)N(C(=C[C@@H](C)CCC(=O)OC)CCCOC)NC[C@H]1CC,False
0,0,2,HCRTR1_198,-6.995,CCO[C@@H]1NCC(=O)N(C(=C[C@@H](C)CCC(=O)OC)CCCOC)NC[C@H]1CC,False
0,0,3,HCRTR1_198,-6.988,CCO[C@@H]1NCC(=O)N(C(=C[C@@H](C)CCC(=O)OC)CCCOC)NC[C@H]1CC,False
0,0,4,HCRTR1_198,-6.919,CCO[C@@H]1NCC(=O)N(C(=C[C@@H](C)CCC(=O)OC)CCCOC)NC[C@H]1CC,False
1,0,0,HCRTR1_184,-6.999,CCCC=C=C(C)C[C@H](CCCCCC)CC[C@](C)(CC)C(C)C,True
1,0,1,HCRTR1_184,-6.738,CCCC=C=C(C)C[C@H](CCCCCC)CC[C@](C)(CC)C(C)C,False
1,0,2,HCRTR1_184,-6.621,CCCC=C=C(C)C[C@H](CCCCCC)CC[C@](C)(CC)C(C)C,False
1,0,3,HCRTR1_184,-6.561,CCCC=C=C(C)C[C@H](CCCCCC)CC[C@](C)(CC)C(C)C,False
1,0,4,HCRTR1_184,-6.497,CCCC=C=C(C)C[C@H](CCCCCC)CC[C@](C)(CC)C(C)C,False
2,0,0,HCRTR1_556,-8.906,CCCCC[C@@](C)(CC[C@H](O)C[C@@H](C)CN(C(=O)[C@@H]1CCC(Cl)C1)c1cc(Cl)ccc1OP(O)O)C(C)O,True
2,0,1,HCRTR1_556,-8.896,CCCCC[C@@](C)(CC[C@H](O)C[C@@H](C)CN(C(=O)[C@@H]1CCC(Cl)C1)c1cc(Cl)ccc1OP(O)O)C(C)O,False
2,0,2,HCRTR1_556,-8.77,CCCCC[C@@](C)(CC[C@H](O)C[C@@H](C)CN(C(=O)[C@@H]1CCC(Cl)C1)c1cc(Cl)ccc1OP(O)O)C(C)O,False
2,0,3,HCRTR1_556,-8.59,CCCCC[C@@](C)(CC[C@H](O)C[C@@H](C)CN(C(=O)[C@@H]1CCC(Cl)C1)c1cc(Cl)ccc1OP(O)O)C(C)O,False
2,0,4,HCRTR1_556,-8.274,CCCCC[C@@](C)(CC[C@H](O)C[C@@H](C)CN(C(=O)[C@@H]1CCC(Cl)C1)c1cc(Cl)ccc1OP(O)O)C(C)O,False
3,0,0,HCRTR1_393,-9.538,CCCC(=C=CCOC)C=C1C[C@H]([C@@H](C)[C@@H]2CCC[C@]2(CO)[C@H](C)[C@@H](O)c2ccccc2C)C[C@@H]1C(=O)O,True
3,0,1,HCRTR1_393,-9.3,CCCC(=C=CCOC)C=C1C[C@H]([C@@H](C)[C@@H]2CCC[C@]2(CO)[C@H](C)[C@@H](O)c2ccccc2C)C[C@@H]1C(=O)O,False
3,0,2,HCRTR1_393,-9.011,CCCC(=C=CCOC)C=C1C[C@H]([C@@H](C)[C@@H]2CCC[C@]2(CO)[C@H](C)[C@@H](O)c2ccccc2C)C[C@@H]1C(=O)O,False
3,0,3,HCRTR1_393,-9.01,CCCC(=C=CCOC)C=C1C[C@H]([C@@H](C)[C@@H]2CCC[C@]2(CO)[C@H](C)[C@@H](O)c2ccccc2C)C[C@@H]1C(=O)O,False
3,0,4,HCRTR1_393,-8.989,CCCC(=C=CCOC)C=C1C[C@H]([C@@H](C)[C@@H]2CCC[C@]2(CO)[C@H](C)[C@@H](O)c2ccccc2C)C[C@@H]1C(=O)O,False
4,0,0,HCRTR1_661,-9.486,CC[C@H]1OC[C@@]2(O)OC(=O)[C@H]([C@H](O)[C@H]2C)[C@@H]2[C@H](CC[C@H]3C1=CCO[C@@H]3CC)CCC(C)(C)[C@H](O[C@@H](C=C[C@@H](C)CO)[C@@H]1CCCCC[C@H]1C)[C@H]2C,True
4,0,1,HCRTR1_661,-9.176,CC[C@H]1OC[C@@]2(O)OC(=O)[C@H]([C@H](O)[C@H]2C)[C@@H]2[C@H](CC[C@H]3C1=CCO[C@@H]3CC)CCC(C)(C)[C@H](O[C@@H](C=C[C@@H](C)CO)[C@@H]1CCCCC[C@H]1C)[C@H]2C,False
4,0,2,HCRTR1_661,-9.133,CC[C@H]1OC[C@@]2(O)OC(=O)[C@H]([C@H](O)[C@H]2C)[C@@H]2[C@H](CC[C@H]3C1=CCO[C@@H]3CC)CCC(C)(C)[C@H](O[C@@H](C=C[C@@H](C)CO)[C@@H]1CCCCC[C@H]1C)[C@H]2C,False
4,0,3,HCRTR1_661,-7.932,CC[C@H]1OC[C@@]2(O)OC(=O)[C@H]([C@H](O)[C@H]2C)[C@@H]2[C@H](CC[C@H]3C1=CCO[C@@H]3CC)CCC(C)(C)[C@H](O[C@@H](C=C[C@@H](C)CO)[C@@H]1CCCCC[C@H]1C)[C@H]2C,False
4,0,4,HCRTR1_661,-6.893,CC[C@H]1OC[C@@]2(O)OC(=O)[C@H]([C@H](O)[C@H]2C)[C@@H]2[C@H](CC[C@H]3C1=CCO[C@@H]3CC)CCC(C)(C)[C@H](O[C@@H](C=C[C@@H](C)CO)[C@@H]1CCCCC[C@H]1C)[C@H]2C,False
5,0,0,HCRTR1_487,-8.282,CCC=C=C(C=C(O)CN)[C@@H](O)C1N=C(CC)C=C(C)[C@H]1[C@H]1CC[C@H](F)C1,True
5,0,1,HCRTR1_487,-8.138,CCC=C=C(C=C(O)CN)[C@@H](O)C1N=C(CC)C=C(C)[C@H]1[C@H]1CC[C@H](F)C1,False
5,0,2,HCRTR1_487,-7.779,CCC=C=C(C=C(O)CN)[C@@H](O)C1N=C(CC)C=C(C)[C@H]1[C@H]1CC[C@H](F)C1,False
5,0,3,HCRTR1_487,-7.648,CCC=C=C(C=C(O)CN)[C@@H](O)C1N=C(CC)C=C(C)[C@H]1[C@H]1CC[C@H](F)C1,False
5,0,4,HCRTR1_487,-7.531,CCC=C=C(C=C(O)CN)[C@@H](O)C1N=C(CC)C=C(C)[C@H]1[C@H]1CC[C@H](F)C1,False
6,0,0,HCRTR1_705,-7.668,C=C1C[C@H](N(CC(=O)O)C[C@@H](CCC)Cc2ccccc2)CN1C(C)C,True
6,0,1,HCRTR1_705,-7.602,C=C1C[C@H](N(CC(=O)O)C[C@@H](CCC)Cc2ccccc2)CN1C(C)C,False
6,0,2,HCRTR1_705,-7.561,C=C1C[C@H](N(CC(=O)O)C[C@@H](CCC)Cc2ccccc2)CN1C(C)C,False
6,0,3,HCRTR1_705,-7.519,C=C1C[C@H](N(CC(=O)O)C[C@@H](CCC)Cc2ccccc2)CN1C(C)C,False
6,0,4,HCRTR1_705,-7.417,C=C1C[C@H](N(CC(=O)O)C[C@@H](CCC)Cc2ccccc2)CN1C(C)C,False
7,0,0,HCRTR1_239,-8.111,CC=C(C(=O)NC)[C@@H](C)C[C@H](C)[C@@H]([C@H](O)C(=O)O)N(C)[C@@H](C)[C@H](CCCC)C1=C(O)C(C(C)C)=CCC=C1,True
7,0,1,HCRTR1_239,-8.094,CC=C(C(=O)NC)[C@@H](C)C[C@H](C)[C@@H]([C@H](O)C(=O)O)N(C)[C@@H](C)[C@H](CCCC)C1=C(O)C(C(C)C)=CCC=C1,False
7,0,2,HCRTR1_239,-8.054,CC=C(C(=O)NC)[C@@H](C)C[C@H](C)[C@@H]([C@H](O)C(=O)O)N(C)[C@@H](C)[C@H](CCCC)C1=C(O)C(C(C)C)=CCC=C1,False
7,0,3,HCRTR1_239,-7.999,CC=C(C(=O)NC)[C@@H](C)C[C@H](C)[C@@H]([C@H](O)C(=O)O)N(C)[C@@H](C)[C@H](CCCC)C1=C(O)C(C(C)C)=CCC=C1,False
7,0,4,HCRTR1_239,-7.949,CC=C(C(=O)NC)[C@@H](C)C[C@H](C)[C@@H]([C@H](O)C(=O)O)N(C)[C@@H](C)[C@H](CCCC)C1=C(O)C(C(C)C)=CCC=C1,False
8,0,0,HCRTR1_411,-7.752,CCCC1C=C([C@@H](C)OC[C@@H](CCC)CCCCCCCO)C=CC1[C@H](C)C(=CC(C)O)C(C)(C)C,True
8,0,1,HCRTR1_411,-7.67,CCCC1C=C([C@@H](C)OC[C@@H](CCC)CCCCCCCO)C=CC1[C@H](C)C(=CC(C)O)C(C)(C)C,False
8,0,2,HCRTR1_411,-7.587,CCCC1C=C([C@@H](C)OC[C@@H](CCC)CCCCCCCO)C=CC1[C@H](C)C(=CC(C)O)C(C)(C)C,False
8,0,3,HCRTR1_411,-7.503,CCCC1C=C([C@@H](C)OC[C@@H](CCC)CCCCCCCO)C=CC1[C@H](C)C(=CC(C)O)C(C)(C)C,False
8,0,4,HCRTR1_411,-7.314,CCCC1C=C([C@@H](C)OC[C@@H](CCC)CCCCCCCO)C=CC1[C@H](C)C(=CC(C)O)C(C)(C)C,False
9,0,0,HCRTR1_347,-8.174,CCCC(=Cc1ccc(O)c(C(=S)C(=O)O)c1)CC(C)=C=CCC(CC)CC,True
9,0,1,HCRTR1_347,-7.944,CCCC(=Cc1ccc(O)c(C(=S)C(=O)O)c1)CC(C)=C=CCC(CC)CC,False
9,0,2,HCRTR1_347,-7.796,CCCC(=Cc1ccc(O)c(C(=S)C(=O)O)c1)CC(C)=C=CCC(CC)CC,False
9,0,3,HCRTR1_347,-7.598,CCCC(=Cc1ccc(O)c(C(=S)C(=O)O)c1)CC(C)=C=CCC(CC)CC,False
9,0,4,HCRTR1_347,-7.474,CCCC(=Cc1ccc(O)c(C(=S)C(=O)O)c1)CC(C)=C=CCC(CC)CC,False
10,0,0,HCRTR1_339,-9.348,COC1=Cc2ccc(O)c(c2)CC[C@H](CCCO)[C@@H]2CCCCN2CC[C@@](C)(C(=O)O)CCCC=C1F,True
10,0,1,HCRTR1_339,-9.139,COC1=Cc2ccc(O)c(c2)CC[C@H](CCCO)[C@@H]2CCCCN2CC[C@@](C)(C(=O)O)CCCC=C1F,False
10,0,2,HCRTR1_339,-8.893,COC1=Cc2ccc(O)c(c2)CC[C@H](CCCO)[C@@H]2CCCCN2CC[C@@](C)(C(=O)O)CCCC=C1F,False
10,0,3,HCRTR1_339,-8.618,COC1=Cc2ccc(O)c(c2)CC[C@H](CCCO)[C@@H]2CCCCN2CC[C@@](C)(C(=O)O)CCCC=C1F,False
10,0,4,HCRTR1_339,-8.101,COC1=Cc2ccc(O)c(c2)CC[C@H](CCCO)[C@@H]2CCCCN2CC[C@@](C)(C(=O)O)CCCC=C1F,False
11,0,0,HCRTR1_400,-9.378,CCCC[C@]1(O)C=C2CC(=C=C(CCC)C=C3C[C@@H](C(N)=O)[C@H]1C(C)=C3C)[C@@](O)(OC)C2,True
11,0,1,HCRTR1_400,-9.133,CCCC[C@]1(O)C=C2CC(=C=C(CCC)C=C3C[C@@H](C(N)=O)[C@H]1C(C)=C3C)[C@@](O)(OC)C2,False
11,0,2,HCRTR1_400,-9.103,CCCC[C@]1(O)C=C2CC(=C=C(CCC)C=C3C[C@@H](C(N)=O)[C@H]1C(C)=C3C)[C@@](O)(OC)C2,False
11,0,3,HCRTR1_400,-8.911,CCCC[C@]1(O)C=C2CC(=C=C(CCC)C=C3C[C@@H](C(N)=O)[C@H]1C(C)=C3C)[C@@](O)(OC)C2,False
11,0,4,HCRTR1_400,-8.719,CCCC[C@]1(O)C=C2CC(=C=C(CCC)C=C3C[C@@H](C(N)=O)[C@H]1C(C)=C3C)[C@@](O)(OC)C2,False
12,0,0,HCRTR1_476,-8.945,C=CC1=C(OC)CC=C(OC(=O)CNCC)[C@H]1NC(=O)C1CC[C@H]([C@H](C)NC(C)=O)C1,True
12,0,1,HCRTR1_476,-8.753,C=CC1=C(OC)CC=C(OC(=O)CNCC)[C@H]1NC(=O)C1CC[C@H]([C@H](C)NC(C)=O)C1,False
12,0,2,HCRTR1_476,-8.391,C=CC1=C(OC)CC=C(OC(=O)CNCC)[C@H]1NC(=O)C1CC[C@H]([C@H](C)NC(C)=O)C1,False
12,0,3,HCRTR1_476,-8.389,C=CC1=C(OC)CC=C(OC(=O)CNCC)[C@H]1NC(=O)C1CC[C@H]([C@H](C)NC(C)=O)C1,False
12,0,4,HCRTR1_476,-8.238,C=CC1=C(OC)CC=C(OC(=O)CNCC)[C@H]1NC(=O)C1CC[C@H]([C@H](C)NC(C)=O)C1,False
13,0,0,HCRTR1_539,-7.037,CCCCCC=CC=C=C(Cl)C=CN(CCC(C)(C)C)NCC,True
13,0,1,HCRTR1_539,-7.019,CCCCCC=CC=C=C(Cl)C=CN(CCC(C)(C)C)NCC,False
13,0,2,HCRTR1_539,-6.792,CCCCCC=CC=C=C(Cl)C=CN(CCC(C)(C)C)NCC,False
13,0,3,HCRTR1_539,-6.787,CCCCCC=CC=C=C(Cl)C=CN(CCC(C)(C)C)NCC,False
13,0,4,HCRTR1_539,-6.786,CCCCCC=CC=C=C(Cl)C=CN(CCC(C)(C)C)NCC,False
14,0,0,HCRTR1_207,-9.017,CCCC[C@@H](CCCCC(C)C)C[C@H]1C(=O)OCC[C@H](O)[C@H](O)[C@@H]1[C@@H](CO)C(=O)CC[C@H]1CCCC[C@H]1CC,True
