ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,IDH1_90,-8.79,CC(C)[C@H](C)C1C=C(CCN[C@@H](C)CC[C@@H]2CCC=C[C@@H](O)C2)CC=C1O,True
0,0,1,IDH1_90,-8.746,CC(C)[C@H](C)C1C=C(CCN[C@@H](C)CC[C@@H]2CCC=C[C@@H](O)C2)CC=C1O,False
0,0,2,IDH1_90,-8.652,CC(C)[C@H](C)C1C=C(CCN[C@@H](C)CC[C@@H]2CCC=C[C@@H](O)C2)CC=C1O,False
0,0,3,IDH1_90,-8.622,CC(C)[C@H](C)C1C=C(CCN[C@@H](C)CC[C@@H]2CCC=C[C@@H](O)C2)CC=C1O,False
0,0,4,IDH1_90,-8.496,CC(C)[C@H](C)C1C=C(CCN[C@@H](C)CC[C@@H]2CCC=C[C@@H](O)C2)CC=C1O,False
1,0,0,IDH1_217,-9.562,CC=C(C)CC1C=C([C@@H](O)[C@H](O[C@@H]2CC[C@@H]3C(C)=CCC=C3O2)[C@H](O)CC)CC(C)=N1,True
1,0,1,IDH1_217,-9.367,CC=C(C)CC1C=C([C@@H](O)[C@H](O[C@@H]2CC[C@@H]3C(C)=CCC=C3O2)[C@H](O)CC)CC(C)=N1,False
1,0,2,IDH1_217,-9.259,CC=C(C)CC1C=C([C@@H](O)[C@H](O[C@@H]2CC[C@@H]3C(C)=CCC=C3O2)[C@H](O)CC)CC(C)=N1,False
1,0,3,IDH1_217,-8.97,CC=C(C)CC1C=C([C@@H](O)[C@H](O[C@@H]2CC[C@@H]3C(C)=CCC=C3O2)[C@H](O)CC)CC(C)=N1,False
1,0,4,IDH1_217,-8.871,CC=C(C)CC1C=C([C@@H](O)[C@H](O[C@@H]2CC[C@@H]3C(C)=CCC=C3O2)[C@H](O)CC)CC(C)=N1,False
2,0,0,IDH1_694,-7.663,CCC(C)(C)CC1=CCC=CC1CSC=C=C(OC(C)C)C(=N)NCCCCOC,True
