ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,JAK1_450,-4.625,C[C@H]1Oc2cccc3c2C[C@H](N3)[C@@H]2CCC(C2)N=C2CC(=CC[C@H]1N)NN2,True
0,0,1,JAK1_450,-4.343,C[C@H]1Oc2cccc3c2C[C@H](N3)[C@@H]2CCC(C2)N=C2CC(=CC[C@H]1N)NN2,False
0,0,2,JAK1_450,-4.274,C[C@H]1Oc2cccc3c2C[C@H](N3)[C@@H]2CCC(C2)N=C2CC(=CC[C@H]1N)NN2,False
0,0,3,JAK1_450,-4.091,C[C@H]1Oc2cccc3c2C[C@H](N3)[C@@H]2CCC(C2)N=C2CC(=CC[C@H]1N)NN2,False
0,0,4,JAK1_450,-4.009,C[C@H]1Oc2cccc3c2C[C@H](N3)[C@@H]2CCC(C2)N=C2CC(=CC[C@H]1N)NN2,False
1,0,0,JAK1_80,-7.372,CCC[C@H](CC)CC=C(C(=O)O)C1=C(C)NC(=N)[C@H]1Cl,True
1,0,1,JAK1_80,-7.292,CCC[C@H](CC)CC=C(C(=O)O)C1=C(C)NC(=N)[C@H]1Cl,False
1,0,2,JAK1_80,-7.278,CCC[C@H](CC)CC=C(C(=O)O)C1=C(C)NC(=N)[C@H]1Cl,False
1,0,3,JAK1_80,-7.241,CCC[C@H](CC)CC=C(C(=O)O)C1=C(C)NC(=N)[C@H]1Cl,False
1,0,4,JAK1_80,-7.217,CCC[C@H](CC)CC=C(C(=O)O)C1=C(C)NC(=N)[C@H]1Cl,False
2,0,0,JAK1_445,-8.211,CN1C(=O)CC[C@@H](CC(C=CC2C=NC(=O)C(C=O)=C2)N=CF)C1=O,True
2,0,1,JAK1_445,-8.157,CN1C(=O)CC[C@@H](CC(C=CC2C=NC(=O)C(C=O)=C2)N=CF)C1=O,False
2,0,2,JAK1_445,-8.038,CN1C(=O)CC[C@@H](CC(C=CC2C=NC(=O)C(C=O)=C2)N=CF)C1=O,False
2,0,3,JAK1_445,-7.829,CN1C(=O)CC[C@@H](CC(C=CC2C=NC(=O)C(C=O)=C2)N=CF)C1=O,False
2,0,4,JAK1_445,-7.632,CN1C(=O)CC[C@@H](CC(C=CC2C=NC(=O)C(C=O)=C2)N=CF)C1=O,False
3,0,0,JAK1_841,-6.608,CN[C@H]1C=NNC(=S)[C@H]1N[C@@H](C)CCC(=O)O,True
3,0,1,JAK1_841,-6.486,CN[C@H]1C=NNC(=S)[C@H]1N[C@@H](C)CCC(=O)O,False
3,0,2,JAK1_841,-6.309,CN[C@H]1C=NNC(=S)[C@H]1N[C@@H](C)CCC(=O)O,False
3,0,3,JAK1_841,-6.119,CN[C@H]1C=NNC(=S)[C@H]1N[C@@H](C)CCC(=O)O,False
3,0,4,JAK1_841,-6.09,CN[C@H]1C=NNC(=S)[C@H]1N[C@@H](C)CCC(=O)O,False
4,0,0,JAK1_821,-7.311,CCCC=C[C@H](O[C@H]1CCC2N=CCC=C21)C(C)C,True
4,0,1,JAK1_821,-6.937,CCCC=C[C@H](O[C@H]1CCC2N=CCC=C21)C(C)C,False
4,0,2,JAK1_821,-6.928,CCCC=C[C@H](O[C@H]1CCC2N=CCC=C21)C(C)C,False
4,0,3,JAK1_821,-6.848,CCCC=C[C@H](O[C@H]1CCC2N=CCC=C21)C(C)C,False
