ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,KDM1A_273,-5.763,CCC[C@@H](CCCCCC(=O)O)O[C@H](C=CC[C@@H](C)OCC)CCC,True
0,0,1,KDM1A_273,-5.753,CCC[C@@H](CCCCCC(=O)O)O[C@H](C=CC[C@@H](C)OCC)CCC,False
0,0,2,KDM1A_273,-5.713,CCC[C@@H](CCCCCC(=O)O)O[C@H](C=CC[C@@H](C)OCC)CCC,False
0,0,3,KDM1A_273,-5.593,CCC[C@@H](CCCCCC(=O)O)O[C@H](C=CC[C@@H](C)OCC)CCC,False
0,0,4,KDM1A_273,-5.583,CCC[C@@H](CCCCCC(=O)O)O[C@H](C=CC[C@@H](C)OCC)CCC,False
1,0,0,KDM1A_296,-7.859,CCC(=O)NC[C@@H](C=CCC=CC#CC1=C[C@H](Cl)C=C2[C@@H]1OC(=O)N2CC[C@H]1CCOC1)CC,True
1,0,1,KDM1A_296,-7.478,CCC(=O)NC[C@@H](C=CCC=CC#CC1=C[C@H](Cl)C=C2[C@@H]1OC(=O)N2CC[C@H]1CCOC1)CC,False
1,0,2,KDM1A_296,-7.469,CCC(=O)NC[C@@H](C=CCC=CC#CC1=C[C@H](Cl)C=C2[C@@H]1OC(=O)N2CC[C@H]1CCOC1)CC,False
1,0,3,KDM1A_296,-7.444,CCC(=O)NC[C@@H](C=CCC=CC#CC1=C[C@H](Cl)C=C2[C@@H]1OC(=O)N2CC[C@H]1CCOC1)CC,False
1,0,4,KDM1A_296,-7.39,CCC(=O)NC[C@@H](C=CCC=CC#CC1=C[C@H](Cl)C=C2[C@@H]1OC(=O)N2CC[C@H]1CCOC1)CC,False
2,0,0,KDM1A_124,-7.409,CC1=CCO[C@H]2[C@@H]1[C@H](C[C@@H](C[C@H]1CC[C@@H](C)C1)[C@@H]1C(Cl)=C[C@](F)(N=C(C)C)C=C1C(=O)O)C[C@@H]2C,True
2,0,1,KDM1A_124,-7.37,CC1=CCO[C@H]2[C@@H]1[C@H](C[C@@H](C[C@H]1CC[C@@H](C)C1)[C@@H]1C(Cl)=C[C@](F)(N=C(C)C)C=C1C(=O)O)C[C@@H]2C,False
2,0,2,KDM1A_124,-7.369,CC1=CCO[C@H]2[C@@H]1[C@H](C[C@@H](C[C@H]1CC[C@@H](C)C1)[C@@H]1C(Cl)=C[C@](F)(N=C(C)C)C=C1C(=O)O)C[C@@H]2C,False
2,0,3,KDM1A_124,-7.253,CC1=CCO[C@H]2[C@@H]1[C@H](C[C@@H](C[C@H]1CC[C@@H](C)C1)[C@@H]1C(Cl)=C[C@](F)(N=C(C)C)C=C1C(=O)O)C[C@@H]2C,False
2,0,4,KDM1A_124,-7.107,CC1=CCO[C@H]2[C@@H]1[C@H](C[C@@H](C[C@H]1CC[C@@H](C)C1)[C@@H]1C(Cl)=C[C@](F)(N=C(C)C)C=C1C(=O)O)C[C@@H]2C,False
3,0,0,KDM1A_480,-6.261,C=CN(C[C@H]1CCCC[C@@H]1[C@@H]([C@H](CCCN)C(Cl)=COC)N(O)OCC=C=C[C@H](O)CC)OCC,True
3,0,1,KDM1A_480,-6.191,C=CN(C[C@H]1CCCC[C@@H]1[C@@H]([C@H](CCCN)C(Cl)=COC)N(O)OCC=C=C[C@H](O)CC)OCC,False
3,0,2,KDM1A_480,-6.187,C=CN(C[C@H]1CCCC[C@@H]1[C@@H]([C@H](CCCN)C(Cl)=COC)N(O)OCC=C=C[C@H](O)CC)OCC,False
3,0,3,KDM1A_480,-5.906,C=CN(C[C@H]1CCCC[C@@H]1[C@@H]([C@H](CCCN)C(Cl)=COC)N(O)OCC=C=C[C@H](O)CC)OCC,False
3,0,4,KDM1A_480,-5.849,C=CN(C[C@H]1CCCC[C@@H]1[C@@H]([C@H](CCCN)C(Cl)=COC)N(O)OCC=C=C[C@H](O)CC)OCC,False
4,0,0,KDM1A_315,-7.37,C#CC[C@@]1(O)C=C[C@H](CC(C)C)C=C(C=C)C[C@](O)(NC(C)(C)CO)NC2=C[C@@H](C)[C@H](CN1)[C@@H](OC)C2,True
4,0,1,KDM1A_315,-7.256,C#CC[C@@]1(O)C=C[C@H](CC(C)C)C=C(C=C)C[C@](O)(NC(C)(C)CO)NC2=C[C@@H](C)[C@H](CN1)[C@@H](OC)C2,False
4,0,2,KDM1A_315,-7.024,C#CC[C@@]1(O)C=C[C@H](CC(C)C)C=C(C=C)C[C@](O)(NC(C)(C)CO)NC2=C[C@@H](C)[C@H](CN1)[C@@H](OC)C2,False
