ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,NR4A1_448,-5.423,CC(C)CCC=C(S)C(NCO)c1ccc(Cl)c(OO)c1,True
0,0,1,NR4A1_448,-5.412,CC(C)CCC=C(S)C(NCO)c1ccc(Cl)c(OO)c1,False
0,0,2,NR4A1_448,-5.361,CC(C)CCC=C(S)C(NCO)c1ccc(Cl)c(OO)c1,False
0,0,3,NR4A1_448,-5.361,CC(C)CCC=C(S)C(NCO)c1ccc(Cl)c(OO)c1,False
0,0,4,NR4A1_448,-5.209,CC(C)CCC=C(S)C(NCO)c1ccc(Cl)c(OO)c1,False
1,0,0,NR4A1_470,-5.095,CC=C(C)CC[C@H](CC(O)=C[C@H](F)CCCCCCCC(C)O)OC(C)CO,True
1,0,1,NR4A1_470,-5.033,CC=C(C)CC[C@H](CC(O)=C[C@H](F)CCCCCCCC(C)O)OC(C)CO,False
1,0,2,NR4A1_470,-4.933,CC=C(C)CC[C@H](CC(O)=C[C@H](F)CCCCCCCC(C)O)OC(C)CO,False
1,0,3,NR4A1_470,-4.809,CC=C(C)CC[C@H](CC(O)=C[C@H](F)CCCCCCCC(C)O)OC(C)CO,False
1,0,4,NR4A1_470,-4.803,CC=C(C)CC[C@H](CC(O)=C[C@H](F)CCCCCCCC(C)O)OC(C)CO,False
2,0,0,NR4A1_317,-6.384,CCOCC1C=CC([C@H](O)[C@H](CCCO)[C@H](O)C2C=CC(F)(F)C=C2)C([C@@H](O)CO)=C1,True
2,0,1,NR4A1_317,-6.15,CCOCC1C=CC([C@H](O)[C@H](CCCO)[C@H](O)C2C=CC(F)(F)C=C2)C([C@@H](O)CO)=C1,False
2,0,2,NR4A1_317,-5.877,CCOCC1C=CC([C@H](O)[C@H](CCCO)[C@H](O)C2C=CC(F)(F)C=C2)C([C@@H](O)CO)=C1,False
2,0,3,NR4A1_317,-5.872,CCOCC1C=CC([C@H](O)[C@H](CCCO)[C@H](O)C2C=CC(F)(F)C=C2)C([C@@H](O)CO)=C1,False
2,0,4,NR4A1_317,-5.84,CCOCC1C=CC([C@H](O)[C@H](CCCO)[C@H](O)C2C=CC(F)(F)C=C2)C([C@@H](O)CO)=C1,False
3,0,0,NR4A1_161,-5.72,CCCCN(CO)CCCC[C@@H](CC[C@](C)(O)CF)C(=O)Nc1cc(Cl)ccc1C(O)F,True
3,0,1,NR4A1_161,-5.702,CCCCN(CO)CCCC[C@@H](CC[C@](C)(O)CF)C(=O)Nc1cc(Cl)ccc1C(O)F,False
3,0,2,NR4A1_161,-5.646,CCCCN(CO)CCCC[C@@H](CC[C@](C)(O)CF)C(=O)Nc1cc(Cl)ccc1C(O)F,False
3,0,3,NR4A1_161,-5.488,CCCCN(CO)CCCC[C@@H](CC[C@](C)(O)CF)C(=O)Nc1cc(Cl)ccc1C(O)F,False
3,0,4,NR4A1_161,-5.469,CCCCN(CO)CCCC[C@@H](CC[C@](C)(O)CF)C(=O)Nc1cc(Cl)ccc1C(O)F,False
4,0,0,NR4A1_478,-6.098,CCCC#CC(=C=C1CCCC1)C(O)=C=C(C1CO[C@@H](C#N)C1)N(O)O,True
4,0,1,NR4A1_478,-6.0,CCCC#CC(=C=C1CCCC1)C(O)=C=C(C1CO[C@@H](C#N)C1)N(O)O,False
4,0,2,NR4A1_478,-5.607,CCCC#CC(=C=C1CCCC1)C(O)=C=C(C1CO[C@@H](C#N)C1)N(O)O,False
4,0,3,NR4A1_478,-5.48,CCCC#CC(=C=C1CCCC1)C(O)=C=C(C1CO[C@@H](C#N)C1)N(O)O,False
4,0,4,NR4A1_478,-5.457,CCCC#CC(=C=C1CCCC1)C(O)=C=C(C1CO[C@@H](C#N)C1)N(O)O,False
5,0,0,NR4A1_307,-5.934,COCC=C[C@@H](CCOSC1C[C@H]([C@H](O)CN)NN1C(C)(C)C(C)C)C(O)F,True
5,0,1,NR4A1_307,-5.78,COCC=C[C@@H](CCOSC1C[C@H]([C@H](O)CN)NN1C(C)(C)C(C)C)C(O)F,False
5,0,2,NR4A1_307,-5.777,COCC=C[C@@H](CCOSC1C[C@H]([C@H](O)CN)NN1C(C)(C)C(C)C)C(O)F,False
5,0,3,NR4A1_307,-5.773,COCC=C[C@@H](CCOSC1C[C@H]([C@H](O)CN)NN1C(C)(C)C(C)C)C(O)F,False
5,0,4,NR4A1_307,-5.764,COCC=C[C@@H](CCOSC1C[C@H]([C@H](O)CN)NN1C(C)(C)C(C)C)C(O)F,False
6,0,0,NR4A1_487,-6.005,CC1CSC(=C(O)C(O)C=C2C=C(O[C@@H](C)C[C@H](C)O)C(NC[C@H](C)N)=CC2)C1,True
6,0,1,NR4A1_487,-5.917,CC1CSC(=C(O)C(O)C=C2C=C(O[C@@H](C)C[C@H](C)O)C(NC[C@H](C)N)=CC2)C1,False
6,0,2,NR4A1_487,-5.911,CC1CSC(=C(O)C(O)C=C2C=C(O[C@@H](C)C[C@H](C)O)C(NC[C@H](C)N)=CC2)C1,False
6,0,3,NR4A1_487,-5.837,CC1CSC(=C(O)C(O)C=C2C=C(O[C@@H](C)C[C@H](C)O)C(NC[C@H](C)N)=CC2)C1,False
6,0,4,NR4A1_487,-5.803,CC1CSC(=C(O)C(O)C=C2C=C(O[C@@H](C)C[C@H](C)O)C(NC[C@H](C)N)=CC2)C1,False
7,0,0,NR4A1_417,-6.601,CCC#C[C@H](C=CCN)[C@@H](CC[C@@H](c1ccccc1C)c1ccc(F)cc1O)C(=O)O,True
7,0,1,NR4A1_417,-6.478,CCC#C[C@H](C=CCN)[C@@H](CC[C@@H](c1ccccc1C)c1ccc(F)cc1O)C(=O)O,False
7,0,2,NR4A1_417,-6.218,CCC#C[C@H](C=CCN)[C@@H](CC[C@@H](c1ccccc1C)c1ccc(F)cc1O)C(=O)O,False
7,0,3,NR4A1_417,-6.179,CCC#C[C@H](C=CCN)[C@@H](CC[C@@H](c1ccccc1C)c1ccc(F)cc1O)C(=O)O,False
7,0,4,NR4A1_417,-6.087,CCC#C[C@H](C=CCN)[C@@H](CC[C@@H](c1ccccc1C)c1ccc(F)cc1O)C(=O)O,False
8,0,0,NR4A1_146,-5.794,CCCCC1S[C@H](C(O)C=C(O)CC[C@@H](C)C(=O)O)C[C@H]1CCO,True
8,0,1,NR4A1_146,-5.732,CCCCC1S[C@H](C(O)C=C(O)CC[C@@H](C)C(=O)O)C[C@H]1CCO,False
8,0,2,NR4A1_146,-5.452,CCCCC1S[C@H](C(O)C=C(O)CC[C@@H](C)C(=O)O)C[C@H]1CCO,False
8,0,3,NR4A1_146,-5.441,CCCCC1S[C@H](C(O)C=C(O)CC[C@@H](C)C(=O)O)C[C@H]1CCO,False
8,0,4,NR4A1_146,-5.361,CCCCC1S[C@H](C(O)C=C(O)CC[C@@H](C)C(=O)O)C[C@H]1CCO,False
9,0,0,NR4A1_175,-6.489,CCCCCC1=CC(NC(=O)c2ccc(OC)cc2)C=C(O)[C@H]1C,True
9,0,1,NR4A1_175,-6.153,CCCCCC1=CC(NC(=O)c2ccc(OC)cc2)C=C(O)[C@H]1C,False
9,0,2,NR4A1_175,-5.804,CCCCCC1=CC(NC(=O)c2ccc(OC)cc2)C=C(O)[C@H]1C,False
9,0,3,NR4A1_175,-5.564,CCCCCC1=CC(NC(=O)c2ccc(OC)cc2)C=C(O)[C@H]1C,False
9,0,4,NR4A1_175,-5.473,CCCCCC1=CC(NC(=O)c2ccc(OC)cc2)C=C(O)[C@H]1C,False
10,0,0,NR4A1_205,-5.442,CCCCCC[C@@H](CC[C@@H]1CC[C@H](C)C1)C(=CCCN)C(=O)NCC(=O)COCC,True
