ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,P2RX3_4,-6.299,CCC[C@@H](O)[C@@H](COC1=C(Cl)C(=NCO)NC1)CO[PH](O)(O)OP(O)O,True
0,0,1,P2RX3_4,-6.282,CCC[C@@H](O)[C@@H](COC1=C(Cl)C(=NCO)NC1)CO[PH](O)(O)OP(O)O,False
0,0,2,P2RX3_4,-6.217,CCC[C@@H](O)[C@@H](COC1=C(Cl)C(=NCO)NC1)CO[PH](O)(O)OP(O)O,False
0,0,3,P2RX3_4,-6.208,CCC[C@@H](O)[C@@H](COC1=C(Cl)C(=NCO)NC1)CO[PH](O)(O)OP(O)O,False
0,0,4,P2RX3_4,-6.159,CCC[C@@H](O)[C@@H](COC1=C(Cl)C(=NCO)NC1)CO[PH](O)(O)OP(O)O,False
1,0,0,P2RX3_129,-7.508,O=C(O)C(O)=CO[C@](O)(COP(O)O[PH](O)(O)O)[C@@H](O)C1C=CC(C(=O)O)C(Cl)=N1,True
1,0,1,P2RX3_129,-6.756,O=C(O)C(O)=CO[C@](O)(COP(O)O[PH](O)(O)O)[C@@H](O)C1C=CC(C(=O)O)C(Cl)=N1,False
1,0,2,P2RX3_129,-6.703,O=C(O)C(O)=CO[C@](O)(COP(O)O[PH](O)(O)O)[C@@H](O)C1C=CC(C(=O)O)C(Cl)=N1,False
1,0,3,P2RX3_129,-6.613,O=C(O)C(O)=CO[C@](O)(COP(O)O[PH](O)(O)O)[C@@H](O)C1C=CC(C(=O)O)C(Cl)=N1,False
1,0,4,P2RX3_129,-6.608,O=C(O)C(O)=CO[C@](O)(COP(O)O[PH](O)(O)O)[C@@H](O)C1C=CC(C(=O)O)C(Cl)=N1,False
2,0,0,P2RX3_87,-6.114,CN(O)C1CC(CCC[C@H](C(=O)O)C(=O)OP(O)O)C(=C2NCCN2)S1,True
2,0,1,P2RX3_87,-6.056,CN(O)C1CC(CCC[C@H](C(=O)O)C(=O)OP(O)O)C(=C2NCCN2)S1,False
2,0,2,P2RX3_87,-5.849,CN(O)C1CC(CCC[C@H](C(=O)O)C(=O)OP(O)O)C(=C2NCCN2)S1,False
2,0,3,P2RX3_87,-5.808,CN(O)C1CC(CCC[C@H](C(=O)O)C(=O)OP(O)O)C(=C2NCCN2)S1,False
2,0,4,P2RX3_87,-5.791,CN(O)C1CC(CCC[C@H](C(=O)O)C(=O)OP(O)O)C(=C2NCCN2)S1,False
3,0,0,P2RX3_229,-7.138,CCCC[C@@H](OCC[PH](O)(O)O)C(N=C1C=CC=NC(=O)C1)=NC(=O)C=C=C[PH](O)(O)O,True
3,0,1,P2RX3_229,-6.885,CCCC[C@@H](OCC[PH](O)(O)O)C(N=C1C=CC=NC(=O)C1)=NC(=O)C=C=C[PH](O)(O)O,False
3,0,2,P2RX3_229,-6.884,CCCC[C@@H](OCC[PH](O)(O)O)C(N=C1C=CC=NC(=O)C1)=NC(=O)C=C=C[PH](O)(O)O,False
3,0,3,P2RX3_229,-6.817,CCCC[C@@H](OCC[PH](O)(O)O)C(N=C1C=CC=NC(=O)C1)=NC(=O)C=C=C[PH](O)(O)O,False
