ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,RIOK1_863,-8.666,CC(C)OC[C@@H](C[C@H](O)[C@@H](F)NC(=O)c1ccccc1)Oc1cccc(S(N)(O)O)c1,True
0,0,1,RIOK1_863,-8.373,CC(C)OC[C@@H](C[C@H](O)[C@@H](F)NC(=O)c1ccccc1)Oc1cccc(S(N)(O)O)c1,False
0,0,2,RIOK1_863,-8.267,CC(C)OC[C@@H](C[C@H](O)[C@@H](F)NC(=O)c1ccccc1)Oc1cccc(S(N)(O)O)c1,False
0,0,3,RIOK1_863,-8.224,CC(C)OC[C@@H](C[C@H](O)[C@@H](F)NC(=O)c1ccccc1)Oc1cccc(S(N)(O)O)c1,False
0,0,4,RIOK1_863,-8.112,CC(C)OC[C@@H](C[C@H](O)[C@@H](F)NC(=O)c1ccccc1)Oc1cccc(S(N)(O)O)c1,False
1,0,0,RIOK1_480,-7.027,CN1CC=CC(C(=O)O)=C1N[C@H](C[C@@H](O)CO)c1cccc(Cl)c1,True
1,0,1,RIOK1_480,-6.889,CN1CC=CC(C(=O)O)=C1N[C@H](C[C@@H](O)CO)c1cccc(Cl)c1,False
1,0,2,RIOK1_480,-6.658,CN1CC=CC(C(=O)O)=C1N[C@H](C[C@@H](O)CO)c1cccc(Cl)c1,False
1,0,3,RIOK1_480,-6.568,CN1CC=CC(C(=O)O)=C1N[C@H](C[C@@H](O)CO)c1cccc(Cl)c1,False
1,0,4,RIOK1_480,-6.531,CN1CC=CC(C(=O)O)=C1N[C@H](C[C@@H](O)CO)c1cccc(Cl)c1,False
2,0,0,RIOK1_194,-6.799,CC[C@H]1C2=CC3=C(CC=CC3C=C2)[C@@H](C)CS(O)(O)C2=C[C@@H](C(O)=C(C)[C@H]2C)[C@@H]1O,True
2,0,1,RIOK1_194,-6.68,CC[C@H]1C2=CC3=C(CC=CC3C=C2)[C@@H](C)CS(O)(O)C2=C[C@@H](C(O)=C(C)[C@H]2C)[C@@H]1O,False
