ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,SPIN1_219,-8.592,Cc1ccc(CNC(=O)c2ccc(Cl)c(CCN)c2)cc1C,True
0,0,1,SPIN1_219,-8.478,Cc1ccc(CNC(=O)c2ccc(Cl)c(CCN)c2)cc1C,False
0,0,2,SPIN1_219,-8.344,Cc1ccc(CNC(=O)c2ccc(Cl)c(CCN)c2)cc1C,False
0,0,3,SPIN1_219,-8.127,Cc1ccc(CNC(=O)c2ccc(Cl)c(CCN)c2)cc1C,False
0,0,4,SPIN1_219,-7.66,Cc1ccc(CNC(=O)c2ccc(Cl)c(CCN)c2)cc1C,False
1,0,0,SPIN1_132,-7.754,CC/[C]=[S]/CCC(=O)ONC[C@H]1C[C@@]2(CC=CC(C)C=C[C@@H](C)CN(C)CNC2=O)C[C@@H](CC2=CCC(CCC)=NC2)N1,True
1,0,1,SPIN1_132,-7.532,CC/[C]=[S]/CCC(=O)ONC[C@H]1C[C@@]2(CC=CC(C)C=C[C@@H](C)CN(C)CNC2=O)C[C@@H](CC2=CCC(CCC)=NC2)N1,False
1,0,2,SPIN1_132,-7.316,CC/[C]=[S]/CCC(=O)ONC[C@H]1C[C@@]2(CC=CC(C)C=C[C@@H](C)CN(C)CNC2=O)C[C@@H](CC2=CCC(CCC)=NC2)N1,False
1,0,3,SPIN1_132,-7.291,CC/[C]=[S]/CCC(=O)ONC[C@H]1C[C@@]2(CC=CC(C)C=C[C@@H](C)CN(C)CNC2=O)C[C@@H](CC2=CCC(CCC)=NC2)N1,False
1,0,4,SPIN1_132,-7.291,CC/[C]=[S]/CCC(=O)ONC[C@H]1C[C@@]2(CC=CC(C)C=C[C@@H](C)CN(C)CNC2=O)C[C@@H](CC2=CCC(CCC)=NC2)N1,False
2,0,0,SPIN1_30,-8.095,CC=C=CCCCCCN1[C@@H](O)[C@H]([C@@H](O)C2C=CCC(C)=C2)O[C@@]1(O)C=C=COCCOCCl,True
2,0,1,SPIN1_30,-7.82,CC=C=CCCCCCN1[C@@H](O)[C@H]([C@@H](O)C2C=CCC(C)=C2)O[C@@]1(O)C=C=COCCOCCl,False
2,0,2,SPIN1_30,-7.678,CC=C=CCCCCCN1[C@@H](O)[C@H]([C@@H](O)C2C=CCC(C)=C2)O[C@@]1(O)C=C=COCCOCCl,False
2,0,3,SPIN1_30,-7.484,CC=C=CCCCCCN1[C@@H](O)[C@H]([C@@H](O)C2C=CCC(C)=C2)O[C@@]1(O)C=C=COCCOCCl,False
2,0,4,SPIN1_30,-7.358,CC=C=CCCCCCN1[C@@H](O)[C@H]([C@@H](O)C2C=CCC(C)=C2)O[C@@]1(O)C=C=COCCOCCl,False
3,0,0,SPIN1_4,-6.94,C[C@H](CCC=CN)CCC[C@@H]1C=C(OCCC#CCCl)NC(CCC=C=CCN)=N1,True
3,0,1,SPIN1_4,-6.836,C[C@H](CCC=CN)CCC[C@@H]1C=C(OCCC#CCCl)NC(CCC=C=CCN)=N1,False
3,0,2,SPIN1_4,-6.673,C[C@H](CCC=CN)CCC[C@@H]1C=C(OCCC#CCCl)NC(CCC=C=CCN)=N1,False
3,0,3,SPIN1_4,-6.577,C[C@H](CCC=CN)CCC[C@@H]1C=C(OCCC#CCCl)NC(CCC=C=CCN)=N1,False
3,0,4,SPIN1_4,-6.507,C[C@H](CCC=CN)CCC[C@@H]1C=C(OCCC#CCCl)NC(CCC=C=CCN)=N1,False
4,0,0,SPIN1_222,-7.856,CC#CCCC1=C(O)[C@@H](C(=O)C2=NC(CN[C@H](C)C=NCCCCN)N=C(O[C@H]3CCN[C@H]3C=CCC)C2)C(C)=CC1,True
4,0,1,SPIN1_222,-7.566,CC#CCCC1=C(O)[C@@H](C(=O)C2=NC(CN[C@H](C)C=NCCCCN)N=C(O[C@H]3CCN[C@H]3C=CCC)C2)C(C)=CC1,False
4,0,2,SPIN1_222,-7.43,CC#CCCC1=C(O)[C@@H](C(=O)C2=NC(CN[C@H](C)C=NCCCCN)N=C(O[C@H]3CCN[C@H]3C=CCC)C2)C(C)=CC1,False
4,0,3,SPIN1_222,-7.294,CC#CCCC1=C(O)[C@@H](C(=O)C2=NC(CN[C@H](C)C=NCCCCN)N=C(O[C@H]3CCN[C@H]3C=CCC)C2)C(C)=CC1,False
4,0,4,SPIN1_222,-7.052,CC#CCCC1=C(O)[C@@H](C(=O)C2=NC(CN[C@H](C)C=NCCCCN)N=C(O[C@H]3CCN[C@H]3C=CCC)C2)C(C)=CC1,False
5,0,0,SPIN1_48,-7.683,CNC1=NC[C@](CCOc2ccccc2C)(NC(=O)c2cccc(COC)c2)N1,True
5,0,1,SPIN1_48,-7.606,CNC1=NC[C@](CCOc2ccccc2C)(NC(=O)c2cccc(COC)c2)N1,False
