confidence_score,ptm,iptm,ligand_iptm,protein_iptm,complex_plddt,complex_iplddt,complex_pde,complex_ipde,chains_ptm_0,chains_ptm_1,pair_chains_iptm_0_0,pair_chains_iptm_0_1,pair_chains_iptm_1_0,pair_chains_iptm_1_1,ligand_id,gene_id,yaml
0.768,0.849,0.704,0.704,0.000,0.784,0.642,1.007,3.888,0.862,0.767,0.862,0.191,0.704,0.767,10,CCR9,CCR9_10
0.775,0.853,0.659,0.659,0.000,0.805,0.662,1.005,3.684,0.867,0.894,0.867,0.283,0.659,0.894,101,CCR9,CCR9_101
0.738,0.841,0.566,0.566,0.000,0.781,0.545,1.245,5.701,0.868,0.789,0.868,0.192,0.566,0.789,115,CCR9,CCR9_115
0.711,0.838,0.421,0.421,0.000,0.783,0.488,1.202,6.322,0.865,0.755,0.865,0.106,0.421,0.755,118,CCR9,CCR9_118
0.722,0.823,0.542,0.542,0.000,0.767,0.500,1.200,4.785,0.853,0.790,0.853,0.143,0.542,0.790,127,CCR9,CCR9_127
0.741,0.857,0.524,0.524,0.000,0.795,0.501,1.120,8.708,0.879,0.880,0.879,0.168,0.524,0.880,129,CCR9,CCR9_129
0.714,0.837,0.469,0.469,0.000,0.775,0.491,1.223,5.267,0.875,0.741,0.875,0.111,0.469,0.741,133,CCR9,CCR9_133
0.723,0.834,0.517,0.517,0.000,0.774,0.519,1.263,6.159,0.865,0.806,0.865,0.132,0.517,0.806,135,CCR9,CCR9_135
0.730,0.839,0.537,0.537,0.000,0.779,0.546,1.343,6.448,0.871,0.763,0.871,0.193,0.537,0.763,138,CCR9,CCR9_138
0.833,0.882,0.886,0.886,0.000,0.820,0.788,0.577,1.447,0.884,0.907,0.884,0.363,0.886,0.907,143,CCR9,CCR9_143
0.771,0.858,0.632,0.632,0.000,0.806,0.625,0.874,3.803,0.874,0.761,0.874,0.148,0.632,0.761,146,CCR9,CCR9_146
0.827,0.886,0.879,0.879,0.000,0.814,0.717,0.732,2.313,0.888,0.887,0.888,0.440,0.879,0.887,147,CCR9,CCR9_147
0.699,0.830,0.410,0.410,0.000,0.771,0.461,1.340,6.890,0.862,0.835,0.862,0.116,0.410,0.835,148,CCR9,CCR9_148
0.784,0.872,0.715,0.715,0.000,0.801,0.668,0.716,2.705,0.884,0.844,0.884,0.174,0.715,0.844,15,CCR9,CCR9_15
0.696,0.839,0.375,0.375,0.000,0.776,0.449,1.572,10.243,0.877,0.805,0.877,0.119,0.375,0.805,151,CCR9,CCR9_151
0.771,0.855,0.681,0.681,0.000,0.793,0.622,1.054,4.584,0.870,0.777,0.870,0.189,0.681,0.777,154,CCR9,CCR9_154
0.857,0.907,0.862,0.862,0.000,0.855,0.813,0.582,1.717,0.910,0.910,0.910,0.308,0.862,0.910,157,CCR9,CCR9_157
0.699,0.836,0.401,0.401,0.000,0.774,0.494,1.575,9.644,0.874,0.772,0.874,0.110,0.401,0.772,162,CCR9,CCR9_162
0.773,0.879,0.593,0.593,0.000,0.818,0.620,0.869,5.073,0.890,0.919,0.890,0.123,0.593,0.919,163,CCR9,CCR9_163
0.703,0.830,0.449,0.449,0.000,0.766,0.459,1.396,6.928,0.866,0.756,0.866,0.111,0.449,0.756,164,CCR9,CCR9_164
0.778,0.868,0.681,0.681,0.000,0.803,0.593,0.975,5.197,0.884,0.833,0.884,0.242,0.681,0.833,167,CCR9,CCR9_167
0.723,0.853,0.480,0.480,0.000,0.783,0.524,1.267,6.858,0.882,0.780,0.882,0.124,0.480,0.780,168,CCR9,CCR9_168
0.750,0.848,0.623,0.623,0.000,0.781,0.541,0.991,3.752,0.872,0.754,0.872,0.192,0.623,0.754,17,CCR9,CCR9_17
0.728,0.833,0.502,0.502,0.000,0.785,0.537,1.126,5.056,0.858,0.844,0.858,0.119,0.502,0.844,176,CCR9,CCR9_176
0.809,0.887,0.800,0.800,0.000,0.811,0.668,0.766,3.404,0.893,0.917,0.893,0.332,0.800,0.917,178,CCR9,CCR9_178
0.707,0.834,0.440,0.440,0.000,0.774,0.502,1.220,6.559,0.866,0.868,0.866,0.134,0.440,0.868,18,CCR9,CCR9_18
0.724,0.817,0.564,0.564,0.000,0.763,0.521,1.226,5.564,0.841,0.772,0.841,0.159,0.564,0.772,180,CCR9,CCR9_180
0.789,0.862,0.760,0.760,0.000,0.796,0.639,0.913,3.839,0.872,0.866,0.872,0.295,0.760,0.866,181,CCR9,CCR9_181
0.774,0.864,0.662,0.662,0.000,0.802,0.631,0.934,4.640,0.874,0.907,0.874,0.166,0.662,0.907,184,CCR9,CCR9_184
0.721,0.835,0.510,0.510,0.000,0.773,0.499,1.228,5.657,0.862,0.813,0.862,0.137,0.510,0.813,185,CCR9,CCR9_185
0.738,0.842,0.531,0.531,0.000,0.790,0.550,1.112,4.839,0.865,0.854,0.865,0.128,0.531,0.854,191,CCR9,CCR9_191
0.794,0.875,0.764,0.764,0.000,0.802,0.653,0.825,3.061,0.882,0.818,0.882,0.203,0.764,0.818,192,CCR9,CCR9_192
0.763,0.859,0.670,0.670,0.000,0.786,0.568,0.977,4.117,0.877,0.815,0.877,0.241,0.670,0.815,198,CCR9,CCR9_198
0.804,0.868,0.779,0.779,0.000,0.810,0.671,0.823,3.025,0.875,0.835,0.875,0.351,0.779,0.835,199,CCR9,CCR9_199
0.698,0.821,0.416,0.416,0.000,0.769,0.486,1.262,5.322,0.851,0.773,0.851,0.107,0.416,0.773,2,CCR9,CCR9_2
0.838,0.877,0.889,0.889,0.000,0.825,0.808,0.745,1.510,0.877,0.941,0.877,0.451,0.889,0.941,20,CCR9,CCR9_20
0.734,0.836,0.544,0.544,0.000,0.782,0.528,1.371,6.428,0.867,0.772,0.867,0.184,0.544,0.772,200,CCR9,CCR9_200
0.746,0.830,0.631,0.631,0.000,0.775,0.560,1.115,4.748,0.848,0.832,0.848,0.150,0.631,0.832,201,CCR9,CCR9_201
0.865,0.885,0.948,0.948,0.000,0.844,0.857,0.674,0.816,0.881,0.878,0.881,0.507,0.948,0.878,207,CCR9,CCR9_207
0.725,0.829,0.479,0.479,0.000,0.786,0.514,1.187,5.211,0.851,0.811,0.851,0.117,0.479,0.811,208,CCR9,CCR9_208
0.797,0.852,0.783,0.783,0.000,0.800,0.722,0.941,3.689,0.863,0.802,0.863,0.306,0.783,0.802,210,CCR9,CCR9_210
0.807,0.872,0.709,0.709,0.000,0.832,0.681,0.823,2.878,0.881,0.848,0.881,0.191,0.709,0.848,211,CCR9,CCR9_211
0.720,0.828,0.506,0.506,0.000,0.774,0.529,1.396,6.909,0.860,0.790,0.860,0.136,0.506,0.790,212,CCR9,CCR9_212
0.740,0.848,0.569,0.569,0.000,0.782,0.549,1.282,6.366,0.874,0.760,0.874,0.158,0.569,0.760,213,CCR9,CCR9_213
0.705,0.810,0.498,0.498,0.000,0.757,0.470,1.280,5.281,0.841,0.778,0.841,0.116,0.498,0.778,215,CCR9,CCR9_215
0.721,0.848,0.485,0.485,0.000,0.780,0.501,1.195,6.189,0.878,0.815,0.878,0.125,0.485,0.815,216,CCR9,CCR9_216
0.796,0.867,0.736,0.736,0.000,0.811,0.668,0.935,3.455,0.880,0.854,0.880,0.297,0.736,0.854,218,CCR9,CCR9_218
0.712,0.830,0.489,0.489,0.000,0.768,0.500,1.494,7.461,0.867,0.779,0.867,0.156,0.489,0.779,221,CCR9,CCR9_221
0.784,0.855,0.746,0.746,0.000,0.793,0.665,1.004,3.974,0.867,0.799,0.867,0.303,0.746,0.799,223,CCR9,CCR9_223
0.702,0.837,0.416,0.416,0.000,0.773,0.436,1.462,7.854,0.881,0.795,0.881,0.105,0.416,0.795,226,CCR9,CCR9_226
0.797,0.866,0.802,0.802,0.000,0.796,0.686,0.898,3.668,0.872,0.791,0.872,0.285,0.802,0.791,227,CCR9,CCR9_227
0.724,0.837,0.510,0.510,0.000,0.777,0.519,1.276,6.225,0.867,0.763,0.867,0.140,0.510,0.763,230,CCR9,CCR9_230
0.708,0.829,0.438,0.438,0.000,0.776,0.471,1.268,6.586,0.859,0.817,0.859,0.110,0.438,0.817,233,CCR9,CCR9_233
0.772,0.861,0.684,0.684,0.000,0.794,0.619,0.962,3.786,0.876,0.851,0.876,0.208,0.684,0.851,237,CCR9,CCR9_237
0.802,0.863,0.808,0.808,0.000,0.800,0.651,0.864,2.578,0.867,0.796,0.867,0.267,0.808,0.796,247,CCR9,CCR9_247
0.725,0.818,0.524,0.524,0.000,0.776,0.518,1.170,4.833,0.844,0.762,0.844,0.121,0.524,0.762,249,CCR9,CCR9_249
0.752,0.848,0.626,0.626,0.000,0.783,0.604,1.030,4.353,0.869,0.757,0.869,0.168,0.626,0.757,25,CCR9,CCR9_25
0.801,0.875,0.793,0.793,0.000,0.803,0.669,0.785,3.069,0.881,0.844,0.881,0.264,0.793,0.844,252,CCR9,CCR9_252
0.778,0.843,0.656,0.656,0.000,0.809,0.651,1.021,4.224,0.850,0.926,0.850,0.170,0.656,0.926,253,CCR9,CCR9_253
0.715,0.835,0.457,0.457,0.000,0.780,0.488,1.171,5.565,0.861,0.763,0.861,0.115,0.457,0.763,254,CCR9,CCR9_254
0.697,0.818,0.435,0.435,0.000,0.762,0.488,1.559,7.618,0.859,0.766,0.859,0.142,0.435,0.766,260,CCR9,CCR9_260
0.806,0.869,0.767,0.767,0.000,0.816,0.690,0.852,2.661,0.878,0.871,0.878,0.391,0.767,0.871,264,CCR9,CCR9_264
0.790,0.873,0.703,0.703,0.000,0.812,0.632,0.833,4.094,0.881,0.898,0.881,0.176,0.703,0.898,275,CCR9,CCR9_275
0.762,0.851,0.655,0.655,0.000,0.789,0.589,1.130,5.002,0.872,0.794,0.872,0.179,0.655,0.794,276,CCR9,CCR9_276
0.779,0.855,0.710,0.710,0.000,0.796,0.653,1.020,4.210,0.868,0.779,0.868,0.208,0.710,0.779,277,CCR9,CCR9_277
0.734,0.836,0.551,0.551,0.000,0.779,0.539,1.301,6.219,0.864,0.814,0.864,0.138,0.551,0.814,278,CCR9,CCR9_278
0.735,0.842,0.559,0.559,0.000,0.779,0.522,1.215,5.732,0.868,0.843,0.868,0.183,0.559,0.843,283,CCR9,CCR9_283
0.794,0.871,0.721,0.721,0.000,0.812,0.612,0.820,4.195,0.878,0.914,0.878,0.176,0.721,0.914,285,CCR9,CCR9_285
0.813,0.888,0.795,0.795,0.000,0.818,0.689,0.690,2.864,0.892,0.915,0.892,0.253,0.795,0.915,287,CCR9,CCR9_287
0.737,0.852,0.514,0.514,0.000,0.793,0.514,1.203,5.868,0.881,0.767,0.881,0.125,0.514,0.767,288,CCR9,CCR9_288
0.706,0.830,0.404,0.404,0.000,0.781,0.487,1.653,10.236,0.867,0.765,0.867,0.125,0.404,0.765,294,CCR9,CCR9_294
0.753,0.859,0.520,0.520,0.000,0.811,0.574,1.051,5.352,0.885,0.817,0.885,0.138,0.520,0.817,296,CCR9,CCR9_296
0.641,0.789,0.228,0.228,0.000,0.745,0.317,2.270,13.006,0.850,0.760,0.850,0.096,0.228,0.760,299,CCR9,CCR9_299
0.707,0.828,0.429,0.429,0.000,0.776,0.476,1.312,6.629,0.860,0.831,0.860,0.118,0.429,0.831,3,CCR9,CCR9_3
0.724,0.847,0.506,0.506,0.000,0.779,0.518,1.401,7.833,0.878,0.794,0.878,0.138,0.506,0.794,30,CCR9,CCR9_30
0.765,0.849,0.656,0.656,0.000,0.792,0.618,0.928,3.392,0.865,0.768,0.865,0.177,0.656,0.768,301,CCR9,CCR9_301
0.806,0.874,0.777,0.777,0.000,0.813,0.693,0.785,2.495,0.884,0.792,0.884,0.253,0.777,0.792,303,CCR9,CCR9_303
0.834,0.874,0.899,0.899,0.000,0.817,0.793,0.642,1.609,0.875,0.933,0.875,0.482,0.899,0.933,34,CCR9,CCR9_34
0.792,0.854,0.780,0.780,0.000,0.795,0.675,0.866,2.977,0.861,0.850,0.861,0.264,0.780,0.850,38,CCR9,CCR9_38
0.749,0.850,0.594,0.594,0.000,0.788,0.572,1.165,4.823,0.876,0.745,0.876,0.146,0.594,0.745,4,CCR9,CCR9_4
0.799,0.872,0.771,0.771,0.000,0.806,0.653,0.862,4.020,0.880,0.842,0.880,0.262,0.771,0.842,43,CCR9,CCR9_43
