confidence_score,ptm,iptm,ligand_iptm,protein_iptm,complex_plddt,complex_iplddt,complex_pde,complex_ipde,chains_ptm_0,chains_ptm_1,pair_chains_iptm_0_0,pair_chains_iptm_0_1,pair_chains_iptm_1_0,pair_chains_iptm_1_1,ligand_id,gene_id,yaml
0.769,0.852,0.667,0.667,0.000,0.794,0.595,1.015,3.976,0.868,0.784,0.868,0.169,0.667,0.784,1,CCR9,CCR9_1
0.756,0.853,0.588,0.588,0.000,0.798,0.573,1.053,4.542,0.874,0.836,0.874,0.148,0.588,0.836,10,CCR9,CCR9_10
0.740,0.849,0.561,0.561,0.000,0.785,0.518,1.096,4.272,0.878,0.819,0.878,0.126,0.561,0.819,100,CCR9,CCR9_100
0.738,0.842,0.542,0.542,0.000,0.787,0.531,1.155,4.626,0.871,0.816,0.871,0.124,0.542,0.816,110,CCR9,CCR9_110
0.774,0.864,0.715,0.715,0.000,0.789,0.597,0.941,3.425,0.878,0.787,0.878,0.199,0.715,0.787,116,CCR9,CCR9_116
0.734,0.842,0.536,0.536,0.000,0.783,0.522,1.247,5.593,0.871,0.805,0.871,0.123,0.536,0.805,123,CCR9,CCR9_123
0.714,0.828,0.459,0.459,0.000,0.777,0.487,1.485,6.868,0.866,0.783,0.866,0.120,0.459,0.783,129,CCR9,CCR9_129
0.826,0.882,0.834,0.834,0.000,0.825,0.741,0.800,2.398,0.886,0.851,0.886,0.402,0.834,0.851,134,CCR9,CCR9_134
0.721,0.837,0.506,0.506,0.000,0.775,0.497,1.333,6.576,0.868,0.797,0.868,0.117,0.506,0.797,137,CCR9,CCR9_137
0.771,0.856,0.672,0.672,0.000,0.796,0.637,1.065,4.183,0.873,0.791,0.873,0.192,0.672,0.791,139,CCR9,CCR9_139
0.734,0.836,0.543,0.543,0.000,0.782,0.531,1.213,5.238,0.867,0.831,0.867,0.139,0.543,0.831,149,CCR9,CCR9_149
0.744,0.842,0.581,0.581,0.000,0.784,0.539,1.111,4.530,0.864,0.787,0.864,0.125,0.581,0.787,175,CCR9,CCR9_175
0.777,0.860,0.680,0.680,0.000,0.801,0.652,0.986,4.014,0.876,0.841,0.876,0.194,0.680,0.841,192,CCR9,CCR9_192
0.763,0.857,0.646,0.646,0.000,0.793,0.604,0.992,3.876,0.876,0.815,0.876,0.177,0.646,0.815,194,CCR9,CCR9_194
0.740,0.847,0.572,0.572,0.000,0.782,0.539,1.106,4.564,0.874,0.801,0.874,0.137,0.572,0.801,195,CCR9,CCR9_195
0.756,0.853,0.651,0.651,0.000,0.783,0.582,1.058,3.892,0.874,0.828,0.874,0.206,0.651,0.828,2,CCR9,CCR9_2
0.785,0.861,0.735,0.735,0.000,0.798,0.638,0.894,3.138,0.874,0.796,0.874,0.225,0.735,0.796,200,CCR9,CCR9_200
0.741,0.851,0.565,0.565,0.000,0.785,0.532,1.110,4.437,0.879,0.779,0.879,0.125,0.565,0.779,212,CCR9,CCR9_212
0.730,0.842,0.526,0.526,0.000,0.782,0.528,1.151,5.062,0.872,0.814,0.872,0.128,0.526,0.814,223,CCR9,CCR9_223
0.752,0.844,0.600,0.600,0.000,0.790,0.579,1.124,4.775,0.866,0.823,0.866,0.161,0.600,0.823,237,CCR9,CCR9_237
0.757,0.851,0.625,0.625,0.000,0.789,0.585,1.040,4.101,0.873,0.786,0.873,0.161,0.625,0.786,239,CCR9,CCR9_239
0.739,0.843,0.560,0.560,0.000,0.783,0.522,1.056,3.982,0.872,0.800,0.872,0.123,0.560,0.800,243,CCR9,CCR9_243
0.711,0.829,0.454,0.454,0.000,0.776,0.490,1.384,7.086,0.862,0.825,0.862,0.112,0.454,0.825,246,CCR9,CCR9_246
0.727,0.846,0.532,0.532,0.000,0.776,0.489,1.180,5.212,0.877,0.828,0.877,0.127,0.532,0.828,250,CCR9,CCR9_250
0.742,0.847,0.551,0.551,0.000,0.790,0.534,1.128,4.615,0.875,0.779,0.875,0.125,0.551,0.779,257,CCR9,CCR9_257
0.740,0.840,0.563,0.563,0.000,0.784,0.540,1.108,4.379,0.866,0.820,0.866,0.129,0.563,0.820,262,CCR9,CCR9_262
0.732,0.836,0.532,0.532,0.000,0.782,0.538,1.221,5.570,0.864,0.767,0.864,0.150,0.532,0.767,264,CCR9,CCR9_264
0.740,0.849,0.545,0.545,0.000,0.788,0.527,1.205,5.103,0.882,0.797,0.882,0.127,0.545,0.797,277,CCR9,CCR9_277
0.747,0.843,0.593,0.593,0.000,0.786,0.555,1.142,4.606,0.867,0.762,0.867,0.136,0.593,0.762,28,CCR9,CCR9_28
0.775,0.858,0.678,0.678,0.000,0.799,0.623,0.987,3.957,0.875,0.841,0.875,0.210,0.678,0.841,281,CCR9,CCR9_281
0.721,0.846,0.485,0.485,0.000,0.780,0.517,1.333,6.687,0.879,0.826,0.879,0.126,0.485,0.826,289,CCR9,CCR9_289
0.723,0.827,0.518,0.518,0.000,0.775,0.516,1.273,5.298,0.856,0.754,0.856,0.129,0.518,0.754,296,CCR9,CCR9_296
0.736,0.847,0.509,0.509,0.000,0.793,0.528,1.221,5.646,0.879,0.747,0.879,0.130,0.509,0.747,3,CCR9,CCR9_3
0.722,0.837,0.495,0.495,0.000,0.778,0.505,1.318,6.103,0.871,0.820,0.871,0.123,0.495,0.820,30,CCR9,CCR9_30
0.738,0.845,0.542,0.542,0.000,0.787,0.547,1.072,4.472,0.873,0.823,0.873,0.132,0.542,0.823,306,CCR9,CCR9_306
0.751,0.848,0.602,0.602,0.000,0.789,0.562,1.107,4.523,0.871,0.811,0.871,0.155,0.602,0.811,307,CCR9,CCR9_307
0.722,0.838,0.489,0.489,0.000,0.780,0.514,1.295,6.124,0.873,0.778,0.873,0.116,0.489,0.778,309,CCR9,CCR9_309
0.732,0.836,0.555,0.555,0.000,0.776,0.544,1.172,4.879,0.863,0.826,0.863,0.139,0.555,0.826,318,CCR9,CCR9_318
0.755,0.837,0.639,0.639,0.000,0.783,0.569,1.051,4.010,0.856,0.760,0.856,0.171,0.639,0.760,323,CCR9,CCR9_323
0.819,0.880,0.872,0.872,0.000,0.806,0.710,0.736,1.899,0.881,0.907,0.881,0.447,0.872,0.907,33,CCR9,CCR9_33
0.735,0.846,0.523,0.523,0.000,0.788,0.534,1.201,5.215,0.879,0.807,0.879,0.127,0.523,0.807,334,CCR9,CCR9_334
0.735,0.832,0.570,0.570,0.000,0.776,0.572,1.308,6.301,0.859,0.813,0.859,0.193,0.570,0.813,337,CCR9,CCR9_337
0.804,0.869,0.811,0.811,0.000,0.803,0.670,0.845,2.675,0.875,0.791,0.875,0.275,0.811,0.791,339,CCR9,CCR9_339
0.744,0.846,0.573,0.573,0.000,0.787,0.570,1.105,4.651,0.872,0.843,0.872,0.156,0.573,0.843,342,CCR9,CCR9_342
0.744,0.845,0.573,0.573,0.000,0.787,0.571,1.113,4.748,0.873,0.802,0.873,0.143,0.573,0.802,346,CCR9,CCR9_346
0.723,0.830,0.528,0.528,0.000,0.772,0.504,1.223,5.104,0.859,0.813,0.859,0.124,0.528,0.813,35,CCR9,CCR9_35
0.730,0.838,0.551,0.551,0.000,0.775,0.520,1.326,6.308,0.866,0.742,0.866,0.140,0.551,0.742,355,CCR9,CCR9_355
0.762,0.849,0.613,0.613,0.000,0.800,0.608,1.099,4.465,0.871,0.829,0.871,0.166,0.613,0.829,362,CCR9,CCR9_362
0.727,0.845,0.493,0.493,0.000,0.786,0.533,1.372,6.929,0.878,0.799,0.878,0.122,0.493,0.799,364,CCR9,CCR9_364
0.761,0.842,0.667,0.667,0.000,0.785,0.595,1.035,4.001,0.859,0.801,0.859,0.182,0.667,0.801,374,CCR9,CCR9_374
0.722,0.824,0.496,0.496,0.000,0.778,0.490,1.253,5.243,0.856,0.774,0.856,0.123,0.496,0.774,381,CCR9,CCR9_381
0.721,0.836,0.497,0.497,0.000,0.777,0.496,1.287,5.879,0.871,0.785,0.871,0.120,0.497,0.785,385,CCR9,CCR9_385
0.724,0.834,0.518,0.518,0.000,0.775,0.526,1.244,5.453,0.866,0.771,0.866,0.131,0.518,0.771,386,CCR9,CCR9_386
0.742,0.853,0.570,0.570,0.000,0.784,0.537,1.106,4.528,0.881,0.792,0.881,0.140,0.570,0.792,394,CCR9,CCR9_394
