confidence_score,ptm,iptm,ligand_iptm,protein_iptm,complex_plddt,complex_iplddt,complex_pde,complex_ipde,chains_ptm_0,chains_ptm_1,pair_chains_iptm_0_0,pair_chains_iptm_0_1,pair_chains_iptm_1_0,pair_chains_iptm_1_1,ligand_id,gene_id,yaml
0.755,0.837,0.641,0.641,0.000,0.784,0.650,1.048,4.420,0.855,0.777,0.855,0.222,0.641,0.777,123,CCR9,CCR9_123
0.752,0.834,0.641,0.641,0.000,0.780,0.566,1.014,3.443,0.847,0.698,0.847,0.131,0.641,0.698,13,CCR9,CCR9_13
0.783,0.864,0.757,0.757,0.000,0.790,0.616,0.833,2.577,0.876,0.785,0.876,0.269,0.757,0.785,137,CCR9,CCR9_137
0.825,0.875,0.785,0.785,0.000,0.835,0.721,0.838,2.707,0.882,0.704,0.882,0.181,0.785,0.704,154,CCR9,CCR9_154
0.804,0.885,0.760,0.760,0.000,0.815,0.684,1.005,4.576,0.898,0.760,0.898,0.254,0.760,0.760,167,CCR9,CCR9_167
0.833,0.875,0.903,0.903,0.000,0.816,0.787,0.678,1.228,0.874,0.721,0.874,0.289,0.903,0.721,168,CCR9,CCR9_168
0.723,0.819,0.582,0.582,0.000,0.758,0.534,1.143,3.947,0.843,0.785,0.843,0.129,0.582,0.785,17,CCR9,CCR9_17
0.747,0.830,0.618,0.618,0.000,0.779,0.613,1.090,5.114,0.845,0.666,0.845,0.120,0.618,0.666,172,CCR9,CCR9_172
0.712,0.833,0.478,0.478,0.000,0.771,0.490,1.402,7.539,0.871,0.751,0.871,0.159,0.478,0.751,174,CCR9,CCR9_174
0.800,0.863,0.812,0.812,0.000,0.797,0.704,0.800,1.831,0.868,0.693,0.868,0.311,0.812,0.693,177,CCR9,CCR9_177
0.714,0.837,0.476,0.476,0.000,0.774,0.513,1.462,8.473,0.874,0.748,0.874,0.137,0.476,0.748,179,CCR9,CCR9_179
0.790,0.868,0.710,0.710,0.000,0.810,0.659,1.109,5.841,0.886,0.831,0.886,0.279,0.710,0.831,188,CCR9,CCR9_188
0.815,0.888,0.764,0.764,0.000,0.827,0.695,0.734,2.514,0.898,0.711,0.898,0.189,0.764,0.711,189,CCR9,CCR9_189
0.758,0.840,0.662,0.662,0.000,0.781,0.572,0.973,4.562,0.858,0.756,0.858,0.150,0.662,0.756,191,CCR9,CCR9_191
0.806,0.855,0.805,0.805,0.000,0.806,0.713,0.824,2.642,0.864,0.765,0.864,0.257,0.805,0.765,2,CCR9,CCR9_2
0.703,0.822,0.434,0.434,0.000,0.771,0.493,1.400,8.776,0.856,0.799,0.856,0.108,0.434,0.799,202,CCR9,CCR9_202
0.724,0.844,0.489,0.489,0.000,0.783,0.534,1.250,6.459,0.875,0.772,0.875,0.125,0.489,0.772,208,CCR9,CCR9_208
0.655,0.797,0.337,0.337,0.000,0.734,0.377,1.567,8.000,0.851,0.710,0.851,0.098,0.337,0.710,214,CCR9,CCR9_214
0.791,0.876,0.689,0.689,0.000,0.816,0.630,0.935,3.428,0.898,0.675,0.898,0.156,0.689,0.675,219,CCR9,CCR9_219
0.816,0.869,0.863,0.863,0.000,0.804,0.754,0.702,1.612,0.870,0.725,0.870,0.209,0.863,0.725,22,CCR9,CCR9_22
0.782,0.852,0.749,0.749,0.000,0.790,0.663,0.897,2.580,0.871,0.701,0.871,0.273,0.749,0.701,227,CCR9,CCR9_227
0.760,0.864,0.632,0.632,0.000,0.792,0.565,1.138,5.031,0.888,0.750,0.888,0.231,0.632,0.750,229,CCR9,CCR9_229
