confidence_score,ptm,iptm,ligand_iptm,protein_iptm,complex_plddt,complex_iplddt,complex_pde,complex_ipde,chains_ptm_0,chains_ptm_1,pair_chains_iptm_0_0,pair_chains_iptm_0_1,pair_chains_iptm_1_0,pair_chains_iptm_1_1,ligand_id,gene_id,yaml
0.730,0.828,0.546,0.546,0.000,0.776,0.540,1.254,5.406,0.855,0.737,0.855,0.150,0.546,0.737,10,CCR9,CCR9_10
0.692,0.823,0.417,0.417,0.000,0.761,0.440,1.433,7.289,0.863,0.823,0.863,0.126,0.417,0.823,106,CCR9,CCR9_106
0.746,0.852,0.592,0.592,0.000,0.784,0.553,0.950,3.676,0.871,0.826,0.871,0.153,0.592,0.826,11,CCR9,CCR9_11
0.736,0.839,0.570,0.570,0.000,0.777,0.543,1.182,5.373,0.864,0.799,0.864,0.154,0.570,0.799,115,CCR9,CCR9_115
0.701,0.828,0.465,0.465,0.000,0.760,0.465,1.431,6.777,0.870,0.789,0.870,0.122,0.465,0.789,131,CCR9,CCR9_131
0.685,0.818,0.397,0.397,0.000,0.757,0.440,1.558,7.793,0.858,0.742,0.858,0.105,0.397,0.742,147,CCR9,CCR9_147
0.760,0.855,0.653,0.653,0.000,0.787,0.580,1.018,3.746,0.876,0.755,0.876,0.172,0.653,0.755,148,CCR9,CCR9_148
0.754,0.846,0.628,0.628,0.000,0.785,0.590,1.179,4.796,0.871,0.724,0.871,0.177,0.628,0.724,151,CCR9,CCR9_151
0.732,0.840,0.514,0.514,0.000,0.787,0.516,1.201,5.704,0.871,0.784,0.871,0.124,0.514,0.784,168,CCR9,CCR9_168
0.714,0.843,0.466,0.466,0.000,0.776,0.522,1.284,6.679,0.875,0.812,0.875,0.129,0.466,0.812,17,CCR9,CCR9_17
0.753,0.856,0.576,0.576,0.000,0.798,0.555,0.997,4.432,0.872,0.835,0.872,0.140,0.576,0.835,185,CCR9,CCR9_185
0.725,0.838,0.510,0.510,0.000,0.779,0.526,1.301,5.911,0.869,0.762,0.869,0.136,0.510,0.762,197,CCR9,CCR9_197
0.741,0.847,0.581,0.581,0.000,0.782,0.546,1.129,5.165,0.871,0.763,0.871,0.129,0.581,0.763,204,CCR9,CCR9_204
0.726,0.832,0.533,0.533,0.000,0.775,0.511,1.250,5.029,0.863,0.763,0.863,0.159,0.533,0.763,205,CCR9,CCR9_205
0.729,0.846,0.529,0.529,0.000,0.780,0.515,1.178,5.230,0.874,0.798,0.874,0.139,0.529,0.798,210,CCR9,CCR9_210
0.756,0.845,0.636,0.636,0.000,0.786,0.573,0.938,3.468,0.863,0.826,0.863,0.138,0.636,0.826,225,CCR9,CCR9_225
0.711,0.835,0.512,0.512,0.000,0.761,0.458,1.149,5.147,0.870,0.756,0.870,0.127,0.512,0.756,25,CCR9,CCR9_25
0.707,0.828,0.512,0.512,0.000,0.756,0.459,1.257,5.885,0.865,0.797,0.865,0.168,0.512,0.797,258,CCR9,CCR9_258
0.719,0.813,0.551,0.551,0.000,0.761,0.498,1.201,4.880,0.841,0.760,0.841,0.182,0.551,0.760,263,CCR9,CCR9_263
0.721,0.839,0.491,0.491,0.000,0.778,0.545,1.118,5.266,0.862,0.827,0.862,0.133,0.491,0.827,264,CCR9,CCR9_264
0.701,0.824,0.449,0.449,0.000,0.764,0.500,1.372,6.406,0.860,0.783,0.860,0.120,0.449,0.783,269,CCR9,CCR9_269
0.757,0.850,0.667,0.667,0.000,0.780,0.598,1.027,3.634,0.872,0.783,0.872,0.177,0.667,0.783,281,CCR9,CCR9_281
0.710,0.826,0.428,0.428,0.000,0.781,0.507,1.375,6.972,0.864,0.778,0.864,0.121,0.428,0.778,293,CCR9,CCR9_293
0.743,0.851,0.551,0.551,0.000,0.790,0.588,1.180,5.759,0.874,0.779,0.874,0.132,0.551,0.779,296,CCR9,CCR9_296
0.756,0.836,0.652,0.652,0.000,0.782,0.613,1.033,3.910,0.853,0.791,0.853,0.219,0.652,0.791,298,CCR9,CCR9_298
0.789,0.853,0.759,0.759,0.000,0.796,0.660,1.083,4.410,0.864,0.848,0.864,0.303,0.759,0.848,307,CCR9,CCR9_307
0.780,0.870,0.705,0.705,0.000,0.798,0.599,1.049,4.824,0.886,0.797,0.886,0.243,0.705,0.797,318,CCR9,CCR9_318
0.800,0.871,0.794,0.794,0.000,0.801,0.682,0.734,2.106,0.877,0.888,0.877,0.269,0.794,0.888,320,CCR9,CCR9_320
0.784,0.853,0.731,0.731,0.000,0.798,0.639,0.951,3.599,0.865,0.785,0.865,0.238,0.731,0.785,328,CCR9,CCR9_328
0.743,0.857,0.565,0.565,0.000,0.788,0.527,1.119,4.752,0.882,0.745,0.882,0.125,0.565,0.745,335,CCR9,CCR9_335
0.757,0.850,0.640,0.640,0.000,0.787,0.612,1.047,3.970,0.871,0.795,0.871,0.159,0.640,0.795,34,CCR9,CCR9_34
